"","est1",""
"","b","p"
"dv","",""
"p47_pp_c_4lag",".9981328",".0291992"
"p48_pp_c_4lag","1.0001",".5093883"
"p71_pp_c_4lag","1.000317",".7057055"
"p72_pp_c_4lag",".9995843",".3959976"
"p75_pp_c_4lag","1.000012",".0014374"
"p77_pp_c_4lag",".999924",".5326718"
"mine_time",".9967456",".1172084"
"onsite_insp_hours",".9995888",".0134619"
"1.state","1.314782",".0431511"
"2.state","2.475819","0"
"3.state",".7249597",".0352091"
"4.state","1.181986",".0669252"
"5.state",".9120799",".6429634"
"6.state","1.028181",".6746048"
"7.state","1.19067",".187448"
"8.state",".7936885",".0002693"
"9.state",".8393675",".0151166"
"10.state",".9836904",".9164879"
"11.state",".7677658",".5609774"
"12.state",".8841573",".2914003"
"13.state","1.121215",".5348636"
"14.state",".6359701",".0259731"
"15.state",".6711862",".0000864"
"16.state","1","."
"17.state","1.053611",".3686583"
"29.time","1.242442",".0711614"
"30.time","1.1496",".2717123"
"31.time","1.249808",".0416532"
"32.time","1.252616",".0454321"
"33.time","1.001469",".989711"
"34.time","1.059088",".6325025"
"35.time","1.251639",".03576"
"36.time","1","."
"37.time",".9525666",".6466071"
"38.time",".9046783",".3745596"
"39.time","1.115973",".3520659"
"40.time",".8379506",".1386601"
"41.time",".8881358",".3242145"
"42.time",".947122",".6561605"
"43.time","1.121233",".3284959"
"44.time",".8603703",".2037435"
"45.time",".9793868",".8547446"
"46.time",".9819338",".8716839"
"47.time","1.123171",".3036481"
"48.time",".8856717",".2923943"
"49.time","1.130831",".2570383"
"50.time",".9728674",".8055609"
"51.time","1.128402",".2682739"
"52.time",".9276232",".5555658"
"53.time",".9745784",".8180299"
"54.time",".8366208",".1598445"
"55.time","1.121523",".3404214"
"56.time",".8960457",".3591968"
"57.time",".8534834",".2492907"
"58.time",".9291315",".5659897"
"59.time","1.005871",".9612315"
"60.time",".9802093",".8700941"
"61.time",".8934608",".3414894"
"62.time",".9587227",".7463589"
"63.time","1.227004",".1025014"
"64.time",".7471548",".0439954"
"65.time","1.048147",".713646"
"N","13003",""
