"","est1",""
"","b","p"
"dv","",""
"p47_1lag","1.067887",".5505366"
"p48_1lag",".9899784",".5740484"
"p71_1lag","1.115972",".0862874"
"p72_1lag",".9902677",".8204455"
"p75_1lag","1.002345",".003357"
"p77_1lag",".9876103",".2486437"
"mine_time",".9983114",".3729818"
"onsite_insp_hours",".9996355",".0132412"
"1.state","1.09668",".2737345"
"2.state","2.057238","0"
"3.state",".7044241",".0339134"
"4.state","1.17817",".0428818"
"5.state",".9165278",".5805281"
"6.state","1","."
"7.state","1.006958",".9667562"
"8.state",".8736034",".0062752"
"9.state",".7888698","3.38e-07"
"10.state","1.067573",".6271736"
"11.state",".8878665",".6576516"
"12.state",".949512",".5929785"
"13.state","1.221308",".1453892"
"14.state",".612404",".0001169"
"15.state",".6910242","9.52e-06"
"16.state","1.012637",".818217"
"17.state","1.0595",".1910127"
"2.time","1.001295",".990569"
"3.time","1.193182",".0795693"
"4.time",".884535",".2441198"
"5.time",".8872983",".219208"
"6.time",".8150326",".0476892"
"7.time","1","."
"8.time",".8471735",".0756537"
"9.time",".892197",".2219903"
"10.time",".8044514",".0407603"
"11.time","1.005816",".952728"
"12.time",".9230506",".4434806"
"13.time",".7415624",".0056631"
"14.time",".8382383",".1027009"
"15.time",".9238095",".4511517"
"16.time",".6652725",".0000841"
"17.time",".8683384",".209204"
"18.time",".8091966",".0379669"
"19.time",".8168704",".0561589"
"20.time",".7286676",".0064212"
"21.time",".639795",".0000124"
"22.time",".8141426",".0423564"
"23.time",".7156847",".0015874"
"24.time",".6674811",".0002688"
"25.time",".6990003",".0009875"
"26.time",".6958144",".0020976"
"27.time",".7578167",".0146241"
"28.time",".6153284",".0000468"
"29.time",".6381739",".0000494"
"30.time",".6239895",".0001121"
"31.time",".6670784",".0001877"
"32.time",".674097",".0004141"
"33.time",".5565082","7.34e-07"
"34.time",".5745386","6.42e-07"
"35.time",".667242",".0002879"
"36.time",".5321059","3.85e-08"
"37.time",".5333944","7.91e-08"
"38.time",".4924968","3.12e-09"
"39.time",".612054",".0000638"
"40.time",".4502775","5.94e-12"
"41.time",".4902292","2.24e-08"
"42.time",".5068305","4.26e-08"
"43.time",".6028597",".0000263"
"44.time",".4724483","2.34e-09"
"45.time",".5572884","8.83e-07"
"46.time",".5345205","9.70e-08"
"47.time",".6058004",".000012"
"48.time",".4927716","7.95e-09"
"49.time",".6115559",".0000218"
"50.time",".5270897","5.14e-09"
"51.time",".5968536",".0000107"
"52.time",".4923971","5.80e-09"
"53.time",".5194277","1.10e-07"
"54.time",".4462328","5.18e-09"
"55.time",".5863488",".0000339"
"56.time",".47332","1.25e-08"
"57.time",".453147","1.39e-08"
"58.time",".5003546","3.12e-07"
"59.time",".5205855","2.37e-07"
"60.time",".5222464","4.62e-07"
"61.time",".4793704","1.04e-07"
"62.time",".5101923","6.06e-06"
"63.time",".6593186",".0023851"
"64.time",".397703","2.28e-09"
"65.time",".5455742",".0000166"
"N","26110",""
