"","est1",""
"","b","p"
"dv_indicator","",""
"p47_pp_c_4lag",".9995611",".5799823"
"p48_pp_c_4lag","1.000507",".0859846"
"p71_pp_c_4lag","1.000449",".701722"
"p72_pp_c_4lag",".999952",".950836"
"p75_pp_c_4lag","1.000007",".1682158"
"p77_pp_c_4lag","1.000144",".2361113"
"mine_time",".9963934",".80863"
"onsite_insp_hours","1.00069",".0007185"
"1.state","1.607327",".2980147"
"2.state","4.151548","0"
"3.state",".6520952",".4027487"
"4.state","2.320538",".0031137"
"5.state","1.019843",".9561605"
"6.state",".8813321",".3182753"
"7.state","1.383884",".1830179"
"8.state",".5202603",".0013366"
"9.state","1","."
"10.state",".5212425",".0974906"
"11.state",".5035973",".1070472"
"12.state",".9810635",".9362773"
"13.state","1.919515",".2316657"
"14.state",".7964562",".5718125"
"15.state",".6204821",".0010479"
"16.state","1","."
"17.state","1","."
"8.time","1.286816",".1090197"
"9.time","1","."
"10.time",".5147839",".0000228"
"11.time",".7056499",".037278"
"12.time",".840017",".2480121"
"13.time",".7286015",".067066"
"14.time",".5102204",".0003819"
"15.time",".4323737",".0000248"
"16.time",".5697422",".003374"
"N","3315",""
