"","est1",""
"","b","p"
"dv_indicator","",""
"p47_ss_1lag",".7258601",".4511384"
"p48_ss_1lag","1.117878",".3075158"
"p71_ss_1lag","1.463456",".5024569"
"p72_ss_1lag","1.460691",".345802"
"p75_ss_1lag","1.012566",".0000495"
"p77_ss_1lag","1.117324",".0708016"
"mine_time",".9969206",".8238622"
"onsite_insp_hours","1.00102","4.13e-09"
"1.state","1.554208",".2582902"
"2.state","2.477279","0"
"3.state",".7931716",".4897647"
"4.state","1.923449",".031992"
"5.state",".8314895",".503261"
"6.state",".7071298",".0001243"
"7.state",".8686986",".6426599"
"8.state","1.443547","1.43e-06"
"9.state","2.647301","0"
"10.state",".5923538",".1630362"
"11.state",".6136372",".0784036"
"12.state","1.003959",".9817864"
"13.state","1.968712",".0634171"
"14.state",".6436121",".1488315"
"15.state",".572748","1.69e-07"
"16.state","1","."
"17.state","1","."
"1.time","1.021684",".8788177"
"2.time","1","."
"3.time",".7533491",".0566811"
"4.time",".8107287",".2144236"
"5.time",".5270408",".0000753"
"6.time",".5405513",".0000391"
"7.time",".5803518",".0003927"
"8.time",".5753998",".0007262"
"9.time",".4659812","3.15e-06"
"10.time",".2417449","6.66e-16"
"11.time",".3238721","8.07e-10"
"12.time",".3956667","2.83e-07"
"13.time",".3494511","5.48e-08"
"14.time",".2476429","4.03e-11"
"15.time",".1999399","5.05e-13"
"16.time",".2616759","1.91e-09"
"N","6242",""
