"","est1",""
"","b","p"
"dv","",""
"p47_pp",".9985404",".1911926"
"p48_pp","1.000196",".2128551"
"p71_pp","1.000379",".5343687"
"p72_pp",".999299",".1674338"
"p75_pp","1.000017",".0001562"
"p77_pp",".9999598",".7560592"
"mine_time",".9899022",".2075868"
"onsite_insp_hours",".9998458",".0075034"
"1.state","1.346",".0317531"
"2.state","2.237871","0"
"3.state",".7325556",".0473854"
"4.state","1.17666",".0709915"
"5.state",".9759797",".904487"
"6.state","1.023364",".7146417"
"7.state","1.163674",".4419383"
"8.state",".8250202",".0031141"
"9.state",".8240142",".0028909"
"10.state",".8943656",".5115737"
"11.state",".836291",".7103185"
"12.state",".9711941",".8149499"
"13.state","1.226659",".2273806"
"14.state",".6788991",".0654452"
"15.state",".6853875",".0000232"
"16.state","1","."
"17.state","1.070921",".2389055"
"8.time","1.128741",".0514284"
"9.time","1","."
"10.time",".866179",".0170367"
"11.time",".8902918",".0742126"
"12.time",".9477864",".3714461"
"13.time",".970532",".6425426"
"14.time",".860848",".044346"
"15.time",".8321386",".0177441"
"16.time",".8807645",".1117442"
"N","3333",""
