"","est1",""
"","b","p"
"dv","",""
"p47","1.06017",".4460669"
"p48","1.001989",".7346184"
"p71",".9872219",".7508138"
"p72",".9986013",".9543392"
"p75","1.001276",".0000701"
"p77",".9917223",".158357"
"mine_time",".994445",".4569555"
"onsite_insp_hours",".999847",".0067345"
"1.state","1.081172",".4154954"
"2.state","1.951623","0"
"3.state",".7278786",".0564645"
"4.state","1.092261",".2772504"
"5.state",".9136861",".5832492"
"6.state",".9517941",".3376454"
"7.state",".9684833",".8884062"
"8.state","1.016575",".7358901"
"9.state",".769042","1.41e-08"
"10.state",".9737306",".857332"
"11.state",".8841978",".6264407"
"12.state",".9952768",".9581969"
"13.state","1.338391",".0510193"
"14.state",".6315754",".0005176"
"15.state",".6830693","8.63e-08"
"16.state","1","."
"17.state","1.088733",".0634995"
"1.time","1.095695",".1316169"
"2.time","1","."
"3.time",".9906587",".8775907"
"4.time",".8823454",".0535061"
"5.time",".8891815",".0746459"
"6.time",".7831478",".0001345"
"7.time",".7725473",".0002764"
"8.time",".7177253","5.72e-06"
"9.time",".6527861","2.43e-09"
"10.time",".5604972","1.01e-13"
"11.time",".5687677","2.29e-12"
"12.time",".6074903","5.40e-10"
"13.time",".6222891","7.76e-09"
"14.time",".5445447","9.86e-11"
"15.time",".5265326","1.57e-11"
"16.time",".558682","1.11e-08"
"N","6253",""
