"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_1lag",".7508054",".1228755"
"sp48_11_1lag","1.248892",".2543198"
"sp71_701_1lag","1","."
"sp75_1001_1_1lag","2.135754",".4558711"
"sp75_1001_1lag",".1876615",".0599241"
"sp75_1003_1_1lag","1","."
"sp75_1400_1_1lag","1","."
"sp75_1401_1_1lag","1","."
"sp75_1401_1lag",".7024348",".5707072"
"sp75_1403_11_1lag","1","."
"sp75_1404_1_1lag","3.925165",".0780046"
"sp75_1405_1_1lag","1","."
"sp75_1431_1lag","1","."
"sp75_151_1lag",".6057495",".4891822"
"sp75_1721_1lag",".2137087",".1219474"
"sp75_1731_1lag",".9557203",".0003428"
"sp75_1911_1lag","1.02091",".7239276"
"sp75_211_1lag","1.001199",".9845169"
"sp75_341_1lag",".3263655",".5514332"
"sp75_506_1_1lag","1.847386",".0828131"
"sp75_510_1_1lag","1","."
"sp75_511_1_1lag","1","."
"sp75_511_1lag",".8826129",".4140198"
"sp75_512_1_1lag",".8893959",".8975685"
"sp75_513_1_1lag","1.776558",".0823311"
"sp75_516_1_1lag",".9506746",".9241464"
"sp75_517_1_1lag","1.188843",".7430451"
"sp75_518_1_1lag","1.12003",".1640553"
"sp75_523_1_1lag","1.051561",".534062"
"sp75_600_1_1lag","2.33153",".1648081"
"sp75_601_1_1lag",".9501102",".1879528"
"sp75_601_1lag",".9748522",".6490927"
"sp75_700_1_1lag",".7394284",".4469682"
"sp75_701_1_1lag",".8904054",".4220903"
"sp75_701_1lag","1.047545",".3053208"
"sp75_702_1_1lag","1","."
"sp75_703_1_1lag","1","."
"sp75_705_1_1lag","1","."
"sp75_801_1lag",".8824498",".8143795"
"sp75_811_1lag","1.032797",".8645519"
"sp75_821_1lag","1.139026",".8109916"
"sp75_831_1lag","1.699994",".4809317"
"sp75_901_1lag",".9999361",".9998042"
"sp75_902_1_1lag","7.291635",".0171407"
"sp77_1111_1lag",".0961951",".0039883"
"sp77_401_1lag",".8619441",".4475177"
"sp77_403_1_1lag","1.128038",".7811847"
"sp77_411_1lag",".0271066",".0065719"
"sp77_501_1lag","1.138028",".7442863"
"sp77_502_1_1lag","1.531095",".7317796"
"sp77_503_1_1lag",".8539159",".8688971"
"sp77_506_1_1lag",".9921219",".9388959"
"sp77_508_1_1lag","1.033471",".9237905"
"sp77_511_1lag",".2931712",".0041304"
"sp77_601_1lag",".3983054",".2140151"
"sp77_606_1_1lag","1","."
"sp77_700_1_1lag","1.895387",".3397053"
"sp77_701_1_1lag",".910172",".759443"
"sp77_701_1lag","1.03423",".6925593"
"sp77_704_1_1lag","1.475239",".591071"
"sp77_800_1_1lag",".7923877",".6215409"
"sp77_801_1_1lag","1","."
"sp77_801_1lag","3.256881",".3372903"
"sp77_807_1_1lag",".7508087",".6105035"
"sp77_900_1_1lag","1.205952",".7536114"
"sp77_901_1_1lag","1","."
"sp77_901_1lag","1.013278",".980912"
"sp47_42_1lag",".3156617",".0031438"
"sp75_1100_2_1lag","1.018725",".4429116"
"sp75_1102_1lag",".9196574",".4304021"
"sp75_1106_2_1lag","1.128429",".4740463"
"sp75_1400_2_1lag",".5110836",".3472635"
"sp75_1402_2_1lag","1","."
"sp75_1432_1lag","1.674515",".4561362"
"sp75_1600_2_1lag",".8290278",".0309005"
"sp75_1912_1lag","1.810245",".2984971"
"sp75_202_1lag","1.02039",".0449136"
"sp75_212_1lag",".6813216",".0152285"
"sp75_312_1lag",".9883524",".8579493"
"sp75_342_1lag",".9778748",".3412569"
"sp75_352_1lag",".9195221",".7066054"
"sp75_382_1lag","1.401436",".4101168"
"sp75_512_2_1lag","1.084523",".1763212"
"sp75_512_1lag","1.010454",".4905625"
"sp75_516_2_1lag",".9710234",".7790703"
"sp75_523_2_1lag","1.057761",".3734195"
"sp75_601_2_1lag",".5480078",".5571274"
"sp75_602_1lag",".8828884",".2933911"
"sp75_701_2_1lag","1.012486",".9627799"
"sp75_702_1lag",".2278153",".1971951"
"sp75_703_2_1lag","1.300514",".7067237"
"sp75_705_2_1lag","1","."
"sp75_800_2_1lag",".210152",".0345248"
"sp75_802_1lag",".562421",".123764"
"sp75_803_2_1lag","1","."
"sp75_812_1lag",".1715772",".0007129"
"sp75_832_1lag",".0721735",".0687175"
"sp75_900_2_1lag",".396912",".3596036"
"sp75_902_2_1lag","1.204362",".6055466"
"sp75_902_1lag","1.061186",".3290632"
"sp77_1112_1lag","1.539595",".6307823"
"sp77_1432_1lag","1","."
"sp77_1802_1lag",".0995421",".1612796"
"sp77_202_1lag",".7803257",".0016508"
"sp77_402_1lag","1.019984",".894932"
"sp77_403_2_1lag","1","."
"sp77_412_1lag","1.883351",".107886"
"sp77_502_2_1lag","1.49481",".0767475"
"sp77_502_1lag","1.03947",".3530747"
"sp77_512_1lag",".9887698",".9053063"
"sp77_602_1lag","1.317654",".6172339"
"sp77_701_2_1lag",".8463971",".3860208"
"sp77_702_1lag","1","."
"sp77_800_2_1lag","1.16013",".5868043"
"sp77_802_1lag",".318427",".1084159"
"sp77_807_2_1lag",".5471802",".4437507"
"sp77_900_2_1lag","1.424897",".2025972"
"sp77_902_2_1lag","1","."
"sp77_902_1lag",".9457087",".9398075"
"sp47_43_1lag","1","."
"sp72_503_1lag",".7507215",".2852954"
"sp75_1106_3_1lag","1.038414",".5338572"
"sp75_1400_3_1lag","1.269368",".5152582"
"sp75_1403_3_1lag","1","."
"sp75_1433_1lag","1.286167",".5889676"
"sp75_153_1lag","1","."
"sp75_1903_1lag","1.471369",".3874841"
"sp75_1913_1lag","1.02319",".9114576"
"sp75_503_1lag","1.024725",".0133336"
"sp75_513_1lag",".7659909",".1721262"
"sp75_523_1lag",".9472603",".4317208"
"sp75_601_3_1lag",".6593668",".7094036"
"sp75_603_1lag","1.392547",".0851572"
"sp75_701_3_1lag",".9256315",".854808"
"sp75_703_3_1lag","1.403399",".1934667"
"sp75_703_1lag","1.228145",".0300727"
"sp75_705_3_1lag","1","."
"sp75_800_3_1lag",".9093106",".7379621"
"sp75_803_1lag",".76723",".370631"
"sp75_900_3_1lag","1.030805",".8871893"
"sp75_903_1lag","1.414292",".0087517"
"sp77_103_1lag","1","."
"sp77_1103_1lag","1.09275",".2771853"
"sp77_1403_1lag","2.808255",".4157487"
"sp77_1433_1lag",".7857302",".7106076"
"sp77_203_1lag",".8253289",".8144699"
"sp77_403_1lag","1.775727",".3935538"
"sp77_413_1lag","1","."
"sp77_503_1lag",".6428028",".0924689"
"sp77_513_1lag",".898078",".2506759"
"sp77_603_1lag","3.481192",".0896742"
"sp77_701_3_1lag","4.614212",".286089"
"sp77_703_1lag","1","."
"sp77_803_1lag","2.504127",".3091684"
"sp77_807_3_1lag","3.104171",".2134892"
"sp77_902_3_1lag","1.112806",".8259635"
"sp77_903_1lag",".3040479",".0897123"
"sp47_44_1lag","1.797324",".1276614"
"sp48_24_1lag","1","."
"sp48_4_1lag","1","."
"sp75_1103_4_1lag","1.013764",".7292191"
"sp75_1104_1lag",".9127964",".5580032"
"sp75_1106_4_1lag",".6335307",".2585499"
"sp75_1107_14_1lag",".7510452",".8503447"
"sp75_1400_4_1lag",".8610331",".7678347"
"sp75_1403_4_1lag","1","."
"sp75_1404_1lag",".768177",".7776796"
"sp75_1434_1lag",".3656801",".032989"
"sp75_1914_1lag","1.024702",".565367"
"sp75_214_1lag","1.162643",".1936682"
"sp75_324_1lag","1.078088",".8022168"
"sp75_344_1lag",".4820528",".0643181"
