"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp_c_lag_all","1.000073",".6448249"
"sp47_42_pp_c_lag_all",".9990491",".0845192"
"sp47_44_pp_c_lag_all","1.000066",".7750767"
"sp48_11_pp_c_lag_all",".9998842",".5124112"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all",".9997349",".2997483"
"sp48_26_pp_c_lag_all","1.000276",".4326534"
"sp48_27_pp_c_lag_all","1.000505",".0288187"
"sp48_28_pp_c_lag_all",".998516",".0000101"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all",".9998345",".6761455"
"sp48_6_pp_c_lag_all","1.000045",".7747005"
"sp48_7_pp_c_lag_all","1.000589",".0003491"
"sp48_8_pp_c_lag_all","1.000228",".4754259"
"sp71_701_pp_c_lag_all",".9990126",".5012168"
"sp72_503_pp_c_lag_all",".9999461",".7858151"
"sp72_610_pp_c_lag_all",".9947728",".0093277"
"sp72_620_pp_c_lag_all","1.001365",".2244148"
"sp72_630_pp_c_lag_all","1.00001",".6840855"
"sp75_100_pp_c_lag_all",".9995475",".5081722"
"sp75_1001_1_pp_c_lag_all",".9979114",".0863515"
"sp75_1001_pp_c_lag_all","1.006222",".0001088"
"sp75_1003_1_pp_c_lag_all",".9968688",".0001513"
"sp75_1100_2_pp_c_lag_all","1.000035",".1244187"
"sp75_1101_20_pp_c_lag_all",".9997138",".4975185"
"sp75_1102_pp_c_lag_all",".9999656",".8970366"
"sp75_1103_4_pp_c_lag_all",".9999907",".8212021"
"sp75_1104_pp_c_lag_all",".9998492",".1696321"
"sp75_1106_2_pp_c_lag_all",".9998087",".178844"
"sp75_1106_3_pp_c_lag_all","1.00002",".6328579"
"sp75_1106_4_pp_c_lag_all","1.000114",".7837328"
"sp75_1106_5_pp_c_lag_all",".9997939",".113991"
"sp75_1106_6_pp_c_lag_all","1.012051",".0032871"
"sp75_1106_pp_c_lag_all",".9999923",".9818489"
"sp75_1107_14_pp_c_lag_all","1.002615",".0191839"
"sp75_1400_1_pp_c_lag_all",".9996441",".6010191"
"sp75_1400_2_pp_c_lag_all",".9999822",".9892677"
"sp75_1400_3_pp_c_lag_all",".9996477",".0860867"
"sp75_1400_4_pp_c_lag_all",".9997367",".6120554"
"sp75_1400_pp_c_lag_all","1.000506",".0417206"
"sp75_1401_1_pp_c_lag_all",".9980506",".4860353"
"sp75_1401_pp_c_lag_all","1.000838",".576937"
"sp75_1403_10_pp_c_lag_all","1.000142",".0074696"
"sp75_1403_11_pp_c_lag_all","1.000742",".4916975"
"sp75_1403_3_pp_c_lag_all",".9933935",".0003203"
"sp75_1403_4_pp_c_lag_all","1.003767",".0682441"
"sp75_1403_5_pp_c_lag_all","1.000002",".9370793"
"sp75_1403_6_pp_c_lag_all",".9999837",".4911209"
"sp75_1403_7_pp_c_lag_all",".9999614",".8034759"
"sp75_1403_8_pp_c_lag_all","1.000057",".1483539"
"sp75_1403_9_pp_c_lag_all","1.000149",".4972383"
"sp75_1404_1_pp_c_lag_all",".9972076",".1605042"
"sp75_1404_pp_c_lag_all",".9988782",".2551632"
"sp75_1405_1_pp_c_lag_all",".9985534",".0702353"
"sp75_1405_pp_c_lag_all",".9998946",".0672032"
"sp75_1431_pp_c_lag_all",".9958268",".6125286"
"sp75_1432_pp_c_lag_all","1.000328",".3951596"
"sp75_1433_pp_c_lag_all",".9996847",".3278312"
"sp75_1434_pp_c_lag_all","1.000301",".3389149"
"sp75_1435_pp_c_lag_all","1.002376",".2008721"
"sp75_1437_pp_c_lag_all",".9988496",".2219231"
"sp75_150_pp_c_lag_all",".999632",".5088454"
"sp75_151_pp_c_lag_all","1.000437",".6270709"
"sp75_153_pp_c_lag_all","1.002624",".0008737"
"sp75_156_pp_c_lag_all",".9991932",".4188363"
"sp75_160_pp_c_lag_all",".9997058",".8485314"
"sp75_1600_2_pp_c_lag_all",".9999982",".9792716"
"sp75_1712_10_pp_c_lag_all",".9992522",".0008891"
"sp75_1712_6_pp_c_lag_all","1.000139",".3772107"
"sp75_1720_pp_c_lag_all",".9996855",".0149986"
"sp75_1721_pp_c_lag_all","1","."
"sp75_1725_pp_c_lag_all","1.000011",".2208197"
"sp75_1726_pp_c_lag_all","1.000743",".0071275"
"sp75_1727_pp_c_lag_all","1","."
"sp75_1728_pp_c_lag_all","1.000675",".4754627"
"sp75_1729_pp_c_lag_all",".9992585",".1667971"
"sp75_1730_pp_c_lag_all","1.000036",".9298121"
"sp75_1731_pp_c_lag_all","1.000012",".0438331"
"sp75_1903_pp_c_lag_all","1.000271",".0354438"
"sp75_1909_pp_c_lag_all",".9999558",".0188534"
"sp75_1910_pp_c_lag_all","1.000073",".0255586"
"sp75_1911_pp_c_lag_all",".9999491",".1960756"
"sp75_1912_pp_c_lag_all","1.000057",".8650565"
"sp75_1913_pp_c_lag_all","1.000929",".0140675"
"sp75_1914_pp_c_lag_all",".9999887",".5956238"
"sp75_1915_pp_c_lag_all",".9999076",".8134123"
"sp75_202_pp_c_lag_all",".9999961",".336886"
"sp75_208_pp_c_lag_all","1.000038",".4392354"
"sp75_211_pp_c_lag_all","1.000099",".037147"
"sp75_212_pp_c_lag_all","1.000395",".0007294"
"sp75_214_pp_c_lag_all",".9998957",".3352418"
"sp75_312_pp_c_lag_all","1.000018",".840389"
"sp75_320_pp_c_lag_all",".9999296",".1997605"
"sp75_324_pp_c_lag_all",".9993089",".0027836"
"sp75_337_pp_c_lag_all","1.000181",".076612"
"sp75_340_pp_c_lag_all",".9999481",".0948265"
"sp75_341_pp_c_lag_all",".9979132",".2771323"
"sp75_342_pp_c_lag_all","1.00001",".5575637"
"sp75_344_pp_c_lag_all","1.000325",".3107553"
"sp75_352_pp_c_lag_all",".9997539",".3091817"
"sp75_382_pp_c_lag_all","1.000166",".3808456"
"sp75_503_pp_c_lag_all",".9999849",".0313452"
"sp75_504_pp_c_lag_all","1.000901",".0322491"
"sp75_505_pp_c_lag_all","1.000529",".3378304"
"sp75_506_1_pp_c_lag_all","1.001509","5.89e-11"
"sp75_506_pp_c_lag_all",".9994843",".1225567"
"sp75_507_pp_c_lag_all",".9997031",".0529499"
"sp75_511_1_pp_c_lag_all",".9991842",".7333349"
"sp75_511_pp_c_lag_all",".9999869",".9391984"
"sp75_512_1_pp_c_lag_all","1.0007",".5851631"
"sp75_512_2_pp_c_lag_all","1.000102",".0757013"
"sp75_512_pp_c_lag_all","1.000011",".4410216"
"sp75_513_1_pp_c_lag_all",".9998039",".7606179"
"sp75_513_pp_c_lag_all",".9998848",".6070849"
"sp75_514_pp_c_lag_all",".9999943",".9101534"
"sp75_515_pp_c_lag_all",".9999447",".1025121"
"sp75_516_1_pp_c_lag_all",".9972991",".0008682"
"sp75_516_2_pp_c_lag_all",".9998699",".1560976"
"sp75_516_pp_c_lag_all","1.00001",".842152"
"sp75_517_1_pp_c_lag_all",".9990309",".3102911"
"sp75_517_pp_c_lag_all","1.000002",".7846553"
"sp75_518_1_pp_c_lag_all",".9998945",".2005091"
"sp75_518_pp_c_lag_all",".9999297",".1391911"
"sp75_519_pp_c_lag_all",".9917748",".0977376"
"sp75_520_pp_c_lag_all","1.000147",".1939954"
"sp75_523_1_pp_c_lag_all","1.000008",".9526452"
"sp75_523_2_pp_c_lag_all",".999822",".052906"
"sp75_523_pp_c_lag_all",".9999406",".5757878"
"sp75_600_1_pp_c_lag_all","1.000678",".2468627"
"sp75_600_pp_c_lag_all",".9994495",".5730316"
"sp75_601_1_pp_c_lag_all",".9999801",".6548342"
"sp75_601_2_pp_c_lag_all",".9995751",".4957937"
"sp75_601_3_pp_c_lag_all",".9995587",".6210804"
"sp75_601_pp_c_lag_all","1.000014",".8158228"
"sp75_602_pp_c_lag_all",".9998609",".4410798"
"sp75_603_pp_c_lag_all",".9998916",".5632887"
"sp75_604_pp_c_lag_all",".9999853",".2615852"
"sp75_605_pp_c_lag_all","1.000115",".0714308"
"sp75_606_pp_c_lag_all",".9999996",".9846542"
"sp75_607_pp_c_lag_all",".9997803",".2985183"
"sp75_700_1_pp_c_lag_all",".9992837",".2950916"
"sp75_700_pp_c_lag_all",".9999861",".9492119"
"sp75_701_1_pp_c_lag_all","1.000269",".1988418"
"sp75_701_2_pp_c_lag_all","1.00018",".4815994"
"sp75_701_3_pp_c_lag_all",".9998804",".6502065"
"sp75_701_4_pp_c_lag_all","1.001143",".1237141"
"sp75_701_pp_c_lag_all",".9999909",".8148045"
"sp75_702_1_pp_c_lag_all",".9978925",".34743"
"sp75_702_pp_c_lag_all","1.001761",".0328076"
