"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_pp_c_4lag","1.003097",".0722859"
"sp48_24_pp_c_4lag","1.003431","0"
"sp48_25_pp_c_4lag","1.001353",".6944883"
"sp48_26_pp_c_4lag","1.001139",".5711898"
"sp48_27_pp_c_4lag",".9951781",".0786293"
"sp48_28_pp_c_4lag",".9941094",".0417187"
"sp48_4_pp_c_4lag","1","."
"sp48_5_pp_c_4lag",".9996288",".884741"
"sp48_6_pp_c_4lag",".9981183",".1640678"
"sp48_7_pp_c_4lag","1.003934",".0268013"
"sp48_8_pp_c_4lag","1.004494",".1136597"
"sp75_100_pp_c_4lag","1.01764",".1273812"
"sp75_1002_pp_c_4lag",".9989523",".1984692"
"sp75_1003_pp_c_4lag","1.006719",".3626732"
"sp75_1003_2_pp_c_4lag","1","."
"sp75_1311_pp_c_4lag",".9917367",".0540349"
"sp75_1315_pp_c_4lag","1","."
"sp75_1316_pp_c_4lag",".9934876",".2134891"
"sp75_1318_pp_c_4lag","1","."
"sp75_1400_pp_c_4lag","1.000481",".8949772"
"sp75_1400_1_pp_c_4lag","1.002787",".8049852"
"sp75_1403_10_pp_c_4lag","1.00196",".0703641"
"sp75_1403_5_pp_c_4lag","1.00017",".8757593"
"sp75_1403_6_pp_c_4lag","1.000535",".4151045"
"sp75_1403_7_pp_c_4lag",".9908577",".0007158"
"sp75_1403_8_pp_c_4lag",".9991301",".198754"
"sp75_1404_pp_c_4lag",".990767",".2295454"
"sp75_1404_1_pp_c_4lag","1","."
"sp75_1405_pp_c_4lag","1.001685",".2110941"
"sp75_1405_1_pp_c_4lag","1.011937",".1627479"
"sp75_153_pp_c_4lag","1.005341",".6516436"
"sp75_156_pp_c_4lag",".9970216",".7184295"
"sp75_160_pp_c_4lag","1.014088",".2397882"
"sp75_1719_2_pp_c_4lag","1.001876",".7761199"
"sp75_1719_4_pp_c_4lag","1.000837",".5390662"
"sp75_1720_pp_c_4lag","1.00015",".8601143"
"sp75_1725_pp_c_4lag","1.000336",".0401175"
"sp75_1906_pp_c_4lag","1.004658",".142648"
"sp75_1916_pp_c_4lag","1.00126",".685199"
"sp75_203_pp_c_4lag","1.000156",".6471384"
"sp75_204_pp_c_4lag","1.001065",".056203"
"sp75_205_pp_c_4lag","1.001937",".687711"
"sp75_207_pp_c_4lag","1.006828",".0633722"
"sp75_208_pp_c_4lag",".9982907",".0089151"
"sp75_209_pp_c_4lag",".9982294",".3775719"
"sp75_212_pp_c_4lag","1.008708",".0030514"
"sp75_213_pp_c_4lag",".9907956",".1367828"
"sp75_215_pp_c_4lag",".9890695",".2722959"
"sp75_332_pp_c_4lag","1.008343",".0841254"
"sp75_334_pp_c_4lag","1.000569",".7002493"
"sp75_337_pp_c_4lag","1.000366",".7317001"
"sp75_340_pp_c_4lag","1.001009",".0698864"
"sp75_343_pp_c_4lag","1.017636",".0775887"
"sp75_373_pp_c_4lag","1.026029",".1402173"
"sp75_388_pp_c_4lag",".9987941",".3715134"
"sp75_389_pp_c_4lag",".9992915",".8359593"
"sp75_500_pp_c_4lag",".9995274",".7587202"
"sp75_500_1_pp_c_4lag",".989026",".1690055"
"sp75_501_pp_c_4lag",".9966355",".2959936"
"sp75_501_2_pp_c_4lag","1.003035",".3635921"
"sp75_502_pp_c_4lag","1.012146",".0348849"
"sp75_503_pp_c_4lag","1.000049",".6603048"
"sp75_505_pp_c_4lag","1.004379",".3565413"
"sp75_506_1_pp_c_4lag","1.002406",".3945895"
"sp75_507_pp_c_4lag",".997615",".185237"
"sp75_507_1_pp_c_4lag","1.000551",".4785621"
"sp75_508_1_pp_c_4lag","1.000695",".9237726"
"sp75_509_pp_c_4lag",".9983127",".7719561"
"sp75_510_pp_c_4lag","1","."
"sp75_512_1_pp_c_4lag",".9962194",".710345"
"sp75_523_pp_c_4lag",".9998226",".8843449"
"sp75_523_3_pp_c_4lag",".9999336",".8367662"
"sp75_524_pp_c_4lag","1.008473",".0376356"
"sp75_602_pp_c_4lag","1.001747",".2611926"
"sp75_603_pp_c_4lag","1.003277",".1344359"
"sp75_604_pp_c_4lag","1.000301",".1544155"
"sp75_605_pp_c_4lag","1.000576",".36341"
"sp75_606_pp_c_4lag","1.000171",".6360739"
"sp75_607_pp_c_4lag",".9993148",".5753286"
"sp75_703_3_pp_c_4lag","1.000866",".5212955"
"sp75_703_4_pp_c_4lag",".9942038",".44953"
"sp75_807_pp_c_4lag","1.000736",".0647836"
"sp75_810_pp_c_4lag",".9992054",".5901079"
"sp75_811_pp_c_4lag","1.000273",".8687105"
"sp75_812_pp_c_4lag",".9949474",".3344748"
"sp75_816_pp_c_4lag",".9989721",".229993"
"sp75_817_pp_c_4lag","1.008357",".3191968"
"sp75_906_pp_c_4lag",".9940748",".1878707"
"mine_time","1.000913",".7350974"
"onsite_insp_hours","1.002286","5.05e-06"
"1.state",".8409499",".6868122"
"2.state","1.498188",".0052399"
"3.state",".9165968",".6213388"
"4.state","2.509333",".003489"
"5.state",".9517345",".7772752"
"6.state",".667543",".0000329"
"7.state","1.157315",".6428339"
"8.state",".1754443","0"
"9.state","1","."
"10.state",".839467",".5103848"
"11.state","1.576413",".2438197"
"12.state","1.049911",".7418101"
"13.state","1.328671",".3626782"
"14.state",".3160303",".0012579"
"15.state",".6199884",".0000218"
"16.state","1","."
"17.state","1","."
"29.time","1.274445",".133271"
"30.time","1.266171",".1430764"
"31.time","1.49339",".0114864"
"32.time","1.228493",".1939359"
"33.time","1.117878",".5152796"
"34.time","1.106073",".5383489"
"35.time","1.064456",".6865503"
"36.time","1","."
"37.time","1.028249",".8712505"
"38.time","1.026551",".8806037"
"39.time","1.127299",".4790559"
"40.time",".8668289",".4019482"
"41.time","1.078193",".6776685"
"42.time",".9600131",".8111187"
"43.time","1.306237",".1307216"
"44.time",".7988394",".2187599"
"45.time",".8850342",".4628232"
"46.time","1.054219",".7623337"
"47.time","1.372548",".0766663"
"48.time",".8593782",".3917591"
"49.time",".9496784",".7654374"
"50.time","1.040525",".8220133"
"51.time",".9848185",".9340171"
"52.time",".5098096",".0002328"
"53.time",".8269438",".3076665"
"54.time",".8236913",".3213983"
"55.time",".8662886",".4651831"
"56.time",".5383025",".0015537"
"57.time",".6600222",".0466473"
"58.time",".6535716",".0326227"
"59.time",".715374",".1157738"
"60.time",".8422693",".4202276"
"61.time",".657015",".0425866"
"62.time",".5285783",".0028119"
"63.time",".968302",".8806111"
"64.time",".5989917",".0182538"
"65.time",".4000622",".0001922"
"N","12866",""
