"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_ss_c_4lag","1.475565",".0268635"
"sp48_25_ss_c_4lag","1.040378",".8694978"
"sp48_26_ss_c_4lag","1.250668",".0974807"
"sp48_27_ss_c_4lag",".6831659",".0921382"
"sp48_28_ss_c_4lag","1.049144",".808265"
"sp48_4_ss_c_4lag",".5213706",".5653597"
"sp48_5_ss_c_4lag","1.103896",".6620676"
"sp48_6_ss_c_4lag",".7378662",".0278891"
"sp48_7_ss_c_4lag","1.204971",".2089799"
"sp48_8_ss_c_4lag","1.50015",".122729"
"sp75_100_ss_c_4lag","2.659285",".109564"
"sp75_1002_ss_c_4lag","1.165895",".5090574"
"sp75_1003_ss_c_4lag",".9393323",".7201761"
"sp75_1003_2_ss_c_4lag","1","."
"sp75_1311_ss_c_4lag",".2168187",".0028138"
"sp75_1315_ss_c_4lag",".8398201",".8327773"
"sp75_1316_ss_c_4lag",".4191353",".0037151"
"sp75_1318_ss_c_4lag","1","."
"sp75_1322_ss_c_4lag","1","."
"sp75_1400_ss_c_4lag","2.040512",".1400222"
"sp75_1400_1_ss_c_4lag",".5912597",".2883502"
"sp75_1403_10_ss_c_4lag","1.22748",".0409754"
"sp75_1403_5_ss_c_4lag","1.107216",".1116669"
"sp75_1403_6_ss_c_4lag","1.078889",".1570794"
"sp75_1403_7_ss_c_4lag",".6927443",".0728727"
"sp75_1403_8_ss_c_4lag","1.007912",".9517385"
"sp75_1404_ss_c_4lag","1","."
"sp75_1404_1_ss_c_4lag",".8879922",".8551183"
"sp75_1405_ss_c_4lag","1.085015",".4824079"
"sp75_1405_1_ss_c_4lag","1.492991",".0419521"
"sp75_153_ss_c_4lag","1","."
"sp75_155_ss_c_4lag","1","."
"sp75_156_ss_c_4lag",".1964437","6.00e-06"
"sp75_1719_2_ss_c_4lag",".1945834","1.67e-09"
"sp75_1719_4_ss_c_4lag","1.142408",".6882558"
"sp75_1720_ss_c_4lag","1.090303",".1542636"
"sp75_1725_ss_c_4lag","1.01431",".2443443"
"sp75_1906_ss_c_4lag","1","."
"sp75_1916_ss_c_4lag","1.197361",".538759"
"sp75_203_ss_c_4lag","1.027161",".3406376"
"sp75_204_ss_c_4lag","1.252146",".000392"
"sp75_205_ss_c_4lag","1.860756",".0515443"
"sp75_207_ss_c_4lag","1.261031",".3436784"
"sp75_208_ss_c_4lag",".9565653",".244015"
"sp75_209_ss_c_4lag","1.058241",".6064597"
"sp75_212_ss_c_4lag",".913474",".3966925"
"sp75_213_ss_c_4lag",".6967546",".131383"
"sp75_215_ss_c_4lag",".1712721",".065506"
"sp75_332_ss_c_4lag",".8511066",".5153931"
"sp75_334_ss_c_4lag","1.015421",".899853"
"sp75_337_ss_c_4lag","1.008635",".9607073"
"sp75_340_ss_c_4lag","1.065822",".2269878"
"sp75_343_ss_c_4lag","1.975852",".2814296"
"sp75_373_ss_c_4lag","1","."
"sp75_388_ss_c_4lag","1.102482",".3325693"
"sp75_389_ss_c_4lag",".9249061",".8610655"
"sp75_500_ss_c_4lag","1.69842",".0303074"
"sp75_500_1_ss_c_4lag",".2993643",".0029121"
"sp75_501_ss_c_4lag",".4209031",".1459328"
"sp75_501_2_ss_c_4lag",".3762714",".0270138"
"sp75_502_ss_c_4lag","1.123631",".8122717"
"sp75_503_ss_c_4lag","1.049106",".006183"
"sp75_505_ss_c_4lag","1.367889",".4669819"
"sp75_506_1_ss_c_4lag",".9160261",".7758344"
"sp75_507_ss_c_4lag","1.51502",".0893988"
"sp75_507_1_ss_c_4lag",".9164156",".4537839"
"sp75_509_ss_c_4lag","1.096254",".8005002"
"sp75_512_1_ss_c_4lag",".4776178",".0715019"
"sp75_523_ss_c_4lag",".9809247",".6875373"
"sp75_523_3_ss_c_4lag",".9704747",".1994377"
"sp75_524_ss_c_4lag","1.373497",".5682075"
"sp75_602_ss_c_4lag",".8710466",".3533445"
"sp75_603_ss_c_4lag","1.194263",".3293418"
"sp75_604_ss_c_4lag","1.026171",".1173951"
"sp75_605_ss_c_4lag","1.053795",".3553534"
"sp75_606_ss_c_4lag",".9925902",".8214751"
"sp75_607_ss_c_4lag",".9775401",".8351634"
"sp75_703_3_ss_c_4lag","1.125997",".5816258"
"sp75_807_ss_c_4lag","1.054289",".2781461"
"sp75_810_ss_c_4lag","1.174574",".4934259"
"sp75_811_ss_c_4lag",".4452134",".0017256"
"sp75_812_ss_c_4lag",".4518317",".0769863"
"sp75_816_ss_c_4lag",".8905956",".5463927"
"sp75_817_ss_c_4lag","1","."
"sp75_906_ss_c_4lag",".561248",".1095093"
"mine_time","1.000723",".7803796"
"onsite_insp_hours","1.003585","1.27e-14"
"1.state","1.063614",".8607365"
"2.state","1.815407","4.43e-11"
"3.state","1.762045",".0016802"
"4.state","4.152309","5.45e-07"
"5.state","1.514063",".050361"
"6.state","1","."
"7.state","1.877194",".0255063"
"8.state",".6221471","3.40e-09"
"9.state","4.207298","0"
"10.state","1.385474",".1421277"
"11.state","3.830205",".0001078"
"12.state","1.760961","1.01e-06"
"13.state","2.132426",".0017087"
"14.state",".5157755",".0472898"
"15.state","1.085729",".3160835"
"16.state","1.741919","5.88e-13"
"17.state","5.720837","0"
"4.time","1.774737",".0009755"
"5.time","2.166395",".0000192"
"6.time","2.212797","3.35e-06"
"7.time","2.59946","2.26e-08"
"8.time","2.107435",".0000112"
"9.time","2.2519","2.17e-06"
"10.time","1.94641",".0000929"
"11.time","2.713795","4.99e-09"
"12.time","1.847356",".0003447"
"13.time","2.021551",".0000969"
"14.time","2.180839",".0000176"
"15.time","3.361133","7.63e-11"
"16.time","1.730683",".0019307"
"17.time","1.763763",".0011592"
"18.time","1.584622",".0082068"
"19.time","1.792994",".0005958"
"20.time","1.40595",".0380726"
"21.time","1.493998",".0201279"
"22.time","1.517382",".0141979"
"23.time","1.706295",".0017874"
"24.time","1.223542",".222974"
"25.time","1.503645",".0143133"
"26.time","1.365765",".0629303"
"27.time","1.677355",".0014157"
"28.time","1.318994",".1039964"
"29.time","1.106169",".5253562"
"30.time","1.12013",".470846"
"31.time","1.402818",".0326225"
"32.time","1.143151",".4012474"
"33.time","1.092111",".6048081"
"34.time","1.081335",".6303704"
"35.time","1.070231",".6597283"
"36.time","1","."
"37.time","1.035392",".8400152"
"38.time","1.028141",".8731962"
"39.time","1.117364",".512937"
"40.time",".8559454",".3596084"
"41.time","1.066879",".7209028"
"42.time",".9463969",".7460578"
"43.time","1.318718",".1187648"
"44.time",".7892614",".1982859"
"45.time",".8472253",".3212492"
"46.time","1.000031",".999861"
"47.time","1.316223",".1270002"
"48.time",".8300651",".291905"
"49.time",".9302741",".6754802"
"50.time","1.007167",".9676418"
"51.time",".9622891",".834796"
"52.time",".4906532",".0000845"
"53.time",".7948951",".2100967"
"54.time",".792988",".2276422"
"55.time",".8217232",".311617"
"56.time",".5415011",".0014705"
"57.time",".6145387",".0196731"
"58.time",".6161066",".0136769"
"59.time",".6850616",".0742698"
"60.time",".7948322",".2713375"
"61.time",".6231202",".0205175"
"62.time",".4887397",".0006561"
"63.time",".904959",".6377709"
"64.time",".5554458",".0059489"
"65.time",".3515156",".0000185"
"N","22353",""
