"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp_1lag","1.000331",".5801726"
"sp48_24_pp_1lag","1.001516","2.22e-16"
"sp48_25_pp_1lag",".9991261",".4632628"
"sp48_26_pp_1lag","1.000941",".4367544"
"sp48_27_pp_1lag","1.000197",".8429467"
"sp48_28_pp_1lag",".9980238",".1157088"
"sp48_4_pp_1lag",".9953624","7.88e-08"
"sp48_5_pp_1lag","1.001349",".5316421"
"sp48_6_pp_1lag",".9998367",".827547"
"sp48_7_pp_1lag","1.000529",".3090284"
"sp48_8_pp_1lag","1.003053",".0680933"
"sp75_100_pp_1lag","1.000594",".7255579"
"sp75_1002_pp_1lag","1.000003",".9930162"
"sp75_1003_pp_1lag",".9993141",".0895339"
"sp75_1003_2_pp_1lag",".9989078",".0002718"
"sp75_1311_pp_1lag",".9994339",".5292489"
"sp75_1315_pp_1lag","1","."
"sp75_1316_pp_1lag",".9974897",".1693739"
"sp75_1318_pp_1lag","1","."
"sp75_1400_pp_1lag",".9966702",".0010485"
"sp75_1400_1_pp_1lag",".9970707",".4408909"
"sp75_1403_10_pp_1lag","1.000724",".0006066"
"sp75_1403_5_pp_1lag",".9999804",".9179202"
"sp75_1403_6_pp_1lag",".9996082",".0044963"
"sp75_1403_7_pp_1lag","1.0003",".6632742"
"sp75_1403_8_pp_1lag",".9992412","2.11e-07"
"sp75_1404_pp_1lag","1.004425",".1746039"
"sp75_1404_1_pp_1lag",".9973838",".4482775"
"sp75_1405_pp_1lag",".9997073",".1453143"
"sp75_1405_1_pp_1lag",".9985687",".0605166"
"sp75_153_pp_1lag",".9967774",".2269688"
"sp75_156_pp_1lag","1.00004",".9919792"
"sp75_160_pp_1lag","1.016492",".0768751"
"sp75_1719_2_pp_1lag","1.000497",".758627"
"sp75_1719_4_pp_1lag","1.000559",".2713183"
"sp75_1720_pp_1lag",".999789",".6488355"
"sp75_1725_pp_1lag","1.000062",".3548868"
"sp75_1906_pp_1lag","1.001783",".0131151"
"sp75_1916_pp_1lag","1.000901",".1985909"
"sp75_203_pp_1lag","1.000582",".0204649"
"sp75_204_pp_1lag","1.000206",".4515966"
"sp75_205_pp_1lag","1.006076",".1778658"
"sp75_207_pp_1lag","1.002459",".2254293"
"sp75_208_pp_1lag","1.000081",".7541962"
"sp75_209_pp_1lag","1.000017",".9878624"
"sp75_212_pp_1lag","1.001039",".0692167"
"sp75_213_pp_1lag","1.002953","7.06e-09"
"sp75_215_pp_1lag",".9917076",".0387788"
"sp75_332_pp_1lag",".9981339",".2891481"
"sp75_334_pp_1lag",".9997398",".6097772"
"sp75_337_pp_1lag",".9998038",".7215157"
"sp75_340_pp_1lag",".9999051",".6670446"
"sp75_343_pp_1lag","1.000647",".3978852"
"sp75_373_pp_1lag","1.00977",".5262578"
"sp75_388_pp_1lag",".9992196",".5347976"
"sp75_389_pp_1lag","1.000025",".9836777"
"sp75_500_pp_1lag",".9996749",".777027"
"sp75_500_1_pp_1lag","1.001447",".6326803"
"sp75_501_pp_1lag",".9982872",".2634796"
"sp75_501_2_pp_1lag",".9994342",".803313"
"sp75_502_pp_1lag",".9985075",".6144635"
"sp75_503_pp_1lag","1.000087",".1110332"
"sp75_505_pp_1lag",".9985652",".4403767"
"sp75_506_1_pp_1lag","1.001517",".2888113"
"sp75_507_pp_1lag","1.000933",".227747"
"sp75_507_1_pp_1lag",".9998373",".7388372"
"sp75_508_1_pp_1lag",".9736381","2.22e-16"
"sp75_509_pp_1lag","1.001176",".5576061"
"sp75_510_pp_1lag",".9913058",".0011319"
"sp75_512_1_pp_1lag",".9998047",".9518505"
"sp75_523_pp_1lag",".9989135",".1604341"
"sp75_523_3_pp_1lag",".9996697",".0437288"
"sp75_524_pp_1lag","1.004759",".0086354"
"sp75_602_pp_1lag",".9999464",".9211838"
"sp75_603_pp_1lag","1.0012",".1183868"
"sp75_604_pp_1lag","1.000253",".0057242"
"sp75_605_pp_1lag","1.00008",".7980338"
"sp75_606_pp_1lag",".9999664",".8274211"
"sp75_607_pp_1lag",".999325",".3526421"
"sp75_703_3_pp_1lag","1.002031",".0298472"
"sp75_703_4_pp_1lag","1.000083",".9922505"
"sp75_807_pp_1lag","1.000251",".1274254"
"sp75_810_pp_1lag","1.001157",".0436062"
"sp75_811_pp_1lag","1.001057",".2038567"
"sp75_812_pp_1lag",".9983113",".2676328"
"sp75_816_pp_1lag",".9999091",".8328261"
"sp75_817_pp_1lag",".9989414",".3807324"
"sp75_906_pp_1lag",".9935707",".0900722"
"mine_time","1.000485",".7202161"
"onsite_insp_hours",".9994949","7.35e-07"
"1.state","1.048143",".6389145"
"2.state","1.61733","0"
"3.state",".5895114","4.73e-07"
"4.state","1.023467",".752169"
"5.state",".8212733",".0360826"
"6.state",".8424401",".0005768"
"7.state","1.125678",".3608421"
"8.state",".3991897","0"
"9.state",".6280734","0"
"10.state",".8642767",".1453941"
"11.state","1.305775",".2886765"
"12.state","1.071245",".383184"
"13.state","1.496766",".0139387"
"14.state",".4330481",".0000808"
"15.state",".7296035","3.44e-06"
"16.state","1","."
"17.state",".5664172","0"
"29.time","1.161993",".0236045"
"30.time","1.259924",".0022326"
"31.time","1.442105","1.16e-07"
"32.time","1.184876",".006965"
"33.time","1.1002",".1219115"
"34.time","1.08461",".2205461"
"35.time","1.218366",".0005746"
"36.time","1","."
"37.time","1.008072",".8880514"
"38.time",".9640416",".5785929"
"39.time","1.102574",".1012388"
"40.time",".9434436",".377695"
"41.time",".9423527",".4121589"
"42.time",".9504916",".5486132"
"43.time","1.181579",".0114262"
"44.time",".9328543",".3260936"
"45.time",".9453698",".3790275"
"46.time",".888629",".0719137"
"47.time","1.032045",".6056004"
"48.time",".7913843",".000278"
"49.time",".8771052",".0649109"
"50.time",".7682022",".000039"
"51.time",".8753471",".0647897"
"52.time",".6907175","1.92e-06"
"53.time",".777155",".0004758"
"54.time",".7472231",".0001323"
"55.time",".863569",".0564949"
"56.time",".6578358","4.34e-07"
"57.time",".7531115",".0001937"
"58.time",".7681549",".0009253"
"59.time",".8333225",".0158123"
"60.time",".7986541",".003731"
"61.time",".7269795",".0000522"
"62.time",".6898441","1.99e-06"
"63.time",".9119524",".2529599"
"64.time",".7032223",".0001317"
"65.time",".7629629",".003451"
"N","14208",""
