"","est1",""
"","b","p"
"dv_indicator","",""
"p48_1lag","1.224222",".0160866"
"p75_1lag","1.000642",".7530029"
"mine_time","1.020887",".2893413"
"onsite_insp_hours","1.003698","5.82e-14"
"1.state","1.135382",".8670722"
"2.state",".6697116",".0038686"
"3.state","1.384565",".4616777"
"4.state","4.70757",".0429293"
"5.state",".9511105",".9204803"
"6.state",".4840326","4.06e-07"
"7.state","2.181003",".4420997"
"8.state",".7790911",".0716589"
"9.state",".2177242","0"
"10.state",".6916588",".3744041"
"11.state","3.368744",".1596869"
"12.state",".5227596",".0030726"
"13.state","1.86906",".3507751"
"14.state",".4252828",".0407768"
"15.state",".6315264",".0077383"
"16.state","1","."
"17.state","1","."
"1.time","1.024601",".8980167"
"2.time","1","."
"3.time",".6857142",".051447"
"4.time",".9167628",".7024908"
"5.time",".5336894",".0036293"
"6.time",".4846621",".0005171"
"7.time",".4993612",".0014598"
"8.time",".3260218","2.45e-07"
"9.time",".2336317","3.70e-11"
"10.time",".2707779","1.78e-07"
"11.time",".2038621","9.62e-11"
"12.time",".2462042","1.38e-08"
"13.time",".1697455","6.22e-13"
"14.time",".2548954","3.09e-06"
"15.time",".1590487","3.89e-10"
"16.time",".1079259","1.04e-12"
"N","6242",""
