"","est1",""
"","b","p"
"dv","",""
"p48_ss_c_lag_all","1.001013",".7699048"
"p75_ss_c_lag_all",".9999842",".4606117"
"mine_time","1.011254",".0729693"
"onsite_insp_hours",".9999006",".0115777"
"1.state",".8482085",".1538685"
"2.state","1.2079",".0000763"
"3.state",".6499511",".0008241"
"4.state","1.047329",".4784754"
"5.state",".8832998",".2186089"
"6.state",".7868676","3.17e-07"
"7.state","1.071049",".7212991"
"8.state",".454094","0"
"9.state",".5526931","0"
"10.state",".7995077",".0211685"
"11.state","1.569703",".0091691"
"12.state","1.012007",".8707618"
"13.state","1.497471",".0002385"
"14.state",".398277","6.73e-07"
"15.state",".7307902","1.25e-08"
"16.state","1","."
"17.state",".5807172","0"
"1.time","1.027147",".5790112"
"2.time","1","."
"3.time",".917671",".0610625"
"4.time",".8300837",".0011476"
"5.time",".7764387","1.63e-06"
"6.time",".6999066","2.49e-10"
"7.time",".6958967","3.86e-10"
"8.time",".6888276","3.46e-09"
"9.time",".6131655","3.00e-14"
"10.time",".5503229","0"
"11.time",".5460881","0"
"12.time",".5054356","0"
"13.time",".4414012","0"
"14.time",".4286765","0"
"15.time",".4205275","0"
"16.time",".4000711","0"
"N","6253",""
