"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_ss","1.242551",".6298805"
"sp48_25_ss","1.249094",".7131677"
"sp48_26_ss","1.321041",".4348234"
"sp48_27_ss",".5562985",".3623847"
"sp48_28_ss","3.88425",".1193237"
"sp48_4_ss","1","."
"sp48_5_ss","1.182144",".7676682"
"sp48_6_ss",".5260277",".0476983"
"sp48_7_ss","2.08276",".1172177"
"sp48_8_ss","1.143621",".7919305"
"sp75_100_ss","1.105365",".9333442"
"sp75_1002_ss","3.248836",".2265239"
"sp75_1003_ss","1","."
"sp75_1003_2_ss","1","."
"sp75_1311_ss",".4197972",".2471675"
"sp75_1315_ss",".3924171",".2775081"
"sp75_1316_ss",".2211051",".0336765"
"sp75_1318_ss","1","."
"sp75_1322_ss","1","."
"sp75_1400_ss","3.285631",".150741"
"sp75_1400_1_ss","1","."
"sp75_1403_10_ss","3.107701",".0775154"
"sp75_1403_5_ss",".9343841",".8038806"
"sp75_1403_6_ss","1.410847",".2682025"
"sp75_1403_7_ss",".4005471",".0164607"
"sp75_1403_8_ss","2.430314",".5429699"
"sp75_1404_ss","1","."
"sp75_1404_1_ss",".0638475",".0003444"
"sp75_1405_ss","2.734871",".2928079"
"sp75_1405_1_ss","1","."
"sp75_153_ss","1","."
"sp75_155_ss","1","."
"sp75_156_ss","1","."
"sp75_1719_2_ss","0",".9918728"
"sp75_1719_4_ss","1","."
"sp75_1720_ss",".8837065",".3857497"
"sp75_1725_ss","1.030594",".424993"
"sp75_1906_ss","1","."
"sp75_1916_ss","1","."
"sp75_203_ss","1.049365",".4911195"
"sp75_204_ss","1.2158",".2206365"
"sp75_205_ss","1","."
"sp75_207_ss","2.467845",".3075673"
"sp75_208_ss",".8101943",".0125106"
"sp75_209_ss","1.179563",".4814724"
"sp75_212_ss","1.552129",".5175131"
"sp75_213_ss","1","."
"sp75_215_ss","1","."
"sp75_332_ss",".210941",".0004079"
"sp75_334_ss",".9081643",".7731578"
"sp75_337_ss",".6269383",".3852583"
"sp75_340_ss","1.503216",".0486459"
"sp75_343_ss","1","."
"sp75_373_ss","1","."
"sp75_388_ss",".9188411",".6775231"
"sp75_389_ss",".3472331",".0816618"
"sp75_500_ss","1.074272",".8942573"
"sp75_500_1_ss","1","."
"sp75_501_ss",".5467786",".5611715"
"sp75_501_2_ss",".2667683",".0805221"
"sp75_502_ss",".5558205",".5298101"
"sp75_503_ss","1.088381",".1020867"
"sp75_505_ss","1","."
"sp75_506_1_ss","1","."
"sp75_507_ss","2.66119",".2214859"
"sp75_507_1_ss",".5756913",".1198133"
"sp75_509_ss","2.397298",".3062914"
"sp75_512_1_ss",".03166",".001511"
"sp75_523_ss",".8459353",".1249415"
"sp75_523_3_ss",".8970437",".0462147"
"sp75_524_ss","1","."
"sp75_602_ss",".7120661",".5226183"
"sp75_603_ss",".9096698",".8394342"
"sp75_604_ss","1.055153",".2480836"
"sp75_605_ss","1.158146",".4153877"
"sp75_606_ss",".9435459",".52273"
"sp75_607_ss","1.509341",".4379461"
"sp75_703_3_ss","2.327911",".5284443"
"sp75_807_ss",".9608116",".7534002"
"sp75_810_ss",".581526",".2539303"
"sp75_811_ss",".2789141",".1574061"
"sp75_812_ss","1","."
"sp75_816_ss",".4906942",".1432614"
"sp75_817_ss","1","."
"sp75_906_ss",".1753099",".0032431"
"mine_time","1.014595",".4615077"
"onsite_insp_hours","1.003735","0"
"1.state",".9946393",".9945108"
"2.state",".6416417",".0049716"
"3.state","1.290967",".5519789"
"4.state","4.490663",".0528144"
"5.state",".8679387",".782692"
"6.state",".4922833","1.24e-06"
"7.state","2.076944",".5100152"
"8.state",".7769115",".1868275"
"9.state",".1936613","0"
"10.state",".6768152",".335825"
"11.state","2.487295",".2838268"
"12.state",".5083727",".001826"
"13.state","2.079252",".2618308"
"14.state",".4251305",".0398964"
"15.state",".6372509",".0096403"
"16.state","1","."
"17.state","1","."
"1.time","1.043286",".8244437"
"2.time","1","."
"3.time",".6879679",".057712"
"4.time",".9344326",".7677025"
"5.time",".5249173",".0031821"
"6.time",".4892847",".000694"
"7.time",".484363",".0009196"
"8.time",".3126641","1.92e-07"
"9.time",".2312482","9.26e-11"
"10.time",".2738491","3.00e-07"
"11.time",".2005171","2.72e-10"
"12.time",".2497818","1.18e-07"
"13.time",".172974","4.51e-12"
"14.time",".2448854","2.23e-06"
"15.time",".1521818","1.79e-10"
"16.time",".107273","2.71e-12"
"N","6002",""
