"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp_1lag","1.001121",".0613864"
"sp48_24_pp_1lag","1.00156","0"
"sp48_25_pp_1lag","1.000415",".6041671"
"sp48_26_pp_1lag","1.001623",".0521357"
"sp48_27_pp_1lag",".9993643",".3776749"
"sp48_28_pp_1lag",".9985848",".1789309"
"sp48_4_pp_1lag","1.0098",".0021265"
"sp48_5_pp_1lag","1.00017",".8832118"
"sp48_6_pp_1lag","1.000262",".6694334"
"sp48_7_pp_1lag","1.000498",".2645114"
"sp48_8_pp_1lag","1.000838",".4173503"
"sp75_100_pp_1lag","1.003938",".0075099"
"sp75_1002_pp_1lag",".9997288",".2476023"
"sp75_1003_pp_1lag",".9998042",".2597637"
"sp75_1003_2_pp_1lag",".9988844",".024213"
"sp75_1311_pp_1lag",".9975839",".0093775"
"sp75_1315_pp_1lag","1","."
"sp75_1316_pp_1lag",".9983288",".3917643"
"sp75_1318_pp_1lag","1","."
"sp75_1400_pp_1lag",".9987962",".1429736"
"sp75_1400_1_pp_1lag",".998945",".6044281"
"sp75_1403_10_pp_1lag","1.000105",".4816195"
"sp75_1403_5_pp_1lag",".999945",".6873668"
"sp75_1403_6_pp_1lag",".9998876",".2660297"
"sp75_1403_7_pp_1lag",".9998975",".8253596"
"sp75_1403_8_pp_1lag",".9998251",".027686"
"sp75_1404_pp_1lag",".9985228",".5075653"
"sp75_1404_1_pp_1lag",".9986122",".3549197"
"sp75_1405_pp_1lag",".999876",".6065567"
"sp75_1405_1_pp_1lag","1.002473",".0631779"
"sp75_153_pp_1lag",".9958174",".0852367"
"sp75_156_pp_1lag",".9978455",".2508878"
"sp75_160_pp_1lag","1.014983",".0221538"
"sp75_1719_2_pp_1lag",".9982626",".1563347"
"sp75_1719_4_pp_1lag","1.000102",".753352"
"sp75_1720_pp_1lag","1.000394",".3045943"
"sp75_1725_pp_1lag","1.000072",".054321"
"sp75_1906_pp_1lag","1.001319",".0132885"
"sp75_1916_pp_1lag","1.000381",".4828771"
"sp75_203_pp_1lag","1.000011",".9334289"
"sp75_204_pp_1lag","1.000354",".0415121"
"sp75_205_pp_1lag","1.000545",".7920987"
"sp75_207_pp_1lag","1.001341",".3296706"
"sp75_208_pp_1lag",".9999688",".86406"
"sp75_209_pp_1lag",".9991375",".2508265"
"sp75_212_pp_1lag","1.001385",".0173235"
"sp75_213_pp_1lag","1.00165",".0246951"
"sp75_215_pp_1lag","1.001147",".3161308"
"sp75_332_pp_1lag",".9992173",".4817466"
"sp75_334_pp_1lag","1.000128",".7547233"
"sp75_337_pp_1lag",".9996023",".1700926"
"sp75_340_pp_1lag",".9999911",".9430516"
"sp75_343_pp_1lag","1.000203",".7576293"
"sp75_373_pp_1lag","1","."
"sp75_388_pp_1lag","1.000416",".648757"
"sp75_389_pp_1lag",".9987054",".4777609"
"sp75_500_pp_1lag","1.000434",".6645227"
"sp75_500_1_pp_1lag",".9985336",".5686205"
"sp75_501_pp_1lag",".9994604",".658438"
"sp75_501_2_pp_1lag","1.000048",".9743149"
"sp75_502_pp_1lag","1.005295",".0321008"
"sp75_503_pp_1lag","1.000015",".6131008"
"sp75_505_pp_1lag","1.000484",".6931712"
"sp75_506_1_pp_1lag","1.002084",".0065236"
"sp75_507_pp_1lag","1.00012",".8034216"
"sp75_507_1_pp_1lag",".9999748",".9278708"
"sp75_508_1_pp_1lag",".9887578","2.53e-09"
"sp75_509_pp_1lag","1.00161",".2097023"
"sp75_510_pp_1lag",".9970993",".3936774"
"sp75_512_1_pp_1lag",".9996334",".8758127"
"sp75_523_pp_1lag",".9992637",".147149"
"sp75_523_3_pp_1lag",".9998369",".1291603"
"sp75_524_pp_1lag","1.002541",".0413334"
"sp75_602_pp_1lag",".9998566",".7636529"
"sp75_603_pp_1lag","1.000419",".1708791"
"sp75_604_pp_1lag","1.000095",".0535165"
"sp75_605_pp_1lag","1.00018",".400778"
"sp75_606_pp_1lag",".9999683",".7612788"
"sp75_607_pp_1lag",".9991815",".0331664"
"sp75_703_3_pp_1lag","1.000863",".2692323"
"sp75_703_4_pp_1lag",".9960403",".0434444"
"sp75_807_pp_1lag","1.000226",".039161"
"sp75_810_pp_1lag","1.000955",".0318351"
"sp75_811_pp_1lag","1.000949",".0672181"
"sp75_812_pp_1lag","1.000674",".6698837"
"sp75_816_pp_1lag","1.00001",".9759309"
"sp75_817_pp_1lag","1.000494",".8669127"
"sp75_906_pp_1lag",".99519",".1077532"
"mine_time","1.008096",".1605331"
"onsite_insp_hours",".9997996","3.24e-08"
"1.state","1.075146",".5777205"
"2.state","1.373924","1.94e-08"
"3.state",".6397843",".0009528"
"4.state","1.026872",".7364203"
"5.state",".8279778",".0788426"
"6.state",".8391964",".0015254"
"7.state","1.120477",".5559005"
"8.state",".4170313","0"
"9.state",".6069298","6.66e-16"
"10.state",".8626509",".2439913"
"11.state","1.369413",".22844"
"12.state","1.112311",".1829752"
"13.state","1.791203",".0007409"
"14.state",".4548779",".0000938"
"15.state",".7396427","6.91e-06"
"16.state","1","."
"17.state",".6086501","0"
"8.time","1.16064",".0007456"
"9.time","1","."
"10.time",".9023444",".0158502"
"11.time",".9103871",".0538835"
"12.time",".8508817",".000866"
"13.time",".7375159","4.74e-08"
"14.time",".7182507","1.58e-07"
"15.time",".7158331","1.10e-07"
"16.time",".6872753","9.68e-09"
"N","3333",""
