"","est1",""
"","b","p"
"dv","",""
"sp48_11_c_lag_all","1.016344",".0760712"
"sp75_1311_c_lag_all",".9926232",".7926105"
"sp75_1400_1_c_lag_all",".962118",".2627976"
"sp75_1404_1_c_lag_all",".8969609",".0018054"
"sp75_1405_1_c_lag_all",".9853092",".7525597"
"sp75_500_1_c_lag_all",".9562948",".1602897"
"sp75_501_c_lag_all","1.013988",".256511"
"sp75_506_1_c_lag_all","1.024856",".0344126"
"sp75_507_1_c_lag_all","1.003739",".3499468"
"sp75_508_1_c_lag_all",".9664661",".4764217"
"sp75_512_1_c_lag_all",".949036",".1218229"
"sp75_811_c_lag_all","1.000995",".8694767"
"sp75_1002_c_lag_all","1.006203",".1424364"
"sp75_1003_2_c_lag_all","1.001142",".9408318"
"sp75_1322_c_lag_all","1.990212","2.96e-08"
"sp75_1719_2_c_lag_all","1.030007",".1569092"
"sp75_212_c_lag_all","1.002345",".5334909"
"sp75_332_c_lag_all",".9924065",".5305386"
"sp75_501_2_c_lag_all",".9955976",".7623599"
"sp75_502_c_lag_all",".9774969",".3786418"
"sp75_602_c_lag_all","1.000821",".8494435"
"sp75_812_c_lag_all",".9647941",".1014683"
"sp75_1003_c_lag_all","1.002618",".1568406"
"sp75_153_c_lag_all","1.013492",".72872"
"sp75_203_c_lag_all",".9982809",".2092635"
"sp75_213_c_lag_all","1.085501",".0000741"
"sp75_343_c_lag_all",".9875507",".2762322"
"sp75_373_c_lag_all",".8130287",".1323406"
"sp75_503_c_lag_all",".9997118",".3094812"
"sp75_523_c_lag_all",".9931894",".0437461"
"sp75_523_3_c_lag_all",".998919",".2179571"
"sp75_603_c_lag_all",".997935",".7619953"
"sp75_703_3_c_lag_all","1.013274",".1252857"
"sp48_24_c_lag_all","1","."
"sp48_4_c_lag_all","1","."
"sp75_1404_c_lag_all","1.030318",".6194472"
"sp75_1719_4_c_lag_all","1.005299",".4091809"
"sp75_204_c_lag_all","1.000187",".9317521"
"sp75_334_c_lag_all",".9926394",".0987913"
"sp75_524_c_lag_all","1.004891",".8915127"
"sp75_604_c_lag_all","1.000345",".400518"
"sp75_703_4_c_lag_all","1.151006",".000054"
"sp48_25_c_lag_all",".9694728",".0028381"
"sp48_5_c_lag_all","1.028665",".055265"
"sp75_1315_c_lag_all",".9042049",".2732287"
"sp75_1403_5_c_lag_all",".9986562",".0370115"
"sp75_1405_c_lag_all","1.001554",".5168963"
"sp75_155_c_lag_all",".8572425",".0859318"
"sp75_1725_c_lag_all",".9994066",".1066008"
"sp75_205_c_lag_all","1.063615",".0000936"
"sp75_215_c_lag_all","1.036045",".6118131"
"sp75_505_c_lag_all","1.011702",".6426835"
"sp75_605_c_lag_all","1.000962",".7030863"
"sp48_26_c_lag_all","1.002622",".8039336"
"sp48_6_c_lag_all","1.013902",".1291486"
"sp75_1316_c_lag_all",".9851216",".5995549"
"sp75_1403_6_c_lag_all","1.000067",".9241327"
"sp75_156_c_lag_all",".8208726",".0031603"
"sp75_1906_c_lag_all","1.00673",".0892815"
"sp75_1916_c_lag_all",".9943382",".3042734"
"sp75_606_c_lag_all","1.000076",".901943"
"sp75_816_c_lag_all","1.000636",".8855052"
"sp75_906_c_lag_all",".9725563",".3172972"
"sp48_27_c_lag_all","1.002244",".8315157"
"sp48_7_c_lag_all",".9822937",".0483066"
"sp75_1403_7_c_lag_all",".9970738",".5836835"
"sp75_207_c_lag_all","1.024176",".2146996"
"sp75_327_c_lag_all","1.008766",".938776"
"sp75_337_c_lag_all",".9992713",".898008"
"sp75_507_c_lag_all","1.008836",".2577826"
"sp75_607_c_lag_all","1.001281",".8182705"
"sp75_807_c_lag_all","1.00185",".0411027"
"sp75_817_c_lag_all",".9854364",".7298154"
"sp48_28_c_lag_all",".9865191",".0386735"
"sp48_8_c_lag_all","1.017659",".3016255"
"sp75_1318_c_lag_all",".9650185",".5486999"
"sp75_1403_8_c_lag_all",".9990505",".1449754"
"sp75_208_c_lag_all","1.000282",".8771513"
"sp75_388_c_lag_all","1.01391",".1531432"
"sp75_209_c_lag_all","1.000406",".9599013"
"sp75_389_c_lag_all",".9885909",".6408589"
"sp75_509_c_lag_all","1.009762",".6167497"
"sp75_100_c_lag_all","1.052133",".0644592"
"sp75_1400_c_lag_all","1.004938",".1808669"
"sp75_1403_10_c_lag_all","1.003157",".0288057"
"sp75_160_c_lag_all","1.042515",".4593769"
"sp75_1720_c_lag_all","1.005888",".2739049"
"sp75_340_c_lag_all",".9969559",".0009415"
"sp75_500_c_lag_all","1.012388",".1722505"
"sp75_510_c_lag_all","1.114437",".1105734"
"sp75_810_c_lag_all","1.007394",".2086405"
"mine_time","1.012544",".0441222"
"onsite_insp_hours",".9999685",".4099224"
"1.state",".7529774",".1768079"
"2.state","1.233979","7.04e-06"
"3.state",".6870289",".0015155"
"4.state","1.00492",".9512975"
"5.state",".8899641",".2529912"
"6.state",".7597952","2.81e-10"
"7.state","1.041196",".841368"
"8.state",".4419102","0"
"9.state",".5832802",".0006237"
"10.state",".8696285",".1511699"
"11.state","2.326563","4.78e-06"
"12.state","1.047846",".5040109"
"13.state","1.485624",".0001847"
"14.state",".4023828","5.82e-06"
"15.state",".7244988","5.99e-10"
"16.state","1","."
"17.state",".7199315",".0528596"
"1.time","1.049901",".2648915"
"2.time","1","."
"3.time",".9126709",".0441535"
"4.time",".8340149",".0005844"
"5.time",".7813481","5.85e-07"
"6.time",".7111857","1.48e-11"
"7.time",".7049329","1.63e-11"
"8.time",".6945177","1.79e-10"
"9.time",".6123215","2.22e-16"
"10.time",".5446696","0"
"11.time",".5312266","0"
"12.time",".4962309","0"
"13.time",".4337417","0"
"14.time",".4142392","0"
"15.time",".4048809","0"
"16.time",".3774219","0"
"N","6253",""
