"","est1",""
"","b","p"
"dv_indicator","",""
"p48_pp","1.000977",".3530127"
"p75_pp","1.000111",".0004511"
"mine_time","1.002366",".3154788"
"onsite_insp_hours","1.003742","4.37e-14"
"1.state","1.229338",".5564629"
"2.state","1.917793","0"
"3.state","1.753334",".0011347"
"4.state","3.483565",".0000276"
"5.state","1.587678",".0119728"
"6.state","1","."
"7.state","1.55282",".0381472"
"8.state",".4269308","0"
"9.state","2.233567","0"
"10.state","1.376326",".0823847"
"11.state","3.71443",".0007358"
"12.state","1.650137","2.75e-06"
"13.state","2.16721",".0000127"
"14.state",".4912206",".0100239"
"15.state","1.066189",".3716245"
"16.state","1.684971","5.11e-15"
"17.state","2.664466",".0000233"
"1.time",".9191921",".5310221"
"2.time","1.317443",".0458488"
"3.time","1.393934",".0143823"
"4.time",".7409316",".0183255"
"5.time",".8138061",".1156707"
"6.time","1","."
"7.time","1.046038",".7294899"
"8.time",".8577234",".2497484"
"9.time",".8984014",".4512473"
"10.time",".7186961",".0190861"
"11.time","1.035347",".8082185"
"12.time",".7301713",".0289614"
"13.time",".7529262",".0554033"
"14.time",".8309963",".2286185"
"15.time","1.231428",".1762803"
"16.time",".638901",".0027122"
"17.time",".688722",".0115311"
"18.time",".6523335",".0029037"
"19.time",".7340313",".0347293"
"20.time",".5554364",".0000381"
"21.time",".5723114",".0001351"
"22.time",".6149021",".0010971"
"23.time",".6739853",".0059297"
"24.time",".4683933","1.60e-07"
"25.time",".6211948",".0015731"
"26.time",".547676",".0000424"
"27.time",".633379",".0017273"
"28.time",".5544285",".0001091"
"29.time",".4693123","3.09e-07"
"30.time",".4682964","3.05e-07"
"31.time",".5274635",".0000238"
"32.time",".3860236","2.59e-10"
"33.time",".4179055","2.54e-08"
"34.time",".4130462","1.73e-08"
"35.time",".3786842","1.61e-10"
"36.time",".3391026","1.01e-12"
"37.time",".3806311","7.60e-10"
"38.time",".3834663","5.81e-09"
"39.time",".3685515","9.65e-10"
"40.time",".3123132","8.68e-13"
"41.time",".3603565","2.11e-09"
"42.time",".3382685","1.57e-11"
"43.time",".481857",".0000136"
"44.time",".2994226","3.87e-13"
"45.time",".3305219","2.50e-11"
"46.time",".3896741","3.50e-08"
"47.time",".4666962","3.09e-06"
"48.time",".3172323","4.20e-12"
"49.time",".3250994","1.19e-11"
"50.time",".3532575","2.29e-10"
"51.time",".3151018","6.80e-11"
"52.time",".1638559","0"
"53.time",".2719596","4.15e-13"
"54.time",".2846844","2.53e-12"
"55.time",".297204","1.23e-10"
"56.time",".1985079","0"
"57.time",".2140861","2.18e-14"
"58.time",".2077169","4.44e-16"
"59.time",".2407421","5.45e-13"
"60.time",".277597","1.36e-10"
"61.time",".2324481","3.90e-13"
"62.time",".1825485","0"
"63.time",".321986","2.89e-08"
"64.time",".2058994","7.31e-14"
"65.time",".1348351","2.22e-16"
"N","28337",""
