"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_ss_c_lag_all","1.136377",".4756984"
"sp48_25_ss_c_lag_all","1.049274",".6518947"
"sp48_26_ss_c_lag_all","1.248783",".0188794"
"sp48_27_ss_c_lag_all","1.042409",".750942"
"sp48_28_ss_c_lag_all",".9174647",".5799477"
"sp48_4_ss_c_lag_all","1","."
"sp48_5_ss_c_lag_all","1.10676",".6011742"
"sp48_6_ss_c_lag_all",".9323619",".5807919"
"sp48_7_ss_c_lag_all",".9180746",".4192036"
"sp48_8_ss_c_lag_all","1.183725",".4353269"
"sp75_100_ss_c_lag_all","1.719886",".1937609"
"sp75_1002_ss_c_lag_all","1.058363",".7879568"
"sp75_1003_ss_c_lag_all",".97074",".6035019"
"sp75_1003_2_ss_c_lag_all","2.029981",".4285855"
"sp75_1311_ss_c_lag_all",".893875",".709685"
"sp75_1315_ss_c_lag_all","1.02865",".9775542"
"sp75_1316_ss_c_lag_all",".8590235",".6372195"
"sp75_1318_ss_c_lag_all",".9419989",".6871597"
"sp75_1322_ss_c_lag_all","1","."
"sp75_1400_ss_c_lag_all","1.202304",".2399882"
"sp75_1400_1_ss_c_lag_all",".3803084",".0452419"
"sp75_1403_10_ss_c_lag_all","1.061671",".0613069"
"sp75_1403_5_ss_c_lag_all","1.000945",".9734534"
"sp75_1403_6_ss_c_lag_all","1.044687",".0994696"
"sp75_1403_7_ss_c_lag_all",".7115216",".0009036"
"sp75_1403_8_ss_c_lag_all",".9961986",".8677966"
"sp75_1404_ss_c_lag_all","1","."
"sp75_1404_1_ss_c_lag_all",".6249868",".16779"
"sp75_1405_ss_c_lag_all","1.04275",".6023377"
"sp75_1405_1_ss_c_lag_all","1.025331",".9411662"
"sp75_153_ss_c_lag_all","4.229197",".1479584"
"sp75_155_ss_c_lag_all","1","."
"sp75_156_ss_c_lag_all",".2303243",".000045"
"sp75_1719_2_ss_c_lag_all","1","."
"sp75_1719_4_ss_c_lag_all","1.00826",".943202"
"sp75_1720_ss_c_lag_all","1.086814",".0486575"
"sp75_1725_ss_c_lag_all",".9943797",".4014278"
"sp75_1906_ss_c_lag_all","6.416169",".1204862"
"sp75_1916_ss_c_lag_all",".8203668",".2813711"
"sp75_203_ss_c_lag_all",".9816916",".2903255"
"sp75_204_ss_c_lag_all","1.097213",".0573977"
"sp75_205_ss_c_lag_all","2.581583",".0003696"
"sp75_207_ss_c_lag_all","1.348562",".0600062"
"sp75_208_ss_c_lag_all","1.003461",".8711804"
"sp75_209_ss_c_lag_all","1.100178",".2251065"
"sp75_212_ss_c_lag_all",".9885623",".8944841"
"sp75_213_ss_c_lag_all",".621384",".2415127"
"sp75_215_ss_c_lag_all",".461291",".4850023"
"sp75_332_ss_c_lag_all",".91111",".5003333"
"sp75_334_ss_c_lag_all",".8500795",".0404115"
"sp75_337_ss_c_lag_all",".9564323",".7845203"
"sp75_340_ss_c_lag_all","1.037965",".2300709"
"sp75_343_ss_c_lag_all",".5457696",".002775"
"sp75_373_ss_c_lag_all","1","."
"sp75_388_ss_c_lag_all","1.103362",".3533365"
"sp75_389_ss_c_lag_all",".8327071",".4942922"
"sp75_500_ss_c_lag_all","1.451125",".1057794"
"sp75_500_1_ss_c_lag_all",".4333371",".3966891"
"sp75_501_ss_c_lag_all","9.438863",".0484765"
"sp75_501_2_ss_c_lag_all",".8122322",".5915666"
"sp75_502_ss_c_lag_all","1.040739",".9354626"
"sp75_503_ss_c_lag_all","1.00135",".7952636"
"sp75_505_ss_c_lag_all","1.001808",".9943168"
"sp75_506_1_ss_c_lag_all",".7622055",".3863214"
"sp75_507_ss_c_lag_all","1.187435",".105454"
"sp75_507_1_ss_c_lag_all","1.036161",".7333349"
"sp75_509_ss_c_lag_all","1.543987",".0080876"
"sp75_512_1_ss_c_lag_all","1.178481",".8493092"
"sp75_523_ss_c_lag_all",".9759042",".394754"
"sp75_523_3_ss_c_lag_all",".9707248",".0379234"
"sp75_524_ss_c_lag_all","1.250586",".0088249"
"sp75_602_ss_c_lag_all","1.096667",".5580589"
"sp75_603_ss_c_lag_all","1.413069",".0725248"
"sp75_604_ss_c_lag_all","1.011152",".2607193"
"sp75_605_ss_c_lag_all","1.013826",".7495192"
"sp75_606_ss_c_lag_all",".9987384",".958553"
"sp75_607_ss_c_lag_all",".9873851",".8541699"
"sp75_703_3_ss_c_lag_all","1.260592",".2331877"
"sp75_807_ss_c_lag_all",".98175",".5614888"
"sp75_810_ss_c_lag_all","1.080734",".567157"
"sp75_811_ss_c_lag_all",".6704307",".0110511"
"sp75_812_ss_c_lag_all",".9035087",".7488137"
"sp75_816_ss_c_lag_all","1.042536",".7741806"
"sp75_817_ss_c_lag_all",".4649295",".6065847"
"sp75_906_ss_c_lag_all",".7417117",".2521684"
"mine_time","1.001009",".8212516"
"onsite_insp_hours","1.003933","2.22e-16"
"1.state","1.24263",".490168"
"3.state","1.690833",".0004474"
"4.state","6.165772","3.45e-09"
"5.state","1.979208",".0682728"
"6.state","1","."
"7.state","2.407912",".0192827"
"8.state","1","."
"9.state","2.334179","6.51e-07"
"10.state","1.330118",".1972102"
"11.state","7.248175","3.82e-09"
"12.state","1.752971","7.20e-06"
"13.state","1.860415",".0022839"
"14.state",".6491988",".1133212"
"15.state","1.149046",".1382538"
"16.state","1.763004","2.17e-11"
"17.state","3.610783",".0645743"
"1.time","1","."
"2.time","1.474863",".0036139"
"3.time","1.55823",".0019906"
"4.time",".7680432",".0503988"
"5.time",".9553841",".7455353"
"6.time",".9508244",".7189786"
"7.time","1.191976",".2512701"
"8.time",".9479116",".7232775"
"9.time","1.052955",".7301367"
"10.time",".8622132",".3393394"
"11.time","1.24014",".1889922"
"12.time",".7812775",".1205947"
"13.time",".9031375",".5652781"
"14.time",".9166561",".6169147"
"15.time","1.384582",".056034"
"16.time",".7187457",".056617"
"17.time",".7482727",".0863588"
"18.time",".6894802",".0261047"
"19.time",".7227792",".0559503"
"20.time",".571404",".0009606"
"21.time",".7017681",".0413063"
"22.time",".6128244",".0037793"
"23.time",".7088815",".0531918"
"24.time",".5216593",".0002245"
"25.time",".6518411",".0232775"
"26.time",".5421419",".0003893"
"27.time",".6617786",".0193825"
"28.time",".5510636",".0010888"
"29.time",".5217516",".0003143"
"30.time",".4516134",".0000103"
"31.time",".5762222",".0025184"
"32.time",".4555285","8.93e-06"
"33.time",".4406752","7.84e-06"
"34.time",".4495175",".0000216"
"35.time",".4246613","1.93e-06"
"36.time",".4426992","3.61e-06"
"37.time",".5075706",".0002148"
"38.time",".5231696",".0011474"
"39.time",".4055734","9.01e-06"
"40.time",".4445217",".0000341"
"41.time",".4272197",".000059"
"42.time",".4476739",".0000618"
"43.time",".6399814",".0332193"
"44.time",".3788285","3.52e-06"
"45.time",".4337881",".0000547"
"46.time",".4102677",".0000126"
"47.time",".5416064",".002023"
"48.time",".4389916",".0000847"
"49.time",".3475133","1.99e-07"
"50.time",".4867888",".0005232"
"51.time",".4368919",".0001834"
"52.time",".1718346","9.99e-15"
"53.time",".3638579",".0000152"
"54.time",".3588031",".0000173"
"55.time",".2809846","2.23e-07"
"56.time",".2237991","5.51e-10"
"57.time",".2785639","6.73e-07"
"58.time",".2381743","2.49e-08"
"59.time",".2646695","1.24e-07"
"60.time",".3912751",".0005185"
"61.time",".2855673","4.54e-07"
"62.time",".1724502","5.20e-12"
"63.time",".3276325",".0000193"
"64.time",".196693","2.22e-09"
"65.time",".1256595","1.55e-10"
