"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp_c_lag_all","1.000586",".2231029"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all",".9973018",".0026831"
"sp48_26_pp_c_lag_all","1.001054",".361775"
"sp48_27_pp_c_lag_all",".9997145",".6072784"
"sp48_28_pp_c_lag_all",".9983849",".0349084"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.000611",".6783543"
"sp48_6_pp_c_lag_all","1.000363",".4264265"
"sp48_7_pp_c_lag_all",".9991964",".0665417"
"sp48_8_pp_c_lag_all","1.000393",".6588472"
"sp75_100_pp_c_lag_all","1.002998",".0647024"
"sp75_1002_pp_c_lag_all","1.000557",".0073801"
"sp75_1003_pp_c_lag_all","1.000214",".0197621"
"sp75_1003_2_pp_c_lag_all",".9995658",".540909"
"sp75_1311_pp_c_lag_all","1.000544",".4805627"
"sp75_1315_pp_c_lag_all",".9982467",".7599286"
"sp75_1316_pp_c_lag_all",".9981044",".0649927"
"sp75_1318_pp_c_lag_all",".9848793","0"
"sp75_1400_pp_c_lag_all","1.000576",".1208012"
"sp75_1400_1_pp_c_lag_all",".9977275",".1732983"
"sp75_1403_10_pp_c_lag_all","1.000329",".0005664"
"sp75_1403_5_pp_c_lag_all",".9999008",".058856"
"sp75_1403_6_pp_c_lag_all","1.000085",".0933514"
"sp75_1403_7_pp_c_lag_all",".9997177",".4427382"
"sp75_1403_8_pp_c_lag_all",".9998981",".125142"
"sp75_1404_pp_c_lag_all",".9999587",".977508"
"sp75_1404_1_pp_c_lag_all",".9918526",".0006353"
"sp75_1405_pp_c_lag_all",".9999136",".5493382"
"sp75_1405_1_pp_c_lag_all",".9999161",".9688072"
"sp75_153_pp_c_lag_all","1.00448",".0261235"
"sp75_156_pp_c_lag_all",".9917247",".0158046"
"sp75_160_pp_c_lag_all","1.015598",".074351"
"sp75_1719_2_pp_c_lag_all","1.000232",".8994633"
"sp75_1719_4_pp_c_lag_all",".9998104",".555795"
"sp75_1720_pp_c_lag_all","1.000466",".1309244"
"sp75_1725_pp_c_lag_all",".9999622",".0944529"
"sp75_1906_pp_c_lag_all","1.000327",".3292858"
"sp75_1916_pp_c_lag_all",".9993784",".1619313"
"sp75_203_pp_c_lag_all",".9999553",".596938"
"sp75_204_pp_c_lag_all","1.000187",".1721319"
"sp75_205_pp_c_lag_all","1.006452",".1205751"
"sp75_207_pp_c_lag_all","1.003785",".1263114"
"sp75_208_pp_c_lag_all","1.000274",".0241636"
"sp75_209_pp_c_lag_all",".9998661",".8297389"
"sp75_212_pp_c_lag_all","1.000357",".1948084"
"sp75_213_pp_c_lag_all","1.00223",".0990966"
"sp75_215_pp_c_lag_all",".9971879",".3423794"
"sp75_332_pp_c_lag_all",".9974565",".0065757"
"sp75_334_pp_c_lag_all",".9993774",".0735324"
"sp75_337_pp_c_lag_all",".9996688",".2037679"
"sp75_340_pp_c_lag_all",".9998224",".0034557"
"sp75_343_pp_c_lag_all",".9995543",".522965"
"sp75_373_pp_c_lag_all","1.0167",".0204983"
"sp75_388_pp_c_lag_all",".999795",".7440574"
"sp75_389_pp_c_lag_all",".9982858",".1929994"
"sp75_500_pp_c_lag_all","1.000914",".1608527"
"sp75_500_1_pp_c_lag_all",".9973256",".5026112"
"sp75_501_pp_c_lag_all","1.00177",".1141063"
"sp75_501_2_pp_c_lag_all",".9964527",".0137601"
"sp75_502_pp_c_lag_all","1.003535",".1198407"
"sp75_503_pp_c_lag_all",".9999753",".1382828"
"sp75_505_pp_c_lag_all","1.00183",".1968838"
"sp75_506_1_pp_c_lag_all","1.002605",".0002801"
"sp75_507_pp_c_lag_all","1.000119",".768504"
"sp75_507_1_pp_c_lag_all","1.000118",".525072"
"sp75_508_1_pp_c_lag_all",".9954365",".0207624"
"sp75_509_pp_c_lag_all","1.00118",".4136651"
"sp75_510_pp_c_lag_all","1.007054",".287499"
"sp75_512_1_pp_c_lag_all",".9990618",".7023598"
"sp75_523_pp_c_lag_all",".9998856",".6704742"
"sp75_523_3_pp_c_lag_all",".9999628",".5665053"
"sp75_524_pp_c_lag_all","1.002382",".1285114"
"sp75_602_pp_c_lag_all","1.000109",".7632736"
"sp75_603_pp_c_lag_all",".9992998",".1278649"
"sp75_604_pp_c_lag_all",".9999466",".0369447"
"sp75_605_pp_c_lag_all","1.0002",".3098821"
"sp75_606_pp_c_lag_all","1.000071",".1854614"
"sp75_607_pp_c_lag_all",".9993457",".1280069"
"sp75_703_3_pp_c_lag_all","1.002297",".0098558"
"sp75_703_4_pp_c_lag_all","1.011047",".0009925"
"sp75_807_pp_c_lag_all","1.000147",".0296676"
"sp75_810_pp_c_lag_all","1.000254",".3815139"
"sp75_811_pp_c_lag_all","1.000023",".9418207"
"sp75_812_pp_c_lag_all",".9970625",".0352986"
"sp75_816_pp_c_lag_all",".9998127",".4042962"
"sp75_817_pp_c_lag_all",".9978124",".2669795"
"sp75_906_pp_c_lag_all",".9956054",".1036203"
"mine_time","1.003111",".1294954"
"onsite_insp_hours",".9996889",".0070001"
"1.state","1.026512",".8259657"
"3.state",".7855797",".0230227"
"4.state","1.319178",".0001152"
"5.state","1.153092",".2917802"
"6.state","1","."
"7.state","1.339886",".1946359"
"8.state","2.10e-08","0"
"9.state",".9029913",".3826758"
"10.state","1.153128",".2066973"
"11.state","2.386277","4.16e-13"
"12.state","1.265001",".0176785"
"13.state","1.5837",".0000876"
"14.state",".474505","3.17e-08"
"15.state",".9497274",".3907935"
"16.state","1.22342",".0000759"
"17.state",".9923228",".9564865"
"1.time","1","."
"2.time","1.1563",".0062247"
"3.time","1.264596",".0000128"
"4.time",".8799801",".0330247"
"5.time",".8930592",".060092"
"6.time",".9945917",".9368677"
"7.time","1.173189",".0131799"
"8.time",".9154321",".1687947"
"9.time","1.008256",".9208635"
"10.time",".9648243",".574487"
"11.time","1.002305",".9717914"
"12.time",".848714",".0143962"
"13.time",".7961635",".0018431"
"14.time",".8688085",".0602636"
"15.time",".9220644",".2141867"
"16.time",".6996812","1.75e-06"
"17.time",".73082",".0000342"
"18.time",".7943822",".0013361"
"19.time",".8437454",".0176291"
"20.time",".6619895","6.44e-08"
"21.time",".6728402","1.65e-07"
"22.time",".6984901","2.47e-06"
"23.time",".8218309",".0073058"
"24.time",".6627659","1.74e-07"
"25.time",".6977988","7.23e-06"
"26.time",".6351703","2.18e-09"
"27.time",".7786228",".0008258"
"28.time",".6377676","8.17e-09"
"29.time",".6326171","1.96e-09"
"30.time",".6135887","3.77e-07"
"31.time",".7805494",".0068064"
"32.time",".6815305","2.33e-06"
"33.time",".6252314","3.56e-09"
"34.time",".6123301","6.27e-09"
"35.time",".7355613",".000711"
"36.time",".5951588","1.77e-10"
"37.time",".60102","3.08e-11"
"38.time",".6117797","2.69e-08"
"39.time",".6250088","6.67e-08"
"40.time",".5269094","2.22e-16"
"41.time",".4778802","0"
"42.time",".5269414","8.81e-10"
"43.time",".6614414","4.28e-07"
"44.time",".5395758","9.22e-13"
"45.time",".5262924","2.24e-14"
"46.time",".4789158","0"
"47.time",".5524211","1.83e-13"
"48.time",".4357933","0"
"49.time",".4643515","0"
"50.time",".4478087","0"
"51.time",".523266","3.35e-12"
"52.time",".381482","0"
"53.time",".4408178","2.22e-16"
"54.time",".4044857","0"
"55.time",".4674676","2.20e-14"
"56.time",".3575944","0"
"57.time",".4152507","0"
"58.time",".4079482","0"
"59.time",".4435634","0"
"60.time",".4426667","6.00e-15"
"61.time",".3791198","0"
"62.time",".3347757","0"
"63.time",".4627193","1.11e-15"
"64.time",".3439929","0"
"65.time",".3699437","2.89e-15"
"N","19291",""
