"","est1",""
"","b","p"
"dv","",""
"sp48_11_1lag","1.010302",".8037545"
"sp75_1311_1lag","1.121648",".3019867"
"sp75_1400_1_1lag",".9240716",".6929108"
"sp75_1404_1_1lag",".8767865",".5627235"
"sp75_1405_1_1lag",".9426107",".3949932"
"sp75_500_1_1lag",".7810871",".4790293"
"sp75_501_1lag","1.172262",".3664403"
"sp75_506_1_1lag","1.018038",".7954935"
"sp75_507_1_1lag","1.027696",".3690322"
"sp75_508_1_1lag",".1518705","5.16e-11"
"sp75_512_1_1lag","1.034469",".77151"
"sp75_811_1lag","1.019695",".6830782"
"sp75_1002_1lag",".991908",".7586341"
"sp75_1003_2_1lag",".9295955",".1223332"
"sp75_1322_1lag","1.82998",".0000163"
"sp75_1719_2_1lag",".9847508",".8622496"
"sp75_212_1lag","1.077327",".0199733"
"sp75_332_1lag",".9250179",".3942844"
"sp75_501_2_1lag",".8976348",".2347764"
"sp75_502_1lag",".9167233",".5032853"
"sp75_602_1lag",".9922098",".8018312"
"sp75_812_1lag",".9403965",".6879634"
"sp75_1003_1lag",".9049762",".0031949"
"sp75_153_1lag",".9500321",".8482964"
"sp75_203_1lag","1.037262",".0158023"
"sp75_213_1lag","1.194554",".010031"
"sp75_343_1lag","1.051442",".2291175"
"sp75_373_1lag",".8212797",".6446161"
"sp75_503_1lag","1.005944",".121055"
"sp75_523_1lag",".9108901",".0004522"
"sp75_523_3_1lag",".9843954",".0975139"
"sp75_603_1lag","1.047391",".3314738"
"sp75_703_3_1lag","1.127481",".0163667"
"sp48_24_1lag","1.11084","0"
"sp48_4_1lag",".2770907",".1260935"
"sp75_1404_1lag","1.116643",".6066742"
"sp75_1719_4_1lag","1.041963",".2043747"
"sp75_204_1lag","1.024021",".1701981"
"sp75_334_1lag",".984256",".5682994"
"sp75_524_1lag","1.082507",".6520939"
"sp75_604_1lag","1.023811",".0003989"
"sp75_703_4_1lag",".6741029",".576165"
"sp48_25_1lag",".9436225",".4445088"
"sp48_5_1lag","1.01505",".8894755"
"sp75_1315_1lag",".5526177",".0018733"
"sp75_1403_5_1lag",".9802059",".1672476"
"sp75_1405_1lag",".9686819",".0274987"
"sp75_155_1lag","1.065428",".8724773"
"sp75_1725_1lag",".996738",".4915088"
"sp75_205_1lag","1.907535",".1232235"
"sp75_215_1lag",".733583",".0243491"
"sp75_505_1lag",".9623988",".7232698"
"sp75_605_1lag",".9921038",".6579264"
"sp48_26_1lag","1.099781",".1193507"
"sp48_6_1lag",".9783363",".6856316"
"sp75_1316_1lag",".8123394",".3191153"
"sp75_1403_6_1lag",".9769077",".0015959"
"sp75_156_1lag","1.060227",".8516927"
"sp75_1906_1lag","1.181608",".0000552"
"sp75_1916_1lag","1.061894",".1679141"
"sp75_606_1lag","1.008438",".3912311"
"sp75_816_1lag","1.013858",".664557"
"sp75_906_1lag",".5893558",".0041375"
"sp48_27_1lag","1.015309",".8301828"
"sp48_7_1lag","1.028387",".5204969"
"sp75_1403_7_1lag","1.048229",".2393902"
"sp75_207_1lag","1.138229",".237518"
"sp75_327_1lag",".7817016",".0726085"
"sp75_337_1lag",".9925402",".8635787"
"sp75_507_1lag","1.093952",".0578118"
"sp75_607_1lag","1.029494",".5883891"
"sp75_807_1lag","1.031144",".0020157"
"sp75_817_1lag",".8673177",".168077"
"sp48_28_1lag",".936817",".1985544"
"sp48_8_1lag","1.217513",".0619911"
"sp75_1318_1lag","1.380346",".4370637"
"sp75_1403_8_1lag",".9595919",".0000593"
"sp75_208_1lag","1.011939",".5033435"
"sp75_388_1lag",".9771818",".7263271"
"sp75_209_1lag","1.043046",".4388375"
"sp75_389_1lag","1.029548",".8877482"
"sp75_509_1lag","1.16538",".0847791"
"sp75_100_1lag","1.072698",".4723753"
"sp75_1400_1lag",".9630954",".4726951"
"sp75_1403_10_1lag","1.030067",".0374496"
"sp75_160_1lag","1.237659",".4760392"
"sp75_1720_1lag","1.013625",".669551"
"sp75_340_1lag",".9740856",".0409656"
"sp75_500_1lag","1.020225",".7192911"
"sp75_510_1lag",".5198858","5.70e-06"
"sp75_810_1lag","1.050813",".1381435"
"mine_time","1.001651",".2032532"
"onsite_insp_hours",".9995364","9.18e-06"
"1.state","1.069267",".4691941"
"2.state","1.763023","0"
"3.state",".7582235",".0204491"
"4.state","1.227743",".000519"
"5.state","1.058233",".4607946"
"6.state","1","."
"7.state","1.256367",".1330232"
"8.state",".5428336","0"
"9.state",".7609828","2.86e-12"
"10.state","1.092885",".3376475"
"11.state","1.811082",".0003891"
"12.state","1.334612",".0001028"
"13.state","1.718823","2.72e-08"
"14.state",".4992717",".0000516"
"15.state",".9406908",".2519793"
"16.state","1.260364","1.16e-07"
"17.state",".7562361","1.49e-12"
"2.time",".9923966",".9046564"
"3.time","1.071213",".2542661"
"4.time",".7655293",".0000396"
"5.time",".7518407","2.79e-06"
"6.time",".8817589",".0295947"
"7.time","1","."
"8.time",".7884117",".0000228"
"9.time",".8487082",".0340167"
"10.time",".8310031",".0036028"
"11.time",".9133958",".1517032"
"12.time",".7465166","1.22e-06"
"13.time",".7059097","3.87e-07"
"14.time",".7587694",".0000957"
"15.time",".8466908",".0085489"
"16.time",".6282811","1.80e-12"
"17.time",".6587782","4.69e-09"
"18.time",".6986533","7.70e-08"
"19.time",".7773588",".0001016"
"20.time",".605004","3.08e-13"
"21.time",".6088111","1.44e-12"
"22.time",".6545966","1.92e-10"
"23.time",".698551","1.33e-07"
"24.time",".5791108","1.14e-13"
"25.time",".6213301","1.23e-10"
"26.time",".6158682","1.53e-11"
"27.time",".706714","6.84e-07"
"28.time",".5635614","6.66e-15"
"29.time",".5569686","4.44e-16"
"30.time",".603723","4.23e-10"
"31.time",".7028243",".0000146"
"32.time",".5775482","6.93e-14"
"33.time",".5386685","0"
"34.time",".5312467","0"
"35.time",".5923326","1.85e-11"
"36.time",".4866142","0"
"37.time",".4878009","0"
"38.time",".4673141","0"
"39.time",".5329086","1.11e-15"
"40.time",".4560973","0"
"41.time",".4512894","0"
"42.time",".456565","0"
"43.time",".5663608","1.71e-14"
"44.time",".4465533","0"
"45.time",".4497549","0"
"46.time",".4263817","0"
"47.time",".4939218","0"
"48.time",".3809989","0"
"49.time",".4212293","0"
"50.time",".3709319","0"
"51.time",".4189765","0"
"52.time",".3268203","0"
"53.time",".3705483","0"
"54.time",".3564572","0"
"55.time",".4100509","0"
"56.time",".3117247","0"
"57.time",".3573262","0"
"58.time",".3655455","0"
"59.time",".393907","0"
"60.time",".3783974","0"
"61.time",".3429421","0"
"62.time",".3255099","0"
"63.time",".4275386","0"
"64.time",".3282411","0"
"65.time",".3573045","0"
"N","26110",""
