"","est1",""
"","b","p"
"dv_indicator","",""
"p48_ss_1lag","1.201064",".266627"
"p75_ss_1lag","1.00562",".2220395"
"mine_time","1.019686",".3170155"
"onsite_insp_hours","1.003606","2.22e-16"
"1.state","1.121546",".880581"
"2.state",".6662749",".0033798"
"3.state","1.425272",".4080116"
"4.state","4.681222",".0430395"
"5.state",".9379418",".8982695"
"6.state",".4759687","2.11e-07"
"7.state","2.114535",".4663403"
"8.state",".8248606",".168022"
"9.state",".21725","0"
"10.state",".6766194",".3459051"
"11.state","3.171819",".1805674"
"12.state",".5249547",".0029772"
"13.state","1.860486",".3512447"
"14.state",".4226057",".0389258"
"15.state",".6250872",".0063725"
"16.state","1","."
"17.state","1","."
"1.time","1.028939",".8803131"
"2.time","1","."
"3.time",".6944577",".0591471"
"4.time",".923697",".7268305"
"5.time",".5368649",".0039285"
"6.time",".4897834",".0006452"
"7.time",".5028172",".0015526"
"8.time",".3303284","3.63e-07"
"9.time",".2400713","9.53e-11"
"10.time",".2808601","4.29e-07"
"11.time",".2072164","1.44e-10"
"12.time",".2530651","2.48e-08"
"13.time",".178294","2.86e-12"
"14.time",".2665999","7.05e-06"
"15.time",".1678455","1.17e-09"
"16.time",".114649","4.46e-12"
"N","6242",""
