"","est1",""
"","b","p"
"dv","",""
"p48_pp_c_lag_all","1.000016",".3727109"
"p75_pp_c_lag_all","1",".8587794"
"mine_time","1.009326",".1211124"
"onsite_insp_hours",".9998861",".0061545"
"1.state",".8363184",".1184291"
"2.state","1.222621",".0000226"
"3.state",".6517089",".00085"
"4.state","1.051516",".4257052"
"5.state",".882761",".2010025"
"6.state",".7882879","4.94e-07"
"7.state","1.07387",".7081019"
"8.state",".4614473","0"
"9.state",".5550726","0"
"10.state",".7984118",".0124256"
"11.state","1.56324",".0099707"
"12.state","1.018626",".8032027"
"13.state","1.496524",".000251"
"14.state",".4021428","9.12e-07"
"15.state",".7311715","1.44e-08"
"16.state","1","."
"17.state",".5819934","0"
"1.time","1.026294",".5898159"
"2.time","1","."
"3.time",".9189646",".0655302"
"4.time",".8314075",".0012939"
"5.time",".7785909","2.58e-06"
"6.time",".7025578","6.41e-10"
"7.time",".6984485","9.28e-10"
"8.time",".6915145","7.85e-09"
"9.time",".6172574","1.37e-13"
"10.time",".5539043","0"
"11.time",".5499261","0"
"12.time",".5084112","0"
"13.time",".443717","0"
"14.time",".4305497","0"
"15.time",".42286","0"
"16.time",".4019086","0"
"N","6253",""
