"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_pp_c_lag_all","1.00262",".0538611"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all","1.001171",".628562"
"sp48_26_pp_c_lag_all",".9980835",".0110379"
"sp48_27_pp_c_lag_all","1.000033",".9833382"
"sp48_28_pp_c_lag_all","1.002793",".2318459"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.000202",".9618498"
"sp48_6_pp_c_lag_all",".9991612",".5241614"
"sp48_7_pp_c_lag_all",".9967113",".0005806"
"sp48_8_pp_c_lag_all","1.000343",".7842517"
"sp75_100_pp_c_lag_all","1","."
"sp75_1002_pp_c_lag_all",".9996182",".6504335"
"sp75_1003_pp_c_lag_all","1","."
"sp75_1003_2_pp_c_lag_all","1","."
"sp75_1311_pp_c_lag_all","1.001288",".4286511"
"sp75_1315_pp_c_lag_all",".9918858",".2838592"
"sp75_1316_pp_c_lag_all",".98814",".0248132"
"sp75_1318_pp_c_lag_all",".992762",".0029549"
"sp75_1400_pp_c_lag_all",".9953827",".1273818"
"sp75_1400_1_pp_c_lag_all","1","."
"sp75_1403_10_pp_c_lag_all","1.000465",".5744056"
"sp75_1403_5_pp_c_lag_all",".9998183",".6192615"
"sp75_1403_6_pp_c_lag_all",".9990999",".036488"
"sp75_1403_7_pp_c_lag_all","1.0026",".2440488"
"sp75_1403_8_pp_c_lag_all","1.004551",".0727195"
"sp75_1404_pp_c_lag_all",".9923001",".0023195"
"sp75_1404_1_pp_c_lag_all","1","."
"sp75_1405_pp_c_lag_all","1.017501",".0740673"
"sp75_1405_1_pp_c_lag_all",".9868043",".001096"
"sp75_153_pp_c_lag_all","1","."
"sp75_156_pp_c_lag_all",".9932686",".1476642"
"sp75_160_pp_c_lag_all","1.006161",".1993038"
"sp75_1719_2_pp_c_lag_all","1","."
"sp75_1719_4_pp_c_lag_all",".9999357",".9604344"
"sp75_1720_pp_c_lag_all","1.001442",".0434807"
"sp75_1725_pp_c_lag_all",".9999956",".9512416"
"sp75_1906_pp_c_lag_all",".9952581",".0431252"
"sp75_1916_pp_c_lag_all",".9987333",".3908993"
"sp75_203_pp_c_lag_all","1.000163",".4525687"
"sp75_204_pp_c_lag_all","1.000227",".5322128"
"sp75_205_pp_c_lag_all","1.010017",".2085092"
"sp75_207_pp_c_lag_all","1.007765",".0044358"
"sp75_208_pp_c_lag_all",".9990338",".0013626"
"sp75_209_pp_c_lag_all","1.000482",".6791099"
"sp75_212_pp_c_lag_all","1.001924",".2999431"
"sp75_213_pp_c_lag_all","1.000725",".9465223"
"sp75_215_pp_c_lag_all","1","."
"sp75_332_pp_c_lag_all","1.000823",".7861632"
"sp75_334_pp_c_lag_all",".9989172",".3041748"
"sp75_337_pp_c_lag_all",".9988397",".1832304"
"sp75_340_pp_c_lag_all","1.001071",".0303188"
"sp75_343_pp_c_lag_all","1","."
"sp75_373_pp_c_lag_all","1","."
"sp75_388_pp_c_lag_all",".9997158",".6672314"
"sp75_389_pp_c_lag_all","1.003241",".4194177"
"sp75_500_pp_c_lag_all","1.000876",".497536"
"sp75_500_1_pp_c_lag_all","1","."
"sp75_501_pp_c_lag_all",".9998432",".9440072"
"sp75_501_2_pp_c_lag_all",".9963",".0429072"
"sp75_502_pp_c_lag_all",".9957716",".4977179"
"sp75_503_pp_c_lag_all",".9999082",".0660479"
"sp75_505_pp_c_lag_all","1.008705",".0374077"
"sp75_506_1_pp_c_lag_all","1.000028",".9874395"
"sp75_507_pp_c_lag_all","1.000254",".8839807"
"sp75_507_1_pp_c_lag_all","1.000752",".1592995"
"sp75_508_1_pp_c_lag_all",".9951837",".2685373"
"sp75_509_pp_c_lag_all","1.009196",".0026448"
"sp75_510_pp_c_lag_all","1","."
"sp75_512_1_pp_c_lag_all","1","."
"sp75_523_pp_c_lag_all",".9998759",".7704156"
"sp75_523_3_pp_c_lag_all",".9999859",".9197688"
"sp75_524_pp_c_lag_all","1.004574",".2415131"
"sp75_602_pp_c_lag_all","1.000666",".5269576"
"sp75_603_pp_c_lag_all",".9998013",".9148556"
"sp75_604_pp_c_lag_all","1.000257",".0416701"
"sp75_605_pp_c_lag_all","1.001271",".0134813"
"sp75_606_pp_c_lag_all",".9999187",".7371742"
"sp75_607_pp_c_lag_all","1.00233",".0381357"
"sp75_703_3_pp_c_lag_all","1.002966",".1482059"
"sp75_703_4_pp_c_lag_all","1","."
"sp75_807_pp_c_lag_all",".9999248",".8349156"
"sp75_810_pp_c_lag_all",".998404",".0020208"
"sp75_811_pp_c_lag_all","1.002945",".1139705"
"sp75_812_pp_c_lag_all","1","."
"sp75_816_pp_c_lag_all",".9998825",".8798"
"sp75_817_pp_c_lag_all","1","."
"sp75_906_pp_c_lag_all",".9999348",".9880067"
"mine_time","1.00173",".9351143"
"onsite_insp_hours","1.003997","0"
"1.state","1.077905",".9315868"
"2.state",".7999507",".1210944"
"3.state","1.638723",".3187842"
"4.state","5.023402",".0345192"
"5.state","1.304745",".6828462"
"6.state",".5106161","4.98e-06"
"7.state","1.79244",".5220002"
"8.state",".8378",".1920407"
"9.state",".2180113","3.13e-12"
"10.state",".4859564",".0780134"
"11.state","3.840749",".2228745"
"12.state",".519235",".003278"
"13.state","1.978933",".3102564"
"14.state",".4778364",".0752185"
"15.state",".6705577",".0280538"
"16.state","1","."
"17.state","1","."
"1.time","1.00501",".9791087"
"2.time","1","."
"3.time",".677345",".0453675"
"4.time",".8911569",".6191376"
"5.time",".5330185",".004499"
"6.time",".4908272",".0008724"
"7.time",".5075821",".0019552"
"8.time",".3273713","6.28e-07"
"9.time",".2333601","1.45e-10"
"10.time",".2796578","1.39e-06"
"11.time",".1956852","3.15e-10"
"12.time",".2350391","1.79e-08"
"13.time",".1661073","2.44e-12"
"14.time",".2247077","4.17e-07"
"15.time",".1458888","6.10e-10"
"16.time",".0878941","2.39e-12"
"N","5727",""
