"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_ss_c_4lag","1.474402",".0674723"
"sp48_25_ss_c_4lag","1.237933",".5731741"
"sp48_26_ss_c_4lag","1.221423",".2291234"
"sp48_27_ss_c_4lag",".8043472",".4192729"
"sp48_28_ss_c_4lag","1.37458",".2657962"
"sp48_4_ss_c_4lag","1","."
"sp48_5_ss_c_4lag","1.093458",".7369372"
"sp48_6_ss_c_4lag",".7942484",".1070525"
"sp48_7_ss_c_4lag","1.019074",".8930521"
"sp48_8_ss_c_4lag","1.287481",".2214487"
"sp75_100_ss_c_4lag",".8366518",".6214628"
"sp75_1002_ss_c_4lag","1.338065",".1369229"
"sp75_1003_ss_c_4lag","1","."
"sp75_1003_2_ss_c_4lag","1","."
"sp75_1311_ss_c_4lag",".7142615",".4996957"
"sp75_1315_ss_c_4lag",".5468427",".0265164"
"sp75_1316_ss_c_4lag",".693616",".1076702"
"sp75_1318_ss_c_4lag","1","."
"sp75_1322_ss_c_4lag","1","."
"sp75_1400_ss_c_4lag",".9953199",".9792786"
"sp75_1400_1_ss_c_4lag","1","."
"sp75_1403_10_ss_c_4lag","1.534261",".0249532"
"sp75_1403_5_ss_c_4lag",".9796276",".8233251"
"sp75_1403_6_ss_c_4lag","1.03057",".7022849"
"sp75_1403_7_ss_c_4lag",".8136937",".0749066"
"sp75_1403_8_ss_c_4lag","1","."
"sp75_1404_ss_c_4lag","1","."
"sp75_1404_1_ss_c_4lag",".3337169",".0102522"
"sp75_1405_ss_c_4lag","1.715197",".1965481"
"sp75_1405_1_ss_c_4lag","1","."
"sp75_153_ss_c_4lag","1","."
"sp75_155_ss_c_4lag","1","."
"sp75_156_ss_c_4lag","1","."
"sp75_1719_2_ss_c_4lag",".229357","0"
"sp75_1719_4_ss_c_4lag","1","."
"sp75_1720_ss_c_4lag","1.025318",".6707742"
"sp75_1725_ss_c_4lag","1.005734",".6260115"
"sp75_1906_ss_c_4lag","1","."
"sp75_1916_ss_c_4lag","1","."
"sp75_203_ss_c_4lag",".9968864",".8651488"
"sp75_204_ss_c_4lag","1.132116",".0365986"
"sp75_205_ss_c_4lag","1","."
"sp75_207_ss_c_4lag","2.339129",".1219139"
"sp75_208_ss_c_4lag",".9140103",".0017615"
"sp75_209_ss_c_4lag","1.026255",".7643532"
"sp75_212_ss_c_4lag","1.228229",".1557588"
"sp75_213_ss_c_4lag","1","."
"sp75_215_ss_c_4lag","1","."
"sp75_332_ss_c_4lag",".6934934",".0326503"
"sp75_334_ss_c_4lag","1.036749",".7208923"
"sp75_337_ss_c_4lag",".8676838",".2436546"
"sp75_340_ss_c_4lag","1.094535",".1363072"
"sp75_343_ss_c_4lag","1","."
"sp75_373_ss_c_4lag","1","."
"sp75_388_ss_c_4lag","1.029116",".6985249"
"sp75_389_ss_c_4lag",".8221998",".4644301"
"sp75_500_ss_c_4lag","1.169922",".5107954"
"sp75_500_1_ss_c_4lag","1","."
"sp75_501_ss_c_4lag",".5251922",".192609"
"sp75_501_2_ss_c_4lag",".4542532",".000472"
"sp75_502_ss_c_4lag",".6848678",".1756941"
"sp75_503_ss_c_4lag","1.021196",".1654288"
"sp75_505_ss_c_4lag","1","."
"sp75_506_1_ss_c_4lag",".7792816",".5117296"
"sp75_507_ss_c_4lag","1.142864",".4012065"
"sp75_507_1_ss_c_4lag",".9310001",".5592669"
"sp75_509_ss_c_4lag","1.537981",".3466129"
"sp75_512_1_ss_c_4lag",".2628658",".0853499"
"sp75_523_ss_c_4lag",".9329336",".0478261"
"sp75_523_3_ss_c_4lag",".9792403",".2428137"
"sp75_524_ss_c_4lag","1","."
"sp75_602_ss_c_4lag",".8866826",".5868402"
"sp75_603_ss_c_4lag",".93046",".6691325"
"sp75_604_ss_c_4lag","1.020544",".2204542"
"sp75_605_ss_c_4lag","1.041626",".5053583"
"sp75_606_ss_c_4lag",".9465436",".0416765"
"sp75_607_ss_c_4lag","1.325656",".0977776"
"sp75_703_3_ss_c_4lag","2.025941",".0778406"
"sp75_807_ss_c_4lag","1.005255",".9117874"
"sp75_810_ss_c_4lag",".7835266",".1666517"
"sp75_811_ss_c_4lag",".5128168",".0837541"
"sp75_812_ss_c_4lag","1","."
"sp75_816_ss_c_4lag",".7460399",".0740036"
"sp75_817_ss_c_4lag","1","."
"sp75_906_ss_c_4lag",".7470339",".2496623"
"mine_time","1.008996",".6470395"
"onsite_insp_hours","1.00372","2.22e-16"
"1.state","1.068396",".925621"
"2.state",".587426",".0001411"
"3.state","1.21239",".6708418"
"4.state","4.433395",".0549496"
"5.state",".8618251",".7704409"
"6.state",".5082685","3.74e-06"
"7.state","2.381071",".4954262"
"8.state",".8574337",".2628425"
"9.state",".2021452","0"
"10.state",".6923151",".3784227"
"11.state","2.386375",".307007"
"12.state",".5098035",".0018973"
"13.state","1.955953",".2969567"
"14.state",".436819",".0423359"
"15.state",".6452394",".0128375"
"16.state","1","."
"17.state","1","."
"1.time",".9384504",".7408633"
"2.time","1","."
"3.time",".6881562",".0551874"
"4.time",".9323333",".7673922"
"5.time",".5076898",".0018257"
"6.time",".4703148",".0003992"
"7.time",".4975559",".0012869"
"8.time",".3023333","5.30e-08"
"9.time",".2247166","2.60e-11"
"10.time",".2841981","1.04e-06"
"11.time",".190788","5.32e-11"
"12.time",".2294412","1.80e-08"
"13.time",".1676439","2.05e-12"
"14.time",".2391315","1.27e-06"
"15.time",".1504739","3.52e-10"
"16.time",".1066996","2.90e-12"
"N","5776",""
