"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_c_lag_all","1.025297",".6294962"
"sp75_1311_c_lag_all","1.142339",".410676"
"sp75_1400_1_c_lag_all","1","."
"sp75_1404_1_c_lag_all","1","."
"sp75_1405_1_c_lag_all",".4378362",".0021675"
"sp75_500_1_c_lag_all","1","."
"sp75_501_c_lag_all",".9504792",".4169705"
"sp75_506_1_c_lag_all",".9475865",".5880652"
"sp75_507_1_c_lag_all","1.00076",".9790897"
"sp75_508_1_c_lag_all",".6984728",".0323628"
"sp75_512_1_c_lag_all","1","."
"sp75_811_c_lag_all","1.201119",".0676913"
"sp75_1002_c_lag_all",".9771435",".65019"
"sp75_1003_2_c_lag_all","1","."
"sp75_1322_c_lag_all","1","."
"sp75_1719_2_c_lag_all","1.074413",".7237459"
"sp75_212_c_lag_all","1.036679",".5533905"
"sp75_332_c_lag_all",".8852067",".2845688"
"sp75_501_2_c_lag_all",".8106396",".0013637"
"sp75_502_c_lag_all",".6862538",".0422876"
"sp75_602_c_lag_all","1.123089",".0222331"
"sp75_812_c_lag_all","1","."
"sp75_1003_c_lag_all","1","."
"sp75_153_c_lag_all","1","."
"sp75_203_c_lag_all","1.01691",".2075425"
"sp75_213_c_lag_all","1.072869",".8890585"
"sp75_343_c_lag_all","1","."
"sp75_373_c_lag_all",".897034",".7959399"
"sp75_503_c_lag_all",".9982228",".516488"
"sp75_523_c_lag_all","1.020332",".2774823"
"sp75_523_3_c_lag_all",".987089",".0741234"
"sp75_603_c_lag_all","1.005003",".9405194"
"sp75_703_3_c_lag_all",".9894815",".8728805"
"sp48_24_c_lag_all","1","."
"sp48_4_c_lag_all","1","."
"sp75_1404_c_lag_all",".8597955",".0578513"
"sp75_1719_4_c_lag_all","1.002666",".9756109"
"sp75_204_c_lag_all","1.020928",".3587347"
"sp75_334_c_lag_all",".9865479",".7669205"
"sp75_524_c_lag_all","1.142943",".4785142"
"sp75_604_c_lag_all","1.020022",".0062735"
"sp75_703_4_c_lag_all","1","."
"sp48_25_c_lag_all","1.043365",".6524041"
"sp48_5_c_lag_all","1.05754",".6655579"
"sp75_1315_c_lag_all",".6881744",".1245707"
"sp75_1403_5_c_lag_all",".9767997",".1982069"
"sp75_1405_c_lag_all","1.415042",".1271662"
"sp75_155_c_lag_all","1","."
"sp75_1725_c_lag_all",".9960284",".4102589"
"sp75_205_c_lag_all",".980665",".9314548"
"sp75_215_c_lag_all","1","."
"sp75_505_c_lag_all","1.559775",".0488274"
"sp75_605_c_lag_all","1.042474",".0679741"
"sp48_26_c_lag_all",".9625936",".2657317"
"sp48_6_c_lag_all",".9214389",".1844725"
"sp75_1316_c_lag_all",".8758007",".444709"
"sp75_1403_6_c_lag_all",".9788529",".1815788"
"sp75_156_c_lag_all",".8376232",".4702737"
"sp75_1906_c_lag_all",".8259054",".1078212"
"sp75_1916_c_lag_all","1.008501",".917441"
"sp75_606_c_lag_all",".9857193",".1214098"
"sp75_816_c_lag_all","1.019533",".609012"
"sp75_906_c_lag_all","1.287627",".6141618"
"sp48_27_c_lag_all",".9495932",".4517014"
"sp48_7_c_lag_all",".9052004",".0784953"
"sp75_1403_7_c_lag_all","1.007772",".8863618"
"sp75_207_c_lag_all","1.36841",".0172993"
"sp75_327_c_lag_all","1","."
"sp75_337_c_lag_all",".9746913",".5779768"
"sp75_507_c_lag_all",".9537776",".2262339"
"sp75_607_c_lag_all","1.114209",".0737073"
"sp75_807_c_lag_all",".9993175",".9585332"
"sp75_817_c_lag_all","1","."
"sp48_28_c_lag_all","1.190163",".0996232"
"sp48_8_c_lag_all","1.022865",".7297426"
"sp75_1318_c_lag_all",".9143442",".4737321"
"sp75_1403_8_c_lag_all","1.09248",".3643871"
"sp75_208_c_lag_all",".9640518",".0063171"
"sp75_388_c_lag_all","1.008413",".8358446"
"sp75_209_c_lag_all","1.044312",".2392158"
"sp75_389_c_lag_all","1.083182",".5883164"
"sp75_509_c_lag_all","1.368876",".0096699"
"sp75_100_c_lag_all","1","."
"sp75_1400_c_lag_all",".926669",".534765"
"sp75_1403_10_c_lag_all",".9987056",".9578817"
"sp75_160_c_lag_all","1.986534",".0208097"
"sp75_1720_c_lag_all","1.066775",".0445284"
"sp75_340_c_lag_all","1.045823",".0098218"
"sp75_500_c_lag_all","1.018103",".749087"
"sp75_510_c_lag_all","1","."
"sp75_810_c_lag_all",".957047",".0079123"
"mine_time",".9987762",".954741"
"onsite_insp_hours","1.003761","0"
"1.state","1.043679",".9580354"
"2.state",".8042731",".1386629"
"3.state","1.234605",".6635619"
"4.state","5.062509",".025828"
"5.state","1.147027",".8049083"
"6.state",".5245283",".0000115"
"7.state","3.587696",".4942128"
"8.state",".8479019",".2309039"
"9.state",".1355208",".00006"
"10.state",".5905315",".1978959"
"11.state","2.502951",".3780415"
"12.state",".5286075",".0047791"
"13.state","2.013941",".2992681"
"14.state",".4998317",".090161"
"15.state",".6782568",".0379417"
"16.state","1","."
"17.state","1","."
"1.time",".982761",".9274541"
"2.time","1","."
"3.time",".6612845",".0331198"
"4.time",".8590875",".5062142"
"5.time",".5216053",".0035971"
"6.time",".4747386",".0004944"
"7.time",".5052913",".0017276"
"8.time",".3214906","3.80e-07"
"9.time",".2328185","9.03e-11"
"10.time",".2746496","7.30e-07"
"11.time",".1988623","5.17e-10"
"12.time",".2447798","4.00e-08"
"13.time",".1676414","2.19e-12"
"14.time",".2354301","7.22e-07"
"15.time",".1547405","8.32e-10"
"16.time",".0962426","2.78e-12"
"N","5614",""
