"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp_1lag","1.000869",".1412219"
"sp48_24_pp_1lag","1.001501","0"
"sp48_25_pp_1lag",".9995852",".5869"
"sp48_26_pp_1lag","1.001637",".0384557"
"sp48_27_pp_1lag",".9995534",".5254349"
"sp48_28_pp_1lag",".9981658",".0552113"
"sp48_4_pp_1lag","1.010372",".0011736"
"sp48_5_pp_1lag","1.000784",".4916452"
"sp48_6_pp_1lag","1.000089",".8838616"
"sp48_7_pp_1lag","1.000491",".2854489"
"sp48_8_pp_1lag","1.000651",".4861175"
"sp75_100_pp_1lag","1.003901",".0085225"
"sp75_1002_pp_1lag",".9996946",".2265595"
"sp75_1003_pp_1lag",".9996404",".1114203"
"sp75_1003_2_pp_1lag",".9983752",".0005744"
"sp75_1311_pp_1lag",".9978293",".053693"
"sp75_1315_pp_1lag","1.001409",".8502294"
"sp75_1316_pp_1lag",".9969859",".226963"
"sp75_1318_pp_1lag","1","."
"sp75_1400_pp_1lag",".9998888",".8785428"
"sp75_1400_1_pp_1lag",".9991649",".7021331"
"sp75_1403_10_pp_1lag","1.000378",".0151032"
"sp75_1403_5_pp_1lag",".9997091",".0329509"
"sp75_1403_6_pp_1lag","1.000034",".7398686"
"sp75_1403_7_pp_1lag","1.000025",".9618009"
"sp75_1403_8_pp_1lag",".9997747",".0277374"
"sp75_1404_pp_1lag",".9984405",".4652031"
"sp75_1404_1_pp_1lag",".9986336",".3331343"
"sp75_1405_pp_1lag",".9996598",".1116368"
"sp75_1405_1_pp_1lag","1.000767",".6102293"
"sp75_153_pp_1lag",".9970029",".2522219"
"sp75_156_pp_1lag",".996932",".0658495"
"sp75_160_pp_1lag","1.014676",".0263643"
"sp75_1719_2_pp_1lag",".9978453",".0815726"
"sp75_1719_4_pp_1lag","1.000047",".8881865"
"sp75_1720_pp_1lag","1.000792",".0373177"
"sp75_1725_pp_1lag","1.000038",".3068784"
"sp75_1906_pp_1lag","1.001183",".0346732"
"sp75_1916_pp_1lag","1.000391",".4747498"
"sp75_203_pp_1lag","1.000026",".8430373"
"sp75_204_pp_1lag","1.000379",".0268882"
"sp75_205_pp_1lag","1.006875",".0443231"
"sp75_207_pp_1lag","1.001648",".1673935"
"sp75_208_pp_1lag","1.000058",".7594079"
"sp75_209_pp_1lag",".9999694",".9674889"
"sp75_212_pp_1lag","1.001531",".0094757"
"sp75_213_pp_1lag","1.002108",".0252181"
"sp75_215_pp_1lag",".999886",".923071"
"sp75_332_pp_1lag",".9988317",".2929728"
"sp75_334_pp_1lag",".9999864",".9732336"
"sp75_337_pp_1lag",".9994783",".0778969"
"sp75_340_pp_1lag",".9999509",".6910116"
"sp75_343_pp_1lag","1.000281",".6869517"
"sp75_373_pp_1lag","1","."
"sp75_388_pp_1lag","1.00057",".5131946"
"sp75_389_pp_1lag",".998397",".3630037"
"sp75_500_pp_1lag","1.000552",".560198"
"sp75_500_1_pp_1lag",".9984791",".5617639"
"sp75_501_pp_1lag",".9996327",".7606436"
"sp75_501_2_pp_1lag",".9993803",".6735331"
"sp75_502_pp_1lag","1.005016",".033978"
"sp75_503_pp_1lag","1.000017",".5881148"
"sp75_505_pp_1lag",".9999972",".9983165"
"sp75_506_1_pp_1lag","1.001925",".0112398"
"sp75_507_pp_1lag","1.000282",".5593891"
"sp75_507_1_pp_1lag","1.00001",".970657"
"sp75_508_1_pp_1lag",".9881261","5.37e-14"
"sp75_509_pp_1lag","1.002658",".0469643"
"sp75_510_pp_1lag","1.001236",".7262262"
"sp75_512_1_pp_1lag","1.000189",".9235612"
"sp75_523_pp_1lag",".9988054",".0017977"
"sp75_523_3_pp_1lag",".9998378",".1247334"
"sp75_524_pp_1lag","1.001802",".1569533"
"sp75_602_pp_1lag",".9999189",".8508551"
"sp75_603_pp_1lag","1.00074",".083914"
"sp75_604_pp_1lag","1.000088",".0782278"
"sp75_605_pp_1lag","1.000079",".712758"
"sp75_606_pp_1lag",".999932",".5522072"
"sp75_607_pp_1lag",".9992823",".0483459"
"sp75_703_3_pp_1lag","1.00082",".2553427"
"sp75_703_4_pp_1lag",".990762",".002798"
"sp75_807_pp_1lag","1.000191",".0841049"
"sp75_810_pp_1lag","1.000763",".0899818"
"sp75_811_pp_1lag","1.000652",".2037657"
"sp75_812_pp_1lag","1.000138",".9331009"
"sp75_816_pp_1lag",".9999558",".8881965"
"sp75_817_pp_1lag","1.000078",".9808525"
"sp75_906_pp_1lag",".9951395",".1022561"
"mine_time","1.010248",".0691563"
"onsite_insp_hours",".999844",".0001032"
"1.state",".8498236",".1547758"
"2.state","1.166872",".0022503"
"3.state",".655414",".0008034"
"4.state","1.009089",".881266"
"5.state",".8450018",".0566851"
"6.state",".7851176","9.98e-08"
"7.state","1.013221",".9488192"
"8.state",".4844026","0"
"9.state",".5853146","0"
"10.state",".8589534",".1036213"
"11.state","1.565551",".0090967"
"12.state","1.045511",".5244632"
"13.state","1.507989",".0000731"
"14.state",".4051154","2.91e-07"
"15.state",".7430724","2.52e-08"
"16.state","1","."
"17.state",".6296286","0"
"1.time","1.050257",".2571822"
"2.time","1","."
"3.time",".946872",".2569504"
"4.time",".85177",".0021427"
"5.time",".8039484","7.38e-06"
"6.time",".7275267","1.55e-10"
"7.time",".7182222","1.69e-10"
"8.time",".687912","2.85e-11"
"9.time",".5909785","0"
"10.time",".5348297","0"
"11.time",".5307582","0"
"12.time",".4982517","0"
"13.time",".431074","0"
"14.time",".4175818","0"
"15.time",".4119723","0"
"16.time",".3912897","0"
"N","6253",""
