"","est1",""
"","b","p"
"dv","",""
"sp48_11_ss_1lag","1.061292",".3220763"
"sp48_25_ss_1lag",".9508147",".4521422"
"sp48_26_ss_1lag","1.071596",".2039255"
"sp48_27_ss_1lag",".9729253",".6977008"
"sp48_28_ss_1lag",".9511009",".4812942"
"sp48_4_ss_1lag","1.637673",".0000171"
"sp48_5_ss_1lag","1.051664",".5889862"
"sp48_6_ss_1lag",".9797022",".8096662"
"sp48_7_ss_1lag","1.070166",".1035804"
"sp48_8_ss_1lag","1.224707",".2467158"
"sp75_100_ss_1lag","1.275142",".1231082"
"sp75_1002_ss_1lag",".958347",".4489627"
"sp75_1003_ss_1lag",".950323",".2246669"
"sp75_1003_2_ss_1lag",".8957218",".080957"
"sp75_1311_ss_1lag",".8506878",".1278029"
"sp75_1315_ss_1lag",".9437607",".8684443"
"sp75_1316_ss_1lag",".7566952",".1458882"
"sp75_1318_ss_1lag","1","."
"sp75_1322_ss_1lag","1","."
"sp75_1400_ss_1lag","1.14959",".0070993"
"sp75_1400_1_ss_1lag",".7843541",".326596"
"sp75_1403_10_ss_1lag","1.051802",".0030378"
"sp75_1403_5_ss_1lag",".9798889",".1049711"
"sp75_1403_6_ss_1lag",".9868575",".1194221"
"sp75_1403_7_ss_1lag","1.009006",".8098599"
"sp75_1403_8_ss_1lag",".963786",".0033403"
"sp75_1404_ss_1lag",".8535172",".0417172"
"sp75_1404_1_ss_1lag",".7866651",".0140471"
"sp75_1405_ss_1lag",".9729942",".0275133"
"sp75_1405_1_ss_1lag","1.413358",".1506777"
"sp75_153_ss_1lag","1.638182",".0044258"
"sp75_155_ss_1lag",".8929343",".2839701"
"sp75_156_ss_1lag","1.047704",".8021439"
"sp75_1719_2_ss_1lag",".6101266",".3426935"
"sp75_1719_4_ss_1lag",".9480491",".5437271"
"sp75_1720_ss_1lag","1.084042",".0072008"
"sp75_1725_ss_1lag","1.00157",".6531766"
"sp75_1906_ss_1lag","1.665239",".0091609"
"sp75_1916_ss_1lag","1.085365",".2048631"
"sp75_203_ss_1lag","1.013224",".3290078"
"sp75_204_ss_1lag","1.080995",".0003045"
"sp75_205_ss_1lag","1.509892",".0002379"
"sp75_207_ss_1lag","1.21596",".0101764"
"sp75_208_ss_1lag","1.01108",".4533111"
"sp75_209_ss_1lag","1.079347",".1112374"
"sp75_212_ss_1lag","1.078888",".0705941"
"sp75_213_ss_1lag","1.07851",".371426"
"sp75_215_ss_1lag",".8477315",".0292963"
"sp75_332_ss_1lag",".918397",".350492"
"sp75_334_ss_1lag","1.021347",".5873489"
"sp75_337_ss_1lag",".9636292",".1893616"
"sp75_340_ss_1lag",".9960078",".7486171"
"sp75_343_ss_1lag","1.007753",".9158678"
"sp75_373_ss_1lag","1","."
"sp75_388_ss_1lag","1.068356",".3260745"
"sp75_389_ss_1lag",".8579238",".4364926"
"sp75_500_ss_1lag","1.107612",".2866469"
"sp75_500_1_ss_1lag",".8178857",".1427066"
"sp75_501_ss_1lag",".8991034",".4864614"
"sp75_501_2_ss_1lag",".7380176",".3449787"
"sp75_502_ss_1lag","1.445114",".2332008"
"sp75_503_ss_1lag","1.011799",".0160368"
"sp75_505_ss_1lag",".6972121",".139635"
"sp75_506_1_ss_1lag","1.001369",".9909736"
"sp75_507_ss_1lag","1.065165",".3058241"
"sp75_507_1_ss_1lag","1.028597",".4542069"
"sp75_509_ss_1lag","1.178421",".0319622"
"sp75_512_1_ss_1lag","1.063041",".7045779"
"sp75_523_ss_1lag",".9048018","1.58e-06"
"sp75_523_3_ss_1lag",".9875328",".2247501"
"sp75_524_ss_1lag",".9925073",".9630975"
"sp75_602_ss_1lag",".9931428",".896721"
"sp75_603_ss_1lag","1.078363",".0743101"
"sp75_604_ss_1lag","1.011712",".0173557"
"sp75_605_ss_1lag","1.012793",".6265144"
"sp75_606_ss_1lag","1.001605",".9117864"
"sp75_607_ss_1lag","1.003594",".9313045"
"sp75_703_3_ss_1lag","1.089608",".1249822"
"sp75_807_ss_1lag","1.014904",".3559209"
"sp75_810_ss_1lag","1.059975",".4531946"
"sp75_811_ss_1lag",".8558288",".1270499"
"sp75_812_ss_1lag",".9882766",".9387256"
"sp75_816_ss_1lag",".9810833",".7875825"
"sp75_817_ss_1lag","1.52317",".3950983"
"sp75_906_ss_1lag",".6890606",".2175221"
"mine_time","1.010567",".0572908"
"onsite_insp_hours",".9998383",".0000154"
"1.state",".8105065",".0483649"
"2.state","1.114728",".0371508"
"3.state",".6582902",".000604"
"4.state","1.012081",".8321776"
"5.state",".8523989",".0560958"
"6.state",".7642081","2.05e-09"
"7.state","1.030789",".8833997"
"8.state",".4777938","0"
"9.state",".576101","0"
"10.state",".888916",".2609247"
"11.state","1.466302",".0347726"
"12.state","1.030654",".6583539"
"13.state","1.514353",".0000825"
"14.state",".3954306","1.11e-07"
"15.state",".7250848","1.50e-09"
"16.state","1","."
"17.state",".6102301","0"
"1.time","1.075639",".1017258"
"2.time","1","."
"3.time",".9665318",".4969778"
"4.time",".8700079",".0089876"
"5.time",".8103286",".0000204"
"6.time",".7355137","1.01e-09"
"7.time",".7265776","1.46e-09"
"8.time",".7029807","3.97e-10"
"9.time",".6240382","1.11e-15"
"10.time",".5640151","0"
"11.time",".5680662","0"
"12.time",".514488","0"
"13.time",".4550364","0"
"14.time",".4486631","0"
"15.time",".4411142","0"
"16.time",".4209779","0"
"N","6253",""
