"","est1",""
"","b","p"
"dv","",""
"sp48_11","1.030141",".40654"
"sp75_1311",".9239199",".351915"
"sp75_1400_1",".9947899",".9773501"
"sp75_1404_1",".9167585",".5837656"
"sp75_1405_1","1.186172",".002045"
"sp75_500_1",".9233398",".7039456"
"sp75_501","1.120213",".1863519"
"sp75_506_1","1.090177",".0408229"
"sp75_507_1","1.001008",".9484929"
"sp75_508_1",".4883815",".0000291"
"sp75_512_1","1.036487",".7431063"
"sp75_811","1.001645",".9552338"
"sp75_1002",".9755012",".1491757"
"sp75_1003_2",".9224324",".1151685"
"sp75_1322","1.329671",".0900786"
"sp75_1719_2",".936684",".3845016"
"sp75_212","1.095181",".0002993"
"sp75_332",".9241611",".2052683"
"sp75_501_2",".8792453",".0957862"
"sp75_502","1.095071",".4256677"
"sp75_602",".9984889",".9429838"
"sp75_812","1.02301",".8167036"
"sp75_1003",".9583569",".0027881"
"sp75_153","1.028698",".8237274"
"sp75_203","1.010175",".2279148"
"sp75_213","1.142344",".1372332"
"sp75_343","1.012497",".7726944"
"sp75_373",".7636807",".4833428"
"sp75_503","1.003221",".1527965"
"sp75_523",".9298888",".0000361"
"sp75_523_3",".9829949",".0056686"
"sp75_603","1.078252",".0434068"
"sp75_703_3","1.012154",".7510188"
"sp48_24","1.107367","0"
"sp48_4",".6914823",".1557382"
"sp75_1404","1.000606",".9977052"
"sp75_1719_4",".9930205",".7413689"
"sp75_204","1.013349",".2419469"
"sp75_334","1.007783",".7274582"
"sp75_524",".9889056",".9408163"
"sp75_604","1.01083",".0027135"
"sp75_703_4",".3915257",".0395539"
"sp48_25",".9777987",".6374193"
"sp48_5","1.0938",".1290663"
"sp75_1315",".8904044",".7379544"
"sp75_1403_5",".9870159",".0271974"
"sp75_1405",".9788345",".081304"
"sp75_155","1.09378",".6764302"
"sp75_1725","1.003728",".1911712"
"sp75_205","1.342451",".0208651"
"sp75_215","1.145803",".0992392"
"sp75_505","1.007812",".9229171"
"sp75_605",".9900513",".40034"
"sp48_26","1.093545",".0245875"
"sp48_6","1.019954",".6018213"
"sp75_1316",".7623408",".0440604"
"sp75_1403_6",".9963666",".4352357"
"sp75_156",".7569049",".0061118"
"sp75_1906","1.099469",".0001867"
"sp75_1916",".9974096",".9310939"
"sp75_606",".9974895",".7170824"
"sp75_816","1.012315",".5713119"
"sp75_906",".7346107",".0024756"
"sp48_27","1.042137",".487954"
"sp48_7","1.054158",".1419487"
"sp75_1403_7",".9846552",".4633408"
"sp75_207","1.022428",".7613952"
"sp75_327",".8079373",".0333604"
"sp75_337",".9677976",".1106433"
"sp75_507","1.07179",".0468929"
"sp75_607","1.005921",".8200656"
"sp75_807","1.019098",".0056857"
"sp75_817",".8684719",".4774164"
"sp48_28",".9703034",".6214339"
"sp48_8","1.134412",".0810321"
"sp75_1318","1.11787",".4559758"
"sp75_1403_8",".9917247",".0921533"
"sp75_208","1.005986",".6006765"
"sp75_388","1.048917",".2527346"
"sp75_209","1.023524",".5589369"
"sp75_389",".925033",".5226067"
"sp75_509","1.22446",".0016445"
"sp75_100","1.375938",".0012154"
"sp75_1400","1.041698",".1787362"
"sp75_1403_10",".996379",".6521958"
"sp75_160","1.413513",".2883054"
"sp75_1720","1.051007",".0405521"
"sp75_340",".9918703",".2847055"
"sp75_500",".9809036",".5507235"
"sp75_510",".9327749",".4676178"
"sp75_810","1.02865",".1836646"
"mine_time","1.012844",".0183663"
"onsite_insp_hours",".9998267","1.99e-06"
"1.state",".8539163",".2017122"
"2.state","1.132642",".0083112"
"3.state",".6296241",".0003101"
"4.state",".9477089",".4185213"
"5.state",".7914213",".0024279"
"6.state",".7665755","1.75e-09"
"7.state","1.039477",".845459"
"8.state",".4735612","0"
"9.state",".5600168","0"
"10.state",".8906192",".2698376"
"11.state","1.485868",".0214164"
"12.state","1.058163",".4035281"
"13.state","1.500309",".0000606"
"14.state",".400002","2.08e-07"
"15.state",".73139","2.23e-09"
"16.state","1","."
"17.state",".640829","0"
"1.time","1.043224",".331137"
"2.time","1","."
"3.time",".9365329",".172126"
"4.time",".849278",".0016705"
"5.time",".8041283","5.84e-06"
"6.time",".7120958","1.50e-11"
"7.time",".6998356","7.70e-12"
"8.time",".679106","1.57e-11"
"9.time",".5961539","0"
"10.time",".5438243","0"
"11.time",".5391136","0"
"12.time",".5009542","0"
"13.time",".4418603","0"
"14.time",".4286972","0"
"15.time",".4237986","0"
"16.time",".4036668","0"
"N","6253",""
