"","est1",""
"","b","p"
"dv","",""
"p47_pp_1lag",".9988232",".4250939"
"p48_pp_1lag",".9999125",".7707237"
"p71_pp_1lag","1.002263",".0192712"
"p72_pp_1lag",".9992115",".2957362"
"p75_pp_1lag","1.000034",".0012003"
"p77_pp_1lag",".9999786",".9234091"
"mine_time",".9978666",".2542504"
"onsite_insp_hours",".9996575",".0233555"
"1.state","1.122756",".1705758"
"2.state","2.066427","0"
"3.state",".70486",".032842"
"4.state","1.191167",".0408067"
"5.state",".9154007",".575177"
"6.state","1","."
"7.state","1.009595",".95463"
"8.state",".8785102",".0081507"
"9.state",".7899133","4.01e-07"
"10.state","1.085723",".5583247"
"11.state",".8833526",".6370145"
"12.state",".9560011",".6372324"
"13.state","1.208623",".1655014"
"14.state",".6140004",".0001393"
"15.state",".6865347","7.83e-06"
"16.state","1.011666",".8349084"
"17.state","1.055652",".2186081"
"2.time",".992516",".9449904"
"3.time","1.179436",".0997471"
"4.time",".8785019",".2171311"
"5.time",".8811771",".1923451"
"6.time",".813021",".0447657"
"7.time","1","."
"8.time",".8476539",".0747428"
"9.time",".8905587",".2104154"
"10.time",".8056613",".0427316"
"11.time",".9978413",".9823437"
"12.time",".9190412",".4167318"
"13.time",".7391963",".0052939"
"14.time",".8420167",".111459"
"15.time",".9227282",".4448125"
"16.time",".6654312",".0000874"
"17.time",".8666092",".2042528"
"18.time",".8174707",".0476336"
"19.time",".8192075",".0575189"
"20.time",".7319006",".0072598"
"21.time",".6439099",".0000158"
"22.time",".8231542",".0557086"
"23.time",".7262199",".0025601"
"24.time",".6738842",".0003167"
"25.time",".7045016",".0012525"
"26.time",".7060447",".0031493"
"27.time",".7678289",".0208979"
"28.time",".6283072",".0000689"
"29.time",".6469836",".0000699"
"30.time",".6293461",".0001449"
"31.time",".6462031",".0000695"
"32.time",".6435088",".0001116"
"33.time",".5308416","1.24e-07"
"34.time",".5475059","1.20e-07"
"35.time",".6369915",".0000716"
"36.time",".5056963","3.92e-09"
"37.time",".5076724","8.08e-09"
"38.time",".4715931","3.77e-10"
"39.time",".584057",".0000148"
"40.time",".4256555","4.12e-13"
"41.time",".4684777","6.52e-09"
"42.time",".4854873","1.28e-08"
"43.time",".5792503","7.41e-06"
"44.time",".4530126","2.59e-10"
"45.time",".5354475","1.81e-07"
"46.time",".5132369","1.47e-08"
"47.time",".5837119","3.08e-06"
"48.time",".471285","1.78e-09"
"49.time",".5864449","5.38e-06"
"50.time",".5054015","6.37e-10"
"51.time",".5736031","2.59e-06"
"52.time",".4717329","6.45e-10"
"53.time",".4979044","1.67e-08"
"54.time",".4276947","6.14e-10"
"55.time",".5674926","9.66e-06"
"56.time",".4544451","2.00e-09"
"57.time",".4362443","3.58e-09"
"58.time",".4804864","8.03e-08"
"59.time",".5000676","5.90e-08"
"60.time",".4997783","6.54e-08"
"61.time",".4600285","3.80e-08"
"62.time",".4919204","2.34e-06"
"63.time",".6345223",".0011775"
"64.time",".3811034","6.81e-10"
"65.time",".5234881","3.48e-06"
"N","26110",""
