"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp","1.001312",".156004"
"sp47_42_pp",".9947436",".1795046"
"sp47_44_pp",".9973471",".2093261"
"sp48_11_pp","1.001361",".2081923"
"sp48_24_pp",".9110277","0"
"sp48_25_pp",".9997755",".9334422"
"sp48_26_pp","1.004315",".0015221"
"sp48_27_pp","1.000819",".5088799"
"sp48_28_pp","1.002346",".2931382"
"sp48_4_pp","1.015183","0"
"sp48_5_pp","1.000545",".86513"
"sp48_6_pp","1.001268",".2925196"
"sp48_7_pp",".999934",".9432686"
"sp48_8_pp","1.003356",".0751378"
"sp71_701_pp",".7463139","0"
"sp72_503_pp",".9975756",".0900985"
"sp72_610_pp","1.002833",".3526538"
"sp72_620_pp","1.006167",".2982913"
"sp72_630_pp","1.000267",".1555176"
"sp75_100_pp","1.001729",".6182689"
"sp75_1001_1_pp","1.000892",".8017357"
"sp75_1001_pp","1.004718",".4862173"
"sp75_1003_1_pp",".9952301",".1198024"
"sp75_1100_2_pp","1.000611",".0009742"
"sp75_1101_20_pp",".6587887","0"
"sp75_1102_pp",".9992887",".5777365"
"sp75_1103_4_pp","1.000355",".2634013"
"sp75_1104_pp",".99965",".7766975"
"sp75_1106_2_pp","1.001202",".1425622"
"sp75_1106_3_pp","1.000643",".0242909"
"sp75_1106_4_pp",".999958",".9848324"
"sp75_1106_5_pp","1.000431",".6555774"
"sp75_1106_6_pp","1.013559",".0424463"
"sp75_1106_pp","1.000104",".9540852"
"sp75_1107_14_pp","1.009382",".0152902"
"sp75_1400_1_pp",".9979268",".663422"
"sp75_1400_2_pp",".996919",".3182627"
"sp75_1400_3_pp","1.000261",".8641389"
"sp75_1400_4_pp",".9951873",".1819833"
"sp75_1400_pp",".9974566",".070901"
"sp75_1401_1_pp","1.01953",".0495211"
"sp75_1401_pp",".9892821",".3091607"
"sp75_1403_10_pp","1.000315",".352838"
"sp75_1403_11_pp","1.001394",".6893462"
"sp75_1403_3_pp",".9960371",".2197188"
"sp75_1403_4_pp","1.002927",".2567027"
"sp75_1403_5_pp",".9993479",".0415691"
"sp75_1403_6_pp","1.000036",".8716685"
"sp75_1403_7_pp","1.000074",".9422732"
"sp75_1403_8_pp",".9997232",".3917202"
"sp75_1403_9_pp",".9983168",".030954"
"sp75_1404_1_pp",".9885157",".2020057"
"sp75_1404_pp","1.009139",".0903144"
"sp75_1405_1_pp",".9969662",".478054"
"sp75_1405_pp",".9992608",".0272307"
"sp75_1431_pp",".4559878","0"
"sp75_1432_pp",".9860504",".0368877"
"sp75_1433_pp","1.001355",".5035245"
"sp75_1434_pp","1.001606",".4452641"
"sp75_1435_pp",".9923561",".1953176"
"sp75_1437_pp","1.009676",".1379913"
"sp75_150_pp","1.003042",".2614967"
"sp75_151_pp","1.003193",".6100993"
"sp75_153_pp","1.002637",".4617193"
"sp75_156_pp","1.007748",".136591"
"sp75_160_pp","1.004846",".6786386"
"sp75_1600_2_pp",".9990968",".0709861"
"sp75_1712_10_pp",".9975833",".0734206"
"sp75_1712_6_pp","1.000235",".8199807"
"sp75_1720_pp",".999293",".3203978"
"sp75_1721_pp",".3568891","0"
"sp75_1725_pp","1.000031",".763902"
"sp75_1726_pp","1.001009",".5690857"
"sp75_1727_pp",".3343824","0"
"sp75_1728_pp","1.006247",".1076714"
"sp75_1729_pp",".9918643",".0054367"
"sp75_1730_pp",".9971847",".2828615"
"sp75_1731_pp",".9999565",".5970288"
"sp75_1903_pp",".9993903",".4869798"
"sp75_1909_pp","1.000423",".0149468"
"sp75_1910_pp",".9999672",".8924163"
"sp75_1911_pp",".9999215",".8115921"
"sp75_1912_pp",".9983143",".3112411"
"sp75_1913_pp","1.002914",".41274"
"sp75_1914_pp","1.000195",".3383665"
"sp75_1915_pp","1.000197",".9336988"
"sp75_202_pp","1.000086",".2061653"
"sp75_208_pp","1.000057",".8877602"
"sp75_211_pp","1.000081",".8355675"
"sp75_212_pp",".9988402",".1342693"
"sp75_214_pp",".9996071",".6620273"
"sp75_312_pp","1.000045",".9636153"
"sp75_320_pp",".9995559",".2937391"
"sp75_324_pp",".9997964",".8886911"
"sp75_337_pp","1.000666",".1812346"
"sp75_340_pp","1.000269",".2984862"
"sp75_341_pp",".986067",".2274232"
"sp75_342_pp","1.000186",".3027937"
"sp75_344_pp",".9999404",".9741905"
"sp75_352_pp",".997467",".0463449"
"sp75_382_pp",".9966382",".0054826"
"sp75_503_pp","1.00003",".7303507"
"sp75_504_pp",".9978785",".3985106"
"sp75_505_pp",".9959426",".4948545"
"sp75_506_1_pp","1.002393",".2286309"
"sp75_506_pp",".996796",".0702452"
"sp75_507_pp",".9995898",".6451392"
"sp75_511_1_pp",".9839066",".0002203"
"sp75_511_pp","1.002175",".0289609"
"sp75_512_1_pp","1.010596",".3233692"
"sp75_512_2_pp","1.000508",".1782738"
"sp75_512_pp",".9999482",".6243982"
"sp75_513_1_pp",".9993044",".7579595"
"sp75_513_pp",".9957165",".03472"
"sp75_514_pp","1.000784",".0538466"
"sp75_515_pp",".9992248",".0017085"
"sp75_516_1_pp",".9988507",".5855324"
"sp75_516_2_pp","1.000869",".1973881"
"sp75_516_pp","1.000119",".7653926"
"sp75_517_1_pp","1.00653",".102049"
"sp75_517_pp",".9998863",".2121734"
"sp75_518_1_pp","1.000322",".5037708"
"sp75_518_pp","1.000492",".1089226"
"sp75_519_pp",".99236",".0308327"
"sp75_520_pp","1.000188",".7983209"
"sp75_523_1_pp",".9994607",".5530597"
"sp75_523_2_pp",".9993824",".2587978"
"sp75_523_pp",".9998825",".9040506"
"sp75_600_1_pp",".9949537",".1812356"
"sp75_600_pp",".9986337",".8170419"
"sp75_601_1_pp","1.000072",".8110117"
"sp75_601_2_pp","1.006387",".4051599"
"sp75_601_3_pp",".9950904",".3604957"
"sp75_601_pp","1.00021",".595047"
"sp75_602_pp",".9992045",".5189437"
"sp75_603_pp",".9999286",".9427651"
"sp75_604_pp","1.000164",".2506521"
"sp75_605_pp",".9998889",".8003603"
"sp75_606_pp","1.000283",".276876"
"sp75_607_pp","1.000149",".9011288"
"sp75_700_1_pp","1.000377",".9458682"
"sp75_700_pp",".997609",".0386247"
"sp75_701_1_pp",".9979418",".1619465"
"sp75_701_2_pp","1.000531",".7418664"
"sp75_701_3_pp","1.001081",".492186"
"sp75_701_4_pp","1.006834",".3194431"
"sp75_701_5_pp",".9968235",".0698044"
"sp75_701_pp","1.000012",".9666155"
"sp75_702_1_pp","1.010632",".1596963"
"sp75_702_pp","1.005388",".4958465"
"sp75_703_1_pp","1.003518",".7224973"
"sp75_703_2_pp","1.003386",".5519417"
"sp75_703_3_pp",".9993138",".7626083"
"sp75_703_4_pp",".4957175","0"
"sp75_703_pp","1.000893",".1580724"
"sp75_704_pp",".9988174",".6950629"
"sp75_705_1_pp","1.000076",".9677987"
"sp75_705_3_pp",".4998081","0"
"sp75_705_8_pp",".9992603",".9144064"
"sp75_705_pp","1.004955",".2337078"
"sp75_706_pp",".9992638",".7032283"
"sp75_800_2_pp",".382677","0"
"sp75_800_3_pp",".9969714",".2859973"
"sp75_800_4_pp","1.004474",".0193749"
"sp75_800_pp","1.000932",".5426796"
"sp75_801_pp","1.003833",".4146406"
"sp75_802_pp","1.000573",".879751"
"sp75_803_2_pp","1.014803","0"
"sp75_803_pp",".9986995",".4486816"
"sp75_804_pp","1.000456",".654962"
"sp75_805_pp","1.000225",".9561309"
"sp75_806_pp","1.007538",".3795018"
"sp75_807_pp","1.000035",".880123"
"sp75_808_pp","1.000278",".8801269"
"sp75_809_pp",".9986643",".0569725"
"sp75_810_pp","1.000079",".9465774"
"sp75_811_pp",".9991368",".3644195"
"sp75_812_pp","1.00339",".2663023"
"sp75_814_pp","1.001187",".6326942"
"sp75_815_pp",".9979408",".466381"
"sp75_816_pp",".999881",".8588773"
"sp75_818_pp","1.003711",".2350825"
"sp75_820_pp","1.002405",".1100573"
"sp75_821_pp","1.000702",".5641443"
"sp75_825_pp",".9999225",".9712939"
"sp75_827_pp","1.002164",".3581419"
"sp75_831_pp",".9936124",".2012917"
"sp75_832_pp",".9911338",".4143106"
"sp75_834_pp",".2354594","0"
"sp75_900_2_pp","1.00039",".8910678"
"sp75_900_3_pp",".9996646",".8527787"
"sp75_900_4_pp","1.000868",".0309157"
"sp75_900_pp","1.000429",".517825"
"sp75_901_pp","1.002088",".2271274"
"sp75_902_1_pp","1.006701",".0984565"
"sp75_902_2_pp","1.000155",".8836727"
"sp75_902_4_pp","1.000157",".8764018"
"sp75_902_pp","1.000491",".5172819"
"sp75_903_pp","1.001837",".0086843"
