"","est1",""
"","b","p"
"dv_indicator","",""
"p47_pp_1lag",".9991463",".7263686"
"p48_pp_1lag","1.001121",".208811"
"p71_pp_1lag","1.004358",".2483274"
"p72_pp_1lag",".9988678",".6721602"
"p75_pp_1lag","1.000018",".3711253"
"p77_pp_1lag","1.000447",".2501096"
"mine_time",".9946808",".7062131"
"onsite_insp_hours","1.001201","2.50e-10"
"1.state","1.64942",".2097539"
"2.state","2.632863","0"
"3.state",".7887567",".4897169"
"4.state","1.823331",".05305"
"5.state",".7947091",".4083446"
"6.state",".7237752",".0003279"
"7.state",".9031121",".7317144"
"8.state","1.290042",".0017824"
"9.state","2.444152","0"
"10.state",".5931226",".1619545"
"11.state",".7166463",".2219688"
"12.state",".9604131",".8157113"
"13.state","1.962193",".0682579"
"14.state",".6798028",".2341378"
"15.state",".5840595","4.94e-07"
"16.state","1","."
"17.state","1","."
"1.time",".973798",".8475759"
"2.time","1","."
"3.time",".7300864",".0318709"
"4.time",".7867414",".1486651"
"5.time",".5211658",".0000489"
"6.time",".5341205",".0000261"
"7.time",".59061",".0005381"
"8.time",".5654748",".0004318"
"9.time",".4247124","3.37e-07"
"10.time",".2133548","0"
"11.time",".2927743","5.57e-11"
"12.time",".3561445","1.36e-08"
"13.time",".3026988","8.08e-10"
"14.time",".2050716","5.11e-14"
"15.time",".1668944","4.44e-16"
"16.time",".2180657","8.14e-12"
"N","6242",""
