"","est1",""
"","b","p"
"dv_indicator","",""
"p47_c_lag_all",".9778287",".3562116"
"p48_c_lag_all","1.003935",".5129777"
"p71_c_lag_all","1.076504",".0428431"
"p72_c_lag_all",".998288",".9059455"
"p75_c_lag_all","1.000007",".8728669"
"p77_c_lag_all","1.001792",".4531186"
"mine_time",".9871589",".3962843"
"onsite_insp_hours","1.001238","8.12e-13"
"1.state","1.57945",".2549446"
"2.state","2.845036","0"
"3.state",".6013883",".2456517"
"4.state","1.859045",".0367642"
"5.state",".7839902",".3831138"
"6.state",".7174324",".0002277"
"7.state",".9588738",".8791491"
"8.state","1.327372",".0001754"
"9.state","2.292652","0"
"10.state",".5880255",".1605415"
"11.state",".66347",".1411523"
"12.state",".9352319",".6974542"
"13.state","2.046801",".0559964"
"14.state",".6521618",".2028397"
"15.state",".5910434","7.73e-07"
"16.state","1","."
"17.state","1","."
"1.time",".9790384",".8781884"
"2.time","1","."
"3.time",".7317675",".0334719"
"4.time",".7885696",".152746"
"5.time",".5226786",".000051"
"6.time",".5333045",".0000215"
"7.time",".5914446",".0005421"
"8.time",".5904012",".0010915"
"9.time",".4716433","3.68e-06"
"10.time",".2376121","2.22e-16"
"11.time",".3191806","5.51e-10"
"12.time",".3870708","1.55e-07"
"13.time",".327754","7.14e-09"
"14.time",".2168723","1.99e-13"
"15.time",".1743546","1.55e-15"
"16.time",".2268158","5.83e-11"
"N","6242",""
