"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_pp_c_4lag",".9967877",".0023162"
"sp47_42_pp_c_4lag",".9985937",".634201"
"sp47_44_pp_c_4lag","1.006246",".0646272"
"sp48_11_pp_c_4lag","1.003529",".0126066"
"sp48_24_pp_c_4lag","1","."
"sp48_25_pp_c_4lag",".9986382",".535914"
"sp48_26_pp_c_4lag","1.002865",".0322553"
"sp48_27_pp_c_4lag",".9991232",".556008"
"sp48_28_pp_c_4lag",".9979563",".3125306"
"sp48_4_pp_c_4lag","1","."
"sp48_5_pp_c_4lag","1.002158",".2611176"
"sp48_6_pp_c_4lag",".9995182",".5678543"
"sp48_7_pp_c_4lag","1.00074",".4091193"
"sp48_8_pp_c_4lag",".9983183",".3332893"
"sp71_701_pp_c_4lag","1","."
"sp72_503_pp_c_4lag",".9986843",".4552485"
"sp72_610_pp_c_4lag","1","."
"sp72_620_pp_c_4lag","1.005836",".2846171"
"sp72_630_pp_c_4lag","1.000182",".2667184"
"sp75_100_pp_c_4lag","1.001956",".7576991"
"sp75_1001_1_pp_c_4lag","1.001189",".5843394"
"sp75_1001_pp_c_4lag",".9979193",".8868466"
"sp75_1003_1_pp_c_4lag","1","."
"sp75_1100_2_pp_c_4lag","1.00007",".6994171"
"sp75_1101_20_pp_c_4lag","1.005356",".091937"
"sp75_1102_pp_c_4lag",".9997578",".7213506"
"sp75_1103_4_pp_c_4lag","1.000168",".4851895"
"sp75_1104_pp_c_4lag",".9985791",".1313879"
"sp75_1106_2_pp_c_4lag","1.000514",".6566745"
"sp75_1106_3_pp_c_4lag","1.000186",".6328475"
"sp75_1106_4_pp_c_4lag",".9966459",".1506676"
"sp75_1106_5_pp_c_4lag",".999614",".6303911"
"sp75_1106_6_pp_c_4lag","1","."
"sp75_1106_pp_c_4lag","1.003179",".2416506"
"sp75_1107_14_pp_c_4lag",".9956693",".5464418"
"sp75_1400_1_pp_c_4lag","1","."
"sp75_1400_2_pp_c_4lag",".9967113",".5319235"
"sp75_1400_3_pp_c_4lag","1.001288",".4040552"
"sp75_1400_4_pp_c_4lag",".9983763",".6630584"
"sp75_1400_pp_c_4lag","1.002057",".4779547"
"sp75_1401_1_pp_c_4lag","1","."
"sp75_1401_pp_c_4lag",".9960853",".3366195"
"sp75_1403_10_pp_c_4lag","1.001306",".0651505"
"sp75_1403_11_pp_c_4lag","1","."
"sp75_1403_3_pp_c_4lag","1","."
"sp75_1403_4_pp_c_4lag","1","."
"sp75_1403_5_pp_c_4lag",".9998836",".74962"
"sp75_1403_6_pp_c_4lag",".9994918",".1222555"
"sp75_1403_7_pp_c_4lag","1.000683",".7419901"
"sp75_1403_8_pp_c_4lag",".9996376",".6356643"
"sp75_1403_9_pp_c_4lag","1","."
"sp75_1404_1_pp_c_4lag",".9909475",".128296"
"sp75_1404_pp_c_4lag","1.004677",".6458677"
"sp75_1405_1_pp_c_4lag","1.005877",".2270726"
"sp75_1405_pp_c_4lag","1.000667",".3703101"
"sp75_1431_pp_c_4lag","1","."
"sp75_1432_pp_c_4lag","1.006181",".0693182"
"sp75_1433_pp_c_4lag",".9987785",".6286601"
"sp75_1434_pp_c_4lag",".9962185",".3606702"
"sp75_1435_pp_c_4lag",".9971424",".6011081"
"sp75_1437_pp_c_4lag","1","."
"sp75_150_pp_c_4lag","1.006609",".4194702"
"sp75_151_pp_c_4lag","1.001342",".9050981"
"sp75_153_pp_c_4lag","1.016895",".158944"
"sp75_156_pp_c_4lag",".9997481",".9513027"
"sp75_160_pp_c_4lag","1.000008",".9991339"
"sp75_1600_2_pp_c_4lag",".9990789",".0584554"
"sp75_1712_10_pp_c_4lag",".9986872",".7183281"
"sp75_1712_6_pp_c_4lag","1.000192",".8712149"
"sp75_1720_pp_c_4lag","1.000798",".174781"
"sp75_1721_pp_c_4lag",".9971797",".6926877"
"sp75_1725_pp_c_4lag","1.000192",".0403406"
"sp75_1726_pp_c_4lag","1.002288",".2615983"
"sp75_1727_pp_c_4lag",".996978",".8046357"
"sp75_1728_pp_c_4lag","1.000254",".966992"
"sp75_1729_pp_c_4lag","1.007473",".1879996"
"sp75_1730_pp_c_4lag","1.005186",".1020048"
"sp75_1731_pp_c_4lag",".999824",".0024553"
"sp75_1903_pp_c_4lag","1.00235",".5606854"
"sp75_1909_pp_c_4lag",".9999575",".8100055"
"sp75_1910_pp_c_4lag","1.000013",".9763307"
"sp75_1911_pp_c_4lag","1.00046",".170234"
"sp75_1912_pp_c_4lag",".9991423",".8153032"
"sp75_1913_pp_c_4lag",".9978189",".246965"
"sp75_1914_pp_c_4lag","1.000136",".5905423"
"sp75_1915_pp_c_4lag","1.002404",".4236755"
"sp75_202_pp_c_4lag","1.000062",".152377"
"sp75_208_pp_c_4lag",".9997708",".4910669"
"sp75_211_pp_c_4lag",".9998234",".5679117"
"sp75_212_pp_c_4lag",".998849",".2624988"
"sp75_214_pp_c_4lag","1.000505",".4844922"
"sp75_312_pp_c_4lag",".9998964",".8404502"
"sp75_320_pp_c_4lag",".9993356",".0331809"
"sp75_324_pp_c_4lag",".9995312",".7383472"
"sp75_337_pp_c_4lag",".9995373",".5093583"
"sp75_340_pp_c_4lag",".9996587",".2566565"
"sp75_341_pp_c_4lag",".9809125",".3201648"
"sp75_342_pp_c_4lag",".9998757",".3303362"
"sp75_344_pp_c_4lag",".9969347",".177513"
"sp75_352_pp_c_4lag","1.000653",".6584366"
"sp75_382_pp_c_4lag","1.00102",".5864184"
"sp75_503_pp_c_4lag","1.000083",".1926957"
"sp75_504_pp_c_4lag",".9981108",".2163235"
"sp75_505_pp_c_4lag","1.004627",".0981946"
"sp75_506_1_pp_c_4lag","1.003577",".1819233"
"sp75_506_pp_c_4lag","1.000238",".8792396"
"sp75_507_pp_c_4lag",".9998404",".8588158"
"sp75_511_1_pp_c_4lag",".9859693",".3289676"
"sp75_511_pp_c_4lag",".9990404",".231506"
"sp75_512_1_pp_c_4lag","1.002867",".6840099"
"sp75_512_2_pp_c_4lag","1.000832",".0391081"
"sp75_512_pp_c_4lag",".9999461",".4993738"
"sp75_513_1_pp_c_4lag","1.005224",".0671693"
"sp75_513_pp_c_4lag",".9993193",".616848"
"sp75_514_pp_c_4lag",".999838",".6331156"
"sp75_515_pp_c_4lag",".9993591",".0047256"
"sp75_516_1_pp_c_4lag","1.0031",".4530969"
"sp75_516_2_pp_c_4lag",".9999493",".9454497"
"sp75_516_pp_c_4lag",".9994029",".0761272"
"sp75_517_1_pp_c_4lag","1.006183",".3654405"
"sp75_517_pp_c_4lag",".9998856",".1006967"
"sp75_518_1_pp_c_4lag",".9997391",".4914451"
"sp75_518_pp_c_4lag","1.000291",".3515722"
"sp75_519_pp_c_4lag","1","."
"sp75_520_pp_c_4lag",".999237",".3116821"
"sp75_523_1_pp_c_4lag","1.000511",".3611419"
"sp75_523_2_pp_c_4lag","1.000474",".3250435"
"sp75_523_pp_c_4lag",".99932",".2113252"
"sp75_600_1_pp_c_4lag",".9963014",".069892"
"sp75_600_pp_c_4lag","1.002685",".6612048"
"sp75_601_1_pp_c_4lag",".9996671",".2680852"
"sp75_601_2_pp_c_4lag",".9959859",".5531114"
"sp75_601_3_pp_c_4lag","1.00028",".9615749"
"sp75_601_pp_c_4lag",".99985",".6633511"
"sp75_602_pp_c_4lag",".999518",".6197567"
"sp75_603_pp_c_4lag","1.002358",".0963493"
"sp75_604_pp_c_4lag","1.000152",".2381669"
