"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp",".9990833",".2001292"
"sp47_42_pp",".9984186",".4956041"
"sp47_44_pp",".9996711",".79836"
"sp48_11_pp","1.000869",".2295619"
"sp48_24_pp",".9432479","0"
"sp48_25_pp",".9992962",".6641907"
"sp48_26_pp","1.002877",".0065657"
"sp48_27_pp","1.001236",".131032"
"sp48_28_pp",".9985268",".3117442"
"sp48_4_pp","1.014539","1.36e-11"
"sp48_5_pp","1.00058",".7152068"
"sp48_6_pp","1.000261",".7406924"
"sp48_7_pp",".9999754",".9715337"
"sp48_8_pp",".9997682",".8513766"
"sp71_701_pp",".9982739",".7892071"
"sp72_503_pp",".9973223",".002583"
"sp72_610_pp",".9963793",".21834"
"sp72_620_pp","1.005541",".1760367"
"sp72_630_pp","1.000162",".1072457"
"sp75_100_pp","1.000669",".7080143"
"sp75_1001_1_pp","1.001199",".7805147"
"sp75_1001_pp","1.00161",".7840894"
"sp75_1003_1_pp",".9951331",".1050744"
"sp75_1100_2_pp","1.000158",".1683221"
"sp75_1101_20_pp",".9973294",".2604828"
"sp75_1102_pp",".9992913",".38576"
"sp75_1103_4_pp","1.00007",".6737352"
"sp75_1104_pp",".9998183",".7535112"
"sp75_1106_2_pp",".9995483",".4609477"
"sp75_1106_3_pp","1.000386",".0407209"
"sp75_1106_4_pp","1.000642",".6756423"
"sp75_1106_5_pp","1.000629",".3499676"
"sp75_1106_6_pp",".9991154",".8650884"
"sp75_1106_pp","1.000718",".6051293"
"sp75_1107_14_pp","1.004344",".2581474"
"sp75_1400_1_pp",".998728",".6752562"
"sp75_1400_2_pp",".9985548",".7159932"
"sp75_1400_3_pp","1.000741",".384176"
"sp75_1400_4_pp",".999227",".69649"
"sp75_1400_pp",".9995502",".5300529"
"sp75_1401_1_pp",".9995562",".9539677"
"sp75_1401_pp","1.004212",".3812095"
"sp75_1403_10_pp","1.000386",".0975345"
"sp75_1403_11_pp","1.005174",".0835408"
"sp75_1403_3_pp",".9913698",".034388"
"sp75_1403_4_pp","1.003266",".3029865"
"sp75_1403_5_pp",".9997468",".1651621"
"sp75_1403_6_pp","1.000091",".3980606"
"sp75_1403_7_pp",".9997997",".7502079"
"sp75_1403_8_pp",".9998281",".4052488"
"sp75_1403_9_pp",".9992725",".3077031"
"sp75_1404_1_pp",".9806572",".0075105"
"sp75_1404_pp","1.004167",".4096874"
"sp75_1405_1_pp","1.002432",".4465192"
"sp75_1405_pp",".9999516",".8184612"
"sp75_1431_pp","1.003894",".1017368"
"sp75_1432_pp",".9959812",".023329"
"sp75_1433_pp",".9999627",".9808768"
"sp75_1434_pp","1.002169",".0879562"
"sp75_1435_pp",".9948865",".5037532"
"sp75_1437_pp","1.001824",".6620728"
"sp75_150_pp","1.00254",".2789723"
"sp75_151_pp",".9963054",".2950936"
"sp75_153_pp","1.003709",".0187231"
"sp75_156_pp","1.001024",".7728265"
"sp75_160_pp","1.003394",".5803074"
"sp75_1600_2_pp",".999543",".179888"
"sp75_1712_10_pp",".9996183",".7577353"
"sp75_1712_6_pp",".9998552",".8390488"
"sp75_1720_pp","1.00035",".4814372"
"sp75_1721_pp","1.013707","4.95e-14"
"sp75_1725_pp",".9999921",".8995375"
"sp75_1726_pp",".9999562",".9777607"
"sp75_1727_pp","1","."
"sp75_1728_pp","1.003063",".255865"
"sp75_1729_pp",".9996406",".8613004"
"sp75_1730_pp","1.00041",".7887679"
"sp75_1731_pp",".9999698",".3999447"
"sp75_1903_pp",".9996146",".5263946"
"sp75_1909_pp","1.000015",".8618652"
"sp75_1910_pp","1.000019",".8987976"
"sp75_1911_pp",".999878",".546203"
"sp75_1912_pp",".9988508",".5021928"
"sp75_1913_pp","1.002454",".1912802"
"sp75_1914_pp","1.000165",".1580675"
"sp75_1915_pp","1.002647",".1651938"
"sp75_202_pp","1.000012",".7354137"
"sp75_208_pp","1.00013",".5703356"
"sp75_211_pp","1.000304",".1680509"
"sp75_212_pp",".999412",".3057979"
"sp75_214_pp",".9998122",".7085804"
"sp75_312_pp","1.000002",".9972389"
"sp75_320_pp",".9995504",".1237669"
"sp75_324_pp",".9989964",".1839361"
"sp75_337_pp","1.000198",".5540264"
"sp75_340_pp","1.000043",".8002447"
"sp75_341_pp",".9895113",".355477"
"sp75_342_pp","1.000081",".3305635"
"sp75_344_pp",".9996457",".7915836"
"sp75_352_pp",".9986432",".0813694"
"sp75_382_pp","1.000005",".9945548"
"sp75_503_pp",".9999984",".9720769"
"sp75_504_pp",".9987745",".4106204"
"sp75_505_pp","1.001887",".3271267"
"sp75_506_1_pp","1.003988",".0040287"
"sp75_506_pp",".9987647",".2150053"
"sp75_507_pp",".999963",".9534441"
"sp75_511_1_pp",".9783182",".0004628"
"sp75_511_pp","1.001485",".0326618"
"sp75_512_1_pp","1.006674",".1210886"
"sp75_512_2_pp","1.000111",".5654999"
"sp75_512_pp","1.000048",".4124254"
"sp75_513_1_pp","1.000301",".8860521"
"sp75_513_pp",".9989444",".2161101"
"sp75_514_pp","1.000213",".3326553"
"sp75_515_pp",".99953",".0029926"
"sp75_516_1_pp",".9975181",".1831226"
"sp75_516_2_pp","1.000542",".1355681"
"sp75_516_pp",".9998011",".4491249"
"sp75_517_1_pp","1.001069",".5946577"
"sp75_517_pp",".9999811",".7090192"
"sp75_518_1_pp",".9999616",".8885958"
"sp75_518_pp","1.000126",".4666276"
"sp75_519_pp","1.000637",".9009986"
"sp75_520_pp","1.000544",".1963462"
"sp75_523_1_pp",".9997404",".6187508"
"sp75_523_2_pp","1.000368",".3592198"
"sp75_523_pp",".9992971",".2580657"
"sp75_600_1_pp",".9971287",".0928254"
"sp75_600_pp",".9990362",".8421743"
"sp75_601_1_pp",".9999944",".9781647"
"sp75_601_2_pp",".9994341",".8454481"
"sp75_601_3_pp",".9990067",".563257"
"sp75_601_pp","1.000486",".0360954"
"sp75_602_pp",".9996948",".6488604"
"sp75_603_pp",".9989718",".2308175"
"sp75_604_pp","1.000169",".0193189"
"sp75_605_pp","1.00004",".9032616"
"sp75_606_pp",".9999976",".9841888"
"sp75_607_pp",".999734",".6697554"
"sp75_700_1_pp",".9942481",".0635075"
"sp75_700_pp",".9989514",".2057638"
"sp75_701_1_pp",".9983313",".0504411"
"sp75_701_2_pp","1.000999",".3752489"
"sp75_701_3_pp","1.002324",".0418467"
"sp75_701_4_pp","1.004281",".2477264"
"sp75_701_5_pp",".9969279",".0105502"
"sp75_701_pp","1.000091",".585028"
"sp75_702_1_pp",".9977816",".3371441"
"sp75_702_pp",".9921901",".468728"
"sp75_703_1_pp",".9910679",".1146079"
"sp75_703_2_pp",".9978349",".5318619"
"sp75_703_3_pp","1.00027",".7812006"
"sp75_703_4_pp",".6503517","0"
"sp75_703_pp","1.000547",".1929099"
"sp75_704_pp","1.000715",".7073438"
"sp75_705_1_pp",".9996048",".7310698"
"sp75_705_3_pp",".9949128",".3020872"
"sp75_705_8_pp",".9977182",".6456999"
"sp75_705_pp","1.005248",".0105851"
"sp75_706_pp",".999113",".4489732"
"sp75_800_2_pp",".4750577","0"
"sp75_800_3_pp",".9997908",".9030847"
"sp75_800_4_pp","1.001874",".209999"
"sp75_800_pp",".9983278",".1244453"
"sp75_801_pp",".997006",".4411823"
"sp75_802_pp","1.000663",".7568912"
"sp75_803_2_pp","1.003027",".1833304"
"sp75_803_pp","1.000656",".5600133"
"sp75_804_pp",".9998357",".7906361"
"sp75_805_pp",".9998305",".9410226"
"sp75_806_pp",".9873768",".0003707"
"sp75_807_pp","1.000122",".3913548"
"sp75_808_pp",".9991278",".3659004"
"sp75_809_pp",".9999833",".974173"
"sp75_810_pp","1.000887",".2335461"
"sp75_811_pp",".9994444",".3742908"
"sp75_812_pp",".9971966",".1301089"
"sp75_814_pp","1.000898",".6465475"
"sp75_815_pp","1.002166",".0478673"
"sp75_816_pp",".9997605",".5358694"
"sp75_818_pp","1.000569",".8365148"
"sp75_820_pp","1.001138",".31059"
"sp75_821_pp","1.001189",".0507232"
"sp75_825_pp","1.000221",".8863563"
"sp75_827_pp","1.003296",".1101151"
"sp75_831_pp",".9963136",".4194246"
"sp75_832_pp",".9906601",".429924"
"sp75_834_pp",".3944493","0"
"sp75_900_2_pp",".9997412",".9146933"
"sp75_900_3_pp",".9999488",".9648199"
"sp75_900_4_pp",".9997823",".6057299"
"sp75_900_pp","1.000205",".5279717"
"sp75_901_pp",".9991031",".5110747"
"sp75_902_1_pp","1.00223",".4349685"
"sp75_902_2_pp","1.000614",".5068262"
"sp75_902_4_pp","1.000051",".9459728"
"sp75_902_pp","1.000542",".1533849"
