"","est1",""
"","b","p"
"MR","",""
"sp47_41",".9648625",".3497396"
"sp48_11",".9916179",".8560328"
"sp71_701","2.022355",".0715927"
"sp75_1001",".6927723",".1396347"
"sp75_1001_1",".9796988",".8849343"
"sp75_1003_1",".8824586",".4748306"
"sp75_1400_1",".9077262",".7396311"
"sp75_1401","1.054566",".7779719"
"sp75_1401_1",".9327874",".8350791"
"sp75_1403_11","1.955738",".0049725"
"sp75_1404_1",".6944484",".3702701"
"sp75_1405_1","1.3182",".0408091"
"sp75_1431","1.356742",".1897565"
"sp75_151","1.910917",".1129317"
"sp75_1721",".5310427",".4566927"
"sp75_1731","1.000159",".9472777"
"sp75_1911",".9982499",".8467761"
"sp75_211","1.006526",".6956386"
"sp75_341","1.018647",".9482636"
"sp75_506_1","1.232265",".0005005"
"sp75_510_1","1.578508",".396467"
"sp75_511","1.035259",".3778051"
"sp75_511_1",".2719069",".0000539"
"sp75_512_1","1.352604",".1449789"
"sp75_513_1","1.086781",".3403664"
"sp75_516_1",".9457904",".6326491"
"sp75_517_1","1.044966",".6718866"
"sp75_518_1","1.000255",".9861712"
"sp75_523_1",".9979378",".9344852"
"sp75_600_1",".9523496",".7504432"
"sp75_601","1.022303",".106271"
"sp75_601_1","1.006465",".5882635"
"sp75_700_1",".8786443",".2866902"
"sp75_701","1.016109",".0986681"
"sp75_701_1",".9128605",".0109459"
"sp75_702_1",".9188404",".5138797"
"sp75_703_1",".6880237",".1924778"
"sp75_705_1",".891052",".2596954"
"sp75_801",".7862871",".3223413"
"sp75_811",".9894949",".7638857"
"sp75_821","1.137919",".0043504"
"sp75_831",".7702474",".4492404"
"sp75_901","1.070482",".3514777"
"sp75_902_1","1.263228",".0837803"
"sp77_1111",".9837027",".9101661"
"sp77_401","1.073222",".2156342"
"sp77_403_1","1.053736",".5781521"
"sp77_411",".8957925",".8245523"
"sp77_501",".9317678",".3807062"
"sp77_502_1","1.034674",".9525388"
"sp77_503_1","1.027016",".8996659"
"sp77_506_1","1.010787",".7473006"
"sp77_508_1","1.022377",".8688282"
"sp77_511",".8676171",".3195206"
"sp77_601",".8798164",".3570786"
"sp77_606_1",".5693174",".0175073"
"sp77_700_1","1.286919",".1969798"
"sp77_701","1.008459",".7551659"
"sp77_701_1",".8600125",".2931538"
"sp77_704_1","1.11072",".5184289"
"sp77_800_1","1.105944",".4396451"
"sp77_801",".7122953",".2979065"
"sp77_801_1","1.28e-09","0"
"sp77_807_1",".71382",".2207066"
"sp77_900_1","1.657905",".0503939"
"sp77_901","1.016788",".8768461"
"sp77_901_1",".4287293",".0033972"
"sp47_42",".7988733",".0353637"
"sp75_1100_2","1.005591",".299902"
"sp75_1102","1.006105",".8791223"
"sp75_1106_2","1.021329",".5437749"
"sp75_1400_2","1.152028",".2390747"
"sp75_1402_2",".9844812",".9568937"
"sp75_1432",".899765",".3635134"
"sp75_1600_2",".9928663",".7094466"
"sp75_1912",".9011288",".1711664"
"sp75_202","1.002048",".3376652"
"sp75_212",".9496597",".021812"
"sp75_312","1.03957",".1268563"
"sp75_342","1.003202",".5732391"
"sp75_352",".943407",".1738599"
"sp75_382","1.012816",".7668177"
"sp75_512","1.000098",".9769245"
"sp75_512_2","1.008559",".5021502"
"sp75_516_2","1.049107",".0107611"
"sp75_523_2",".9920685",".7055463"
