"","est1",""
"","b","p"
"dv_indicator","",""
"p47_ss",".9421291",".929075"
"p48_ss","1.04121",".6331951"
"p71_ss",".2985521",".0030258"
"p72_ss",".9177145",".7447266"
"p75_ss","1.018078","1.30e-06"
"p77_ss","1.117174",".0709546"
"mine_time",".9985107",".4886909"
"onsite_insp_hours","1.000817",".0028579"
"longwall","1.071306",".5716521"
"1.state","1.879296",".0053902"
"2.state","2.17646","0"
"3.state",".8536882",".4369709"
"4.state","1.629198",".0001887"
"5.state","1.157728",".5001664"
"6.state","1","."
"7.state","1.175619",".5588393"
"8.state",".7340843",".00615"
"9.state","1.270689",".0317318"
"10.state",".9584793",".8568599"
"11.state","1.038869",".8866625"
"12.state","1.292848",".0130918"
"13.state","1.609473",".0017294"
"14.state",".6304525",".039926"
"15.state",".7415571",".0002185"
"16.state","1.233684",".0002919"
"17.state","2.7852","3.33e-15"
"1.time","1.197641",".2589459"
"2.time","1.13321",".4262423"
"3.time","1.637127",".0017113"
"4.time",".9612083",".8086675"
"5.time","1.059319",".7145658"
"6.time","1","."
"7.time","1.302812",".1052193"
"8.time","1.179456",".2972874"
"9.time","1.054653",".7522201"
"10.time",".8557335",".347476"
"11.time","1.186201",".299539"
"12.time","1.143013",".4313017"
"13.time",".9866322",".9384118"
"14.time",".9578482",".8100467"
"15.time","1.22931",".2271564"
"16.time",".8245414",".2650391"
"17.time",".950466",".7669527"
"18.time",".9423878",".7143403"
"19.time",".8399368",".3306551"
"20.time",".7540085",".1121679"
"21.time",".7022257",".0422943"
"22.time",".9224126",".6280868"
"23.time",".8122452",".212424"
"24.time",".6410798",".0104154"
"25.time",".9292857",".6599861"
"26.time",".7320718",".0600771"
"27.time",".8250857",".2555266"
"28.time",".7581871",".1245706"
"29.time",".7040549",".0412128"
"30.time",".6412545",".0105981"
"31.time",".8088737",".2238236"
"32.time",".7754432",".1458446"
"33.time",".60207",".0038758"
"34.time",".6707615",".0219323"
"35.time",".6616347",".0171737"
"36.time",".5106618",".0001922"
"37.time",".5172856",".0002046"
"38.time",".4902317",".0000441"
"39.time",".5699486",".0013171"
"40.time",".4458285",".00001"
"41.time",".4799326",".0001039"
"42.time",".499814",".0001131"
"43.time",".6133002",".0076168"
"44.time",".4742416",".0000398"
"45.time",".6047637",".0063982"
"46.time",".6221381",".0079597"
"47.time",".6954437",".0408827"
"48.time",".4656716",".0000436"
"49.time",".6363413",".0125305"
"50.time",".58581",".00396"
"51.time",".684026",".0435398"
"52.time",".4402711",".0000258"
"53.time",".4429496",".0000206"
"54.time",".3805103","1.21e-06"
"55.time",".4685868",".000148"
"56.time",".5032644",".0008359"
"57.time",".3214002","4.80e-08"
"58.time",".4172016",".0000246"
"59.time",".4672815",".0001392"
"60.time",".4818526",".0003123"
"61.time",".4731373",".0005614"
"62.time",".4504414",".0002203"
"63.time",".6501748",".0454483"
"64.time",".314635","5.41e-07"
"N","28089",""
