"","est1",""
"","b","p"
"dv_indicator","",""
"p47_c_4lag","1.045833",".634453"
"p48_c_4lag",".9979698",".8447517"
"p71_c_4lag",".9921434",".9355618"
"p72_c_4lag",".9698324",".4898808"
"p75_c_4lag","1.002463","2.31e-06"
"p77_c_4lag",".9931464",".5500982"
"mine_time",".9966774",".1672107"
"onsite_insp_hours","1.000474",".0853533"
"longwall","1.021143",".8698434"
"1.state","1.91821",".007744"
"2.state","2.411467","0"
"3.state",".8394454",".4613945"
"4.state","1.559409",".0001007"
"5.state","1.067735",".7806555"
"6.state","1","."
"7.state","1.20943",".5047026"
"8.state",".9089687",".469906"
"9.state","1.364806",".0196329"
"10.state",".931008",".7744993"
"11.state","1.083304",".7887218"
"12.state","1.325502",".0132995"
"13.state","1.518207",".0087323"
"14.state",".6758366",".0762191"
"15.state",".7185834",".0001172"
"16.state","1.217462",".0024475"
"17.state","2.845738","5.00e-13"
"4.time","1.811399",".0032737"
"5.time","2.059788",".0001845"
"6.time","1.85897",".0014138"
"7.time","2.171149",".000023"
"8.time","2.469528","2.91e-06"
"9.time","1.990571",".000427"
"10.time","1.591447",".0163268"
"11.time","2.223547",".0000351"
"12.time","2.217699",".0000388"
"13.time","1.957652",".0008123"
"14.time","1.973393",".0009474"
"15.time","2.404948","2.82e-06"
"16.time","1.655013",".008992"
"17.time","1.802641",".0024055"
"18.time","1.886705",".0008606"
"19.time","1.623546",".012509"
"20.time","1.476862",".048902"
"21.time","1.354519",".1330722"
"22.time","1.67045",".0081275"
"23.time","1.594867",".0127818"
"24.time","1.253767",".2567528"
"25.time","1.779319",".0027186"
"26.time","1.373306",".095455"
"27.time","1.680562",".0055143"
"28.time","1.390602",".0794472"
"29.time","1.33137",".1257469"
"30.time","1.238876",".271665"
"31.time","1.506426",".0284131"
"32.time","1.518311",".0241881"
"33.time","1.047863",".796816"
"34.time","1.226169",".3142645"
"35.time","1.333322",".1268268"
"36.time","1","."
"37.time",".8928131",".5417174"
"38.time",".8554563",".4171556"
"39.time","1.057435",".7691179"
"40.time",".7904061",".2435911"
"41.time",".8454763",".3732992"
"42.time",".9439906",".766768"
"43.time","1.123164",".5630355"
"44.time",".7993629",".242209"
"45.time",".9879528",".9481842"
"46.time","1.06037",".7530791"
"47.time","1.284251",".1780151"
"48.time",".8091301",".2596486"
"49.time","1.147466",".4493295"
"50.time","1.077366",".7012121"
"51.time","1.349252",".1282594"
"52.time",".8174521",".3215308"
"53.time",".8329599",".3536563"
"54.time",".6750282",".0543791"
"55.time",".92223",".6976598"
"56.time",".9065221",".6456173"
"57.time",".6196964",".0196189"
"58.time",".76437",".2127198"
"59.time",".9042906",".6195795"
"60.time",".877957",".5293193"
"61.time",".808036",".3153136"
"62.time",".7972694",".3062733"
"63.time","1.179795",".4394756"
"64.time",".5528436",".0116468"
"N","22214",""
