"","est1",""
"","b","p"
"dv","",""
"p47_ss_1lag","1.366621",".2137347"
"p48_ss_1lag","1.00028",".9950284"
"p71_ss_1lag",".9230116",".7121165"
"p72_ss_1lag","1.082196",".6745115"
"p75_ss_1lag","1.006621",".0003243"
"p77_ss_1lag","1.055028",".0533291"
"mine_time",".999088",".634274"
"onsite_insp_hours",".9998345",".2090973"
"longwall",".8352008",".0176787"
"1.state","1.21701",".0459932"
"2.state","2.053053","0"
"3.state",".8285295",".2765092"
"4.state","1.254338",".0175697"
"5.state",".9353249",".6643987"
"6.state","1","."
"7.state","1.055949",".7675552"
"8.state","1.02356",".7699404"
"9.state",".9117539",".2304793"
"10.state","1.189307",".2675389"
"11.state",".9135033",".7154613"
"12.state",".9926796",".9372144"
"13.state","1.252797",".09188"
"14.state",".6965985",".007229"
"15.state",".7022215",".0000148"
"16.state","1.063884",".2413993"
"17.state","1.278022",".0039131"
"2.time","1.002327",".9830952"
"3.time","1.186867",".0861821"
"4.time",".8871409",".2474425"
"5.time",".8866285",".2150489"
"6.time",".8127691",".0433334"
"7.time","1","."
"8.time",".8443192",".0666362"
"9.time",".8799405",".1701748"
"10.time",".8012516",".0361656"
"11.time",".9971259",".9761184"
"12.time",".9153798",".3924459"
"13.time",".7368573",".0047734"
"14.time",".8352524",".0968476"
"15.time",".9143688",".3945752"
"16.time",".6609079",".0000701"
"17.time",".8537444",".1607089"
"18.time",".7971613",".0267338"
"19.time",".7977172",".0324934"
"20.time",".7106747",".0031595"
"21.time",".6253173","6.94e-06"
"22.time",".7861861",".0184144"
"23.time",".6923933",".0005934"
"24.time",".6497325",".0001239"
"25.time",".6747642",".0003163"
"26.time",".6718847",".0008805"
"27.time",".7277799",".0050625"
"28.time",".5980489",".0000168"
"29.time",".6191671",".0000125"
"30.time",".6023467",".0000351"
"31.time",".6536234",".0000693"
"32.time",".6383473",".0000739"
"33.time",".5329796","8.45e-08"
"34.time",".5548745","9.11e-08"
"35.time",".6415522",".0000739"
"36.time",".5099194","5.79e-09"
"37.time",".5074319","6.04e-09"
"38.time",".4777693","5.03e-10"
"39.time",".5865873",".0000156"
"40.time",".435783","2.11e-12"
"41.time",".467122","2.28e-09"
"42.time",".4857204","8.38e-09"
"43.time",".5739334","4.48e-06"
"44.time",".4470214","4.69e-11"
"45.time",".5281957","2.39e-07"
"46.time",".5110404","1.24e-08"
"47.time",".576238","1.89e-06"
"48.time",".4678779","3.62e-10"
"49.time",".5829456","4.12e-06"
"50.time",".5061402","7.39e-10"
"51.time",".5710885","3.85e-06"
"52.time",".468367","1.11e-09"
"53.time",".4951922","1.22e-08"
"54.time",".4249269","6.95e-10"
"55.time",".5568032","3.95e-06"
"56.time",".4611078","3.05e-09"
"57.time",".4243914","4.73e-10"
"58.time",".4775618","2.93e-08"
"59.time",".4976462","2.42e-08"
"60.time",".4938469","2.83e-08"
"61.time",".4598983","1.58e-08"
"62.time",".4890168","1.05e-06"
"63.time",".632693",".0009582"
"64.time",".3770657","2.36e-10"
"N","25867",""
