"","est1",""
"","b","p"
"dv","",""
"p47_1lag","1.071313",".5314293"
"p48_1lag",".9901306",".5791967"
"p71_1lag","1.042934",".5096288"
"p72_1lag",".9867681",".7591005"
"p75_1lag","1.002821",".0003235"
"p77_1lag",".9943658",".5732616"
"mine_time",".9988479",".54579"
"onsite_insp_hours",".9997538",".0748023"
"longwall",".8314138",".0143928"
"1.state","1.238503",".0281827"
"2.state","2.126316","0"
"3.state",".8254916",".2704277"
"4.state","1.223086",".0317908"
"5.state",".9200252",".5926104"
"6.state","1","."
"7.state","1.055134",".7704325"
"8.state","1.053796",".5169699"
"9.state",".9143451",".2460051"
"10.state","1.197275",".2483906"
"11.state",".9255334",".7534213"
"12.state","1.018951",".8383786"
"13.state","1.264713",".0816852"
"14.state",".7106106",".0091763"
"15.state",".7108068",".0000118"
"16.state","1.061737",".2561093"
"17.state","1.28329",".0037856"
"2.time","1.001457",".9893966"
"3.time","1.189319",".0823523"
"4.time",".8862903",".2457202"
"5.time",".8900818",".2321172"
"6.time",".8130588",".0432985"
"7.time","1","."
"8.time",".8455147",".069073"
"9.time",".8875942",".2012628"
"10.time",".8010927",".0357405"
"11.time",".9999332",".9994514"
"12.time",".9172805",".4056728"
"13.time",".7386892",".0049629"
"14.time",".8353041",".096274"
"15.time",".9164541",".4054512"
"16.time",".6628047",".0000724"
"17.time",".8606965",".1837995"
"18.time",".8025001",".0321331"
"19.time",".8089444",".0457541"
"20.time",".7192838",".0044407"
"21.time",".6301862","7.72e-06"
"22.time",".7935205",".0217828"
"23.time",".6987694",".0007466"
"24.time",".6545401",".0001485"
"25.time",".6835764",".0004791"
"26.time",".6799047",".0010409"
"27.time",".7397804",".0079374"
"28.time",".600483",".0000205"
"29.time",".6228787",".0000182"
"30.time",".6087452",".0000545"
"31.time",".6486848",".0000679"
"32.time",".645305",".0001086"
"33.time",".5290686","8.78e-08"
"34.time",".5465768","5.56e-08"
"35.time",".6323473",".0000464"
"36.time",".5061793","4.23e-09"
"37.time",".5067134","5.74e-09"
"38.time",".4673131","1.50e-10"
"39.time",".5800035",".000011"
"40.time",".4284799","6.10e-13"
"41.time",".4646139","1.97e-09"
"42.time",".478694","3.71e-09"
"43.time",".5674708","2.45e-06"
"44.time",".445862","3.84e-11"
"45.time",".5267918","1.70e-07"
"46.time",".504241","6.64e-09"
"47.time",".5739729","1.52e-06"
"48.time",".4655708","2.91e-10"
"49.time",".5789091","3.03e-06"
"50.time",".4998453","5.23e-10"
"51.time",".5653648","2.27e-06"
"52.time",".4663648","7.07e-10"
"53.time",".4921607","9.06e-09"
"54.time",".4215644","4.57e-10"
"55.time",".5548043","4.51e-06"
"56.time",".4558534","1.68e-09"
"57.time",".4290089","9.17e-10"
"58.time",".4724471","1.83e-08"
"59.time",".4918792","1.35e-08"
"60.time",".4920966","2.50e-08"
"61.time",".4524025","7.79e-09"
"62.time",".4811686","6.05e-07"
"63.time",".6251528",".0005857"
"64.time",".3759334","2.16e-10"
"N","25867",""
