"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_pp_c_lag_all","1.003364",".0195958"
"sp47_42_pp_c_lag_all",".991801",".0422023"
"sp47_44_pp_c_lag_all","1.000075",".9729063"
"sp48_11_pp_c_lag_all","1.001653",".367319"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all",".9955092",".0742232"
"sp48_26_pp_c_lag_all","1.004439",".105151"
"sp48_27_pp_c_lag_all","1.001521",".4919807"
"sp48_28_pp_c_lag_all",".9935087",".0232514"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.000712",".8363085"
"sp48_6_pp_c_lag_all","1.0004",".7533278"
"sp48_7_pp_c_lag_all","1.000404",".758036"
"sp48_8_pp_c_lag_all",".9941476",".0651127"
"sp71_701_pp_c_lag_all","1","."
"sp72_503_pp_c_lag_all",".9951115",".0102062"
"sp72_610_pp_c_lag_all","1","."
"sp72_620_pp_c_lag_all",".9932458",".5435302"
"sp72_630_pp_c_lag_all",".9998845",".5529688"
"sp75_100_pp_c_lag_all","1.004563",".4281386"
"sp75_1001_1_pp_c_lag_all","1.011344",".3295687"
"sp75_1001_pp_c_lag_all","1.04754",".210802"
"sp75_1003_1_pp_c_lag_all",".9985563",".8424882"
"sp75_1100_2_pp_c_lag_all","1.000342",".0728098"
"sp75_1101_20_pp_c_lag_all",".9905076",".0872978"
"sp75_1102_pp_c_lag_all","1.001279",".2491253"
"sp75_1103_4_pp_c_lag_all",".9997148",".3040121"
"sp75_1104_pp_c_lag_all",".99546",".0011935"
"sp75_1106_2_pp_c_lag_all",".9984447",".1787416"
"sp75_1106_3_pp_c_lag_all",".9993967",".1123907"
"sp75_1106_4_pp_c_lag_all",".9990919",".7657123"
"sp75_1106_5_pp_c_lag_all",".99797",".0472218"
"sp75_1106_6_pp_c_lag_all","1.024475",".1046082"
"sp75_1106_pp_c_lag_all","1.006208",".0492436"
"sp75_1107_14_pp_c_lag_all","1.027948",".041068"
"sp75_1400_1_pp_c_lag_all",".9935694",".2720599"
"sp75_1400_2_pp_c_lag_all","1.004029",".6643765"
"sp75_1400_3_pp_c_lag_all","1.000593",".76012"
"sp75_1400_4_pp_c_lag_all",".9894589",".0315513"
"sp75_1400_pp_c_lag_all","1.001296",".4720133"
"sp75_1401_1_pp_c_lag_all","1","."
"sp75_1401_pp_c_lag_all",".9995666",".976736"
"sp75_1403_10_pp_c_lag_all","1.002061",".0000689"
"sp75_1403_11_pp_c_lag_all","1.005346",".6804085"
"sp75_1403_3_pp_c_lag_all",".9482618",".1308883"
"sp75_1403_4_pp_c_lag_all","1.06311",".1342503"
"sp75_1403_5_pp_c_lag_all",".9998471",".6345446"
"sp75_1403_6_pp_c_lag_all",".9994046",".0029904"
"sp75_1403_7_pp_c_lag_all",".9994399",".6813508"
"sp75_1403_8_pp_c_lag_all",".9997573",".512403"
"sp75_1403_9_pp_c_lag_all",".998281",".4908926"
"sp75_1404_1_pp_c_lag_all",".9619409",".0010962"
"sp75_1404_pp_c_lag_all",".9993022",".8888447"
"sp75_1405_1_pp_c_lag_all",".9961253",".9185203"
"sp75_1405_pp_c_lag_all","1.000166",".7899906"
"sp75_1431_pp_c_lag_all",".9007031",".0732572"
"sp75_1432_pp_c_lag_all",".9933635",".1723375"
"sp75_1433_pp_c_lag_all","1.001334",".6376665"
"sp75_1434_pp_c_lag_all","1.001911",".441853"
"sp75_1435_pp_c_lag_all",".9845397",".2801346"
"sp75_1437_pp_c_lag_all",".9906946",".2085512"
"sp75_150_pp_c_lag_all","1.008203",".0572471"
"sp75_151_pp_c_lag_all","1.00048",".9376433"
"sp75_153_pp_c_lag_all","1.010385",".146948"
"sp75_156_pp_c_lag_all",".9888819",".2539615"
"sp75_160_pp_c_lag_all",".987191",".2063122"
"sp75_1600_2_pp_c_lag_all",".9992132",".1212849"
"sp75_1712_10_pp_c_lag_all","1.000852",".6959396"
"sp75_1712_6_pp_c_lag_all","1.00214",".1509997"
"sp75_1720_pp_c_lag_all",".9983746",".0679501"
"sp75_1721_pp_c_lag_all","1","."
"sp75_1725_pp_c_lag_all","1.00013",".1066067"
"sp75_1726_pp_c_lag_all","1.009033","8.52e-06"
"sp75_1727_pp_c_lag_all","1","."
"sp75_1728_pp_c_lag_all","1.004919",".5883525"
"sp75_1729_pp_c_lag_all",".9943495",".1887128"
"sp75_1730_pp_c_lag_all","1.00214",".6046285"
"sp75_1731_pp_c_lag_all","1.00006",".2951551"
"sp75_1903_pp_c_lag_all","1.002393",".0434976"
"sp75_1909_pp_c_lag_all",".9997095",".0489041"
"sp75_1910_pp_c_lag_all","1.000937",".0002591"
"sp75_1911_pp_c_lag_all","1.000096",".7802894"
"sp75_1912_pp_c_lag_all","1.00034",".9057158"
"sp75_1913_pp_c_lag_all","1.002595",".4473961"
"sp75_1914_pp_c_lag_all",".9996221",".0218394"
"sp75_1915_pp_c_lag_all",".9967393",".2785235"
"sp75_202_pp_c_lag_all",".999982",".6403331"
"sp75_208_pp_c_lag_all",".9997529",".5387071"
"sp75_211_pp_c_lag_all","1.000403",".1985672"
"sp75_212_pp_c_lag_all",".9982537",".1036597"
"sp75_214_pp_c_lag_all",".9987175",".1029986"
"sp75_312_pp_c_lag_all",".9996766",".6200253"
"sp75_320_pp_c_lag_all",".9995642",".3064064"
"sp75_324_pp_c_lag_all",".9981154",".2615003"
"sp75_337_pp_c_lag_all","1.001272",".1192789"
"sp75_340_pp_c_lag_all","1.000782",".0051724"
"sp75_341_pp_c_lag_all","1.027052",".251282"
"sp75_342_pp_c_lag_all",".9997534",".0837302"
"sp75_344_pp_c_lag_all",".9991614",".8200343"
"sp75_352_pp_c_lag_all","1.001362",".4479132"
"sp75_382_pp_c_lag_all",".9974374",".1531885"
"sp75_503_pp_c_lag_all","1.000098",".047316"
"sp75_504_pp_c_lag_all",".9985742",".4574363"
"sp75_505_pp_c_lag_all","1.00475",".1770606"
"sp75_506_1_pp_c_lag_all","1.000229",".9494594"
"sp75_506_pp_c_lag_all",".9990675",".6399835"
"sp75_507_pp_c_lag_all","1.000425",".6867311"
"sp75_511_1_pp_c_lag_all","1.058943",".0022131"
"sp75_511_pp_c_lag_all","1.001287",".333668"
"sp75_512_1_pp_c_lag_all","1.006819",".5193142"
"sp75_512_2_pp_c_lag_all","1.000413",".2290132"
"sp75_512_pp_c_lag_all","1.000046",".6470185"
"sp75_513_1_pp_c_lag_all","1.000461",".8847343"
"sp75_513_pp_c_lag_all",".9959507",".0072539"
"sp75_514_pp_c_lag_all","1.00041",".2684435"
"sp75_515_pp_c_lag_all",".9991711",".0031337"
"sp75_516_1_pp_c_lag_all","1.003665",".6354506"
"sp75_516_2_pp_c_lag_all","1.000232",".7607776"
"sp75_516_pp_c_lag_all",".9995484",".2368977"
"sp75_517_1_pp_c_lag_all","1.001303",".8224373"
"sp75_517_pp_c_lag_all",".9999355",".2416069"
"sp75_518_1_pp_c_lag_all","1.00006",".9259338"
"sp75_518_pp_c_lag_all",".999513",".2331368"
"sp75_519_pp_c_lag_all",".9725683",".4540174"
"sp75_520_pp_c_lag_all","1.00048",".5763731"
"sp75_523_1_pp_c_lag_all",".9986716",".12231"
"sp75_523_2_pp_c_lag_all",".9994278",".4022182"
"sp75_523_pp_c_lag_all",".9983774",".0392271"
"sp75_600_1_pp_c_lag_all",".9816378",".0312612"
"sp75_600_pp_c_lag_all",".9798756",".0154016"
