"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_ss_c_4lag",".6801093",".3714221"
"sp47_44_ss_c_4lag",".0000425","0"
"sp48_11_ss_c_4lag","1.131675",".3957735"
"sp48_25_ss_c_4lag",".7968482",".0284769"
"sp48_26_ss_c_4lag","1.375985",".0000427"
"sp48_27_ss_c_4lag",".8967627",".4701865"
"sp48_28_ss_c_4lag",".7946904",".1899442"
"sp48_4_ss_c_4lag","1.445864",".6835801"
"sp48_5_ss_c_4lag",".8187354",".3365601"
"sp48_6_ss_c_4lag",".7817683",".0622005"
"sp48_7_ss_c_4lag","1.084859",".4483241"
"sp48_8_ss_c_4lag","1.130442",".5736265"
"sp71_701_ss_c_4lag","2.250031",".0107397"
"sp72_503_ss_c_4lag",".6575861",".0939073"
"sp72_610_ss_c_4lag",".9090415",".7859515"
"sp72_620_ss_c_4lag","1.233134",".4981782"
"sp72_630_ss_c_4lag","1.037878",".0374212"
"sp75_100_ss_c_4lag",".8115627",".5694574"
"sp75_1001_1_ss_c_4lag",".2950946",".3796921"
"sp75_1001_ss_c_4lag","1.519102",".4758508"
"sp75_1003_1_ss_c_4lag",".9387253",".9362141"
"sp75_1100_2_ss_c_4lag","1.031558",".2269464"
"sp75_1101_20_ss_c_4lag",".8005223",".2293405"
"sp75_1102_ss_c_4lag",".8038232",".0201099"
"sp75_1103_4_ss_c_4lag","1.091053",".1232604"
"sp75_1104_ss_c_4lag",".8496117",".5494443"
"sp75_1106_2_ss_c_4lag",".9593063",".624914"
"sp75_1106_3_ss_c_4lag","1.081229",".1023733"
"sp75_1106_4_ss_c_4lag",".8487378",".6052918"
"sp75_1106_5_ss_c_4lag",".7176431",".0123455"
"sp75_1106_6_ss_c_4lag",".5246007",".2711514"
"sp75_1106_ss_c_4lag","1.183804",".3086532"
"sp75_1107_14_ss_c_4lag",".9560742",".9197255"
"sp75_1400_1_ss_c_4lag","1.069614",".8477594"
"sp75_1400_2_ss_c_4lag","1","."
"sp75_1400_3_ss_c_4lag","1.043188",".8488064"
"sp75_1400_4_ss_c_4lag","1","."
"sp75_1400_ss_c_4lag","1.11637",".3351968"
"sp75_1401_ss_c_4lag","1.322717",".4741354"
"sp75_1403_10_ss_c_4lag","1.081228",".1266973"
"sp75_1403_11_ss_c_4lag","1","."
"sp75_1403_3_ss_c_4lag","1","."
"sp75_1403_4_ss_c_4lag","1","."
"sp75_1403_5_ss_c_4lag",".9611954",".0854525"
"sp75_1403_6_ss_c_4lag",".9821723",".5649004"
"sp75_1403_7_ss_c_4lag",".960398",".6953087"
"sp75_1403_8_ss_c_4lag","1.019647",".6174776"
"sp75_1403_9_ss_c_4lag","1.096517",".7050456"
"sp75_1404_1_ss_c_4lag",".4184731",".1462438"
"sp75_1404_ss_c_4lag","1.461032",".4159318"
"sp75_1405_1_ss_c_4lag","4.661021","3.11e-07"
"sp75_1405_ss_c_4lag",".9584779",".201844"
"sp75_1431_ss_c_4lag","1.71455",".3805016"
"sp75_1432_ss_c_4lag","1","."
"sp75_1433_ss_c_4lag",".8923703",".6840151"
"sp75_1434_ss_c_4lag","1.128848",".6340932"
"sp75_1435_ss_c_4lag",".8300295",".8390225"
"sp75_1437_ss_c_4lag","1.481448",".413284"
"sp75_150_ss_c_4lag","2.844846",".1431373"
"sp75_151_ss_c_4lag",".131312",".0013751"
"sp75_153_ss_c_4lag","1","."
"sp75_155_ss_c_4lag","1","."
"sp75_156_ss_c_4lag","1.016184",".9687885"
"sp75_1600_2_ss_c_4lag",".748583",".1972543"
"sp75_1712_10_ss_c_4lag",".827301",".6937368"
"sp75_1712_6_ss_c_4lag","3.918707",".0014628"
"sp75_1720_ss_c_4lag","1.064536",".2413918"
"sp75_1721_ss_c_4lag","1","."
"sp75_1725_ss_c_4lag","1.010436",".1881131"
"sp75_1726_ss_c_4lag","1.450416",".0409617"
"sp75_1727_ss_c_4lag","2.769524",".0052258"
"sp75_1728_ss_c_4lag","2.032234",".1360114"
"sp75_1729_ss_c_4lag","1.029089",".8883894"
"sp75_1730_ss_c_4lag",".560755",".0558119"
"sp75_1731_ss_c_4lag",".9925187",".366082"
"sp75_1903_ss_c_4lag","1.869683",".1114552"
"sp75_1909_ss_c_4lag","1.06293",".0824768"
"sp75_1910_ss_c_4lag",".9806932",".6758811"
"sp75_1911_ss_c_4lag",".9096859",".1937532"
"sp75_1912_ss_c_4lag","2.164342",".0142499"
"sp75_1913_ss_c_4lag","1.31449",".072391"
"sp75_1914_ss_c_4lag","1.001257",".9669226"
"sp75_1915_ss_c_4lag","2.085448",".0542065"
"sp75_202_ss_c_4lag","1.003356",".4689675"
"sp75_208_ss_c_4lag",".997188",".9304957"
"sp75_211_ss_c_4lag",".9882593",".7325031"
"sp75_212_ss_c_4lag",".8640785",".0431098"
"sp75_214_ss_c_4lag",".8428387",".3849119"
"sp75_312_ss_c_4lag",".6983584",".0474878"
"sp75_320_ss_c_4lag","1.014402",".8802174"
"sp75_324_ss_c_4lag","1.008264",".9415581"
"sp75_337_ss_c_4lag","1.091854",".3471857"
"sp75_340_ss_c_4lag","1.030963",".3602328"
"sp75_342_ss_c_4lag","1.003093",".8813685"
"sp75_344_ss_c_4lag","1.294663",".2248813"
"sp75_352_ss_c_4lag","1.069971",".5268233"
"sp75_382_ss_c_4lag","1.755076",".0921089"
"sp75_503_ss_c_4lag","1.008532",".3310497"
"sp75_504_ss_c_4lag",".5204669",".1629959"
"sp75_505_ss_c_4lag",".659244",".3312899"
"sp75_506_1_ss_c_4lag",".96643",".8749267"
"sp75_506_ss_c_4lag",".8557555",".612371"
"sp75_507_ss_c_4lag","1.142017",".3409486"
"sp75_511_1_ss_c_4lag",".2735095","2.59e-06"
"sp75_511_ss_c_4lag","1.133473",".1416642"
"sp75_512_1_ss_c_4lag","2.256948",".2460401"
"sp75_512_2_ss_c_4lag",".9358023",".4368294"
"sp75_512_ss_c_4lag",".9976427",".8587597"
"sp75_513_1_ss_c_4lag",".2876745",".2657043"
"sp75_513_ss_c_4lag","1.05284",".8175393"
"sp75_514_ss_c_4lag",".9680802",".5185243"
"sp75_515_ss_c_4lag",".9297661",".0875671"
"sp75_516_1_ss_c_4lag",".5240925",".0030307"
"sp75_516_2_ss_c_4lag","1.161611",".869782"
"sp75_516_ss_c_4lag","1.100833",".2433575"
"sp75_517_1_ss_c_4lag","1.136766",".706369"
"sp75_517_ss_c_4lag","1.002103",".799706"
"sp75_518_1_ss_c_4lag",".6602848",".0000184"
"sp75_518_ss_c_4lag","1.062401",".0900887"
"sp75_519_ss_c_4lag","2.656772",".2838365"
"sp75_520_ss_c_4lag",".9893097",".8809601"
"sp75_523_1_ss_c_4lag",".9245329",".0975108"
"sp75_523_2_ss_c_4lag","1.060628",".2162721"
"sp75_523_ss_c_4lag",".9209984",".0579881"
"sp75_600_1_ss_c_4lag",".5489277",".1566734"
"sp75_600_ss_c_4lag","2.613008",".0001041"
"sp75_601_1_ss_c_4lag",".991809",".8223554"
"sp75_601_2_ss_c_4lag",".8514896",".6046877"
"sp75_601_3_ss_c_4lag",".7933938",".4756445"
"sp75_601_ss_c_4lag",".9638696",".3703614"
"sp75_602_ss_c_4lag","1.131652",".2081217"
"sp75_603_ss_c_4lag","1.014619",".904731"
"sp75_604_ss_c_4lag","1.035143",".004504"
"sp75_605_ss_c_4lag",".9985527",".9788015"
"sp75_606_ss_c_4lag",".9834436",".5548157"
"sp75_607_ss_c_4lag","1.121569",".1587605"
