"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_c_4lag",".9583042",".5403454"
"sp48_11_c_4lag","1.138033",".1452039"
"sp71_701_c_4lag","3.48587",".0664919"
"sp75_1001_1_c_4lag",".8382773",".4679142"
"sp75_1001_c_4lag",".4837419",".0811111"
"sp75_1003_1_c_4lag","1.497803",".4678241"
"sp75_1400_1_c_4lag","1.309636",".4067259"
"sp75_1401_1_c_4lag","1.332451",".5494771"
"sp75_1401_c_4lag",".8567598",".5566598"
"sp75_1403_11_c_4lag","1","."
"sp75_1404_1_c_4lag",".6146099",".4117247"
"sp75_1405_1_c_4lag","3.064579",".009052"
"sp75_1431_c_4lag",".9259702",".8186609"
"sp75_151_c_4lag","1.937784",".445401"
"sp75_1721_c_4lag",".5316732",".4734284"
"sp75_1731_c_4lag",".993102",".1941038"
"sp75_1911_c_4lag","1.002297",".9143465"
"sp75_211_c_4lag",".992223",".7399588"
"sp75_341_c_4lag",".7827026",".6378355"
"sp75_506_1_c_4lag","1.348666",".0042651"
"sp75_510_1_c_4lag","1","."
"sp75_511_1_c_4lag",".2249174",".0022535"
"sp75_511_c_4lag","1.059977",".3937305"
"sp75_512_1_c_4lag","1.054041",".8869716"
"sp75_513_1_c_4lag","1.062649",".7872743"
"sp75_516_1_c_4lag","1.107375",".7628496"
"sp75_517_1_c_4lag","1.206107",".3463715"
"sp75_518_1_c_4lag","1.002324",".9346513"
"sp75_523_1_c_4lag",".9709536",".4804266"
"sp75_600_1_c_4lag",".9574514",".8651594"
"sp75_601_1_c_4lag",".9903802",".577878"
"sp75_601_c_4lag","1.029255",".2504737"
"sp75_700_1_c_4lag",".8777286",".5594219"
"sp75_701_1_c_4lag",".9645424",".6045489"
"sp75_701_c_4lag","1.055332",".0044709"
"sp75_702_1_c_4lag",".8818811",".7448607"
"sp75_703_1_c_4lag","2.547472",".104014"
"sp75_705_1_c_4lag",".9360118",".7992963"
"sp75_801_c_4lag",".8102613",".5175552"
"sp75_811_c_4lag","1.076934",".1890931"
"sp75_821_c_4lag","1.118278",".1732433"
"sp75_831_c_4lag",".6651732",".1104807"
"sp75_901_c_4lag",".8683391",".2867071"
"sp75_902_1_c_4lag","1.491447",".2408997"
"sp77_1111_c_4lag",".6623744",".1440856"
"sp77_401_c_4lag",".8570039",".1196363"
"sp77_403_1_c_4lag",".9664037",".8365195"
"sp77_411_c_4lag",".3920506",".1698054"
"sp77_501_c_4lag","1.102918",".5785321"
"sp77_502_1_c_4lag","1.632938",".6105974"
"sp77_503_1_c_4lag","1.048962",".907192"
"sp77_506_1_c_4lag","1.025209",".5630021"
"sp77_508_1_c_4lag",".9463577",".7848501"
"sp77_511_c_4lag",".5290687",".0109265"
"sp77_601_c_4lag",".7523898",".3831542"
"sp77_606_1_c_4lag",".9994626",".999141"
"sp77_700_1_c_4lag","1.25706",".538332"
"sp77_701_1_c_4lag",".9494537",".7924913"
"sp77_701_c_4lag","1.025985",".5789308"
"sp77_704_1_c_4lag","1.015096",".9457381"
"sp77_800_1_c_4lag","1.179718",".4486382"
"sp77_801_1_c_4lag","1","."
"sp77_801_c_4lag",".3432612",".1350427"
"sp77_807_1_c_4lag",".7266398",".496195"
"sp77_900_1_c_4lag","2.119658",".0638735"
"sp77_901_1_c_4lag",".6565136",".5365381"
"sp77_901_c_4lag","1.049024",".8336704"
"sp47_42_c_4lag",".8263202",".3328004"
"sp75_1100_2_c_4lag","1.020923",".0513268"
"sp75_1102_c_4lag",".8741584",".0427439"
"sp75_1106_2_c_4lag","1.011897",".8407905"
"sp75_1400_2_c_4lag",".9854482",".9443135"
"sp75_1402_2_c_4lag","1.496526",".6522104"
"sp75_1432_c_4lag","1.353796",".1835024"
"sp75_1600_2_c_4lag","1.000342",".9926251"
"sp75_1912_c_4lag","1.07977",".6027039"
"sp75_202_c_4lag","1.001525",".6951706"
"sp75_212_c_4lag",".8236844",".0000402"
"sp75_312_c_4lag","1.013281",".6934948"
"sp75_342_c_4lag",".989072",".3076956"
"sp75_352_c_4lag",".8929866",".0755078"
"sp75_382_c_4lag","1.165525",".2738368"
"sp75_512_2_c_4lag","1.017153",".3874787"
"sp75_512_c_4lag",".9986957",".8374227"
"sp75_516_2_c_4lag","1.095469",".0424835"
"sp75_523_2_c_4lag","1.018964",".5930657"
"sp75_601_2_c_4lag",".8057879",".4768321"
"sp75_602_c_4lag","1.040592",".4526383"
"sp75_701_2_c_4lag","1.032513",".7634491"
"sp75_702_c_4lag",".9490728",".830857"
"sp75_703_2_c_4lag",".8121264",".3769263"
"sp75_705_2_c_4lag","1.823558",".0368167"
"sp75_800_2_c_4lag",".990891",".9729181"
"sp75_802_c_4lag",".7991155",".1345765"
"sp75_803_2_c_4lag","2.189809",".0837215"
"sp75_812_c_4lag",".6155277",".0570926"
"sp75_832_c_4lag",".4785268",".4927304"
"sp75_900_2_c_4lag",".5145088",".0640931"
"sp75_902_2_c_4lag","1.101714",".3237723"
"sp75_902_c_4lag","1.015547",".602889"
"sp77_1112_c_4lag",".956913",".7781329"
"sp77_1432_c_4lag",".6892861",".3896823"
"sp77_1802_c_4lag",".8747365",".8078142"
"sp77_202_c_4lag",".9443563",".0182645"
"sp77_402_c_4lag",".9415202",".2948277"
"sp77_403_2_c_4lag","1","."
"sp77_412_c_4lag","1.599715",".0025878"
"sp77_502_2_c_4lag",".9875111",".8812714"
"sp77_502_c_4lag",".9785252",".124385"
"sp77_512_c_4lag","1.008423",".8096081"
"sp77_602_c_4lag",".9744383",".9104001"
"sp77_701_2_c_4lag",".8423087",".1791766"
"sp77_702_c_4lag",".4702897",".3185583"
"sp77_800_2_c_4lag",".9432214",".695174"
"sp77_802_c_4lag",".5865275",".2889095"
"sp77_807_2_c_4lag",".8092553",".3281375"
"sp77_900_2_c_4lag","1.082257",".5539886"
"sp77_902_2_c_4lag","1","."
"sp77_902_c_4lag","1.345346",".1712557"
"sp47_43_c_4lag","3.256103",".1186272"
"sp72_503_c_4lag",".8864627",".1089905"
"sp75_1106_3_c_4lag","1.029105",".2693025"
"sp75_1400_3_c_4lag","1.189318",".0564113"
"sp75_1403_3_c_4lag","1","."
"sp75_1433_c_4lag",".9238881",".5131532"
"sp75_153_c_4lag","1.269849",".5384176"
"sp75_1903_c_4lag","1.209005",".0345849"
"sp75_1913_c_4lag",".9879886",".84278"
"sp75_503_c_4lag","1.006012",".2214273"
"sp75_513_c_4lag",".9197433",".321817"
"sp75_523_c_4lag",".9522965",".1693564"
"sp75_601_3_c_4lag","1.13193",".688165"
"sp75_603_c_4lag",".9599021",".5912627"
"sp75_701_3_c_4lag","1.022908",".8830414"
"sp75_703_3_c_4lag",".9450998",".5678334"
"sp75_703_c_4lag","1.140614",".0034317"
"sp75_705_3_c_4lag","9.607459","2.22e-16"
"sp75_800_3_c_4lag","1.016568",".9029718"
"sp75_803_c_4lag","1.060445",".5961037"
"sp75_900_3_c_4lag","1.087874",".3439179"
"sp75_903_c_4lag","1.037494",".4814751"
"sp77_103_c_4lag","1.209558",".300308"
"sp77_1103_c_4lag",".9860635",".6847761"
"sp77_1403_c_4lag","1.155528",".2828047"
"sp77_1433_c_4lag","1.276269",".3254345"
"sp77_203_c_4lag","1.413333",".1536453"
"sp77_403_c_4lag","1.718702",".0753463"
"sp77_413_c_4lag","1.585769",".1450471"
"sp77_503_c_4lag",".9339624",".6719232"
"sp77_513_c_4lag",".9461561",".2454432"
"sp77_603_c_4lag","1.311955",".318317"
