"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp_c_lag_all","1.000766",".1882924"
"sp47_42_pp_c_lag_all",".997907",".2768037"
"sp47_44_pp_c_lag_all",".998695",".1048665"
"sp48_11_pp_c_lag_all","1.000536",".4336665"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all","1.000404",".6830845"
"sp48_26_pp_c_lag_all","1.002875",".028664"
"sp48_27_pp_c_lag_all","1.001203",".2374542"
"sp48_28_pp_c_lag_all",".9978705",".0714808"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.000051",".9734848"
"sp48_6_pp_c_lag_all","1.000343",".5833246"
"sp48_7_pp_c_lag_all","1.001043",".0899564"
"sp48_8_pp_c_lag_all",".9997251",".8233409"
"sp71_701_pp_c_lag_all","1","."
"sp72_503_pp_c_lag_all",".9996477",".6355441"
"sp72_610_pp_c_lag_all","1.000704",".8971327"
"sp72_620_pp_c_lag_all","1.00002",".9959034"
"sp72_630_pp_c_lag_all",".9999339",".4287178"
"sp75_100_pp_c_lag_all","1.000115",".9619162"
"sp75_1001_1_pp_c_lag_all",".9942564",".2223779"
"sp75_1001_pp_c_lag_all","1.032391",".0093608"
"sp75_1003_1_pp_c_lag_all",".993619",".0018979"
"sp75_1100_2_pp_c_lag_all","1.000141",".10477"
"sp75_1101_20_pp_c_lag_all","1.000662",".778554"
"sp75_1102_pp_c_lag_all",".9998808",".9031636"
"sp75_1103_4_pp_c_lag_all",".9999046",".4968879"
"sp75_1104_pp_c_lag_all",".999093",".1161412"
"sp75_1106_2_pp_c_lag_all",".99999",".980411"
"sp75_1106_3_pp_c_lag_all",".9999879",".9381239"
"sp75_1106_4_pp_c_lag_all","1.000938",".5513121"
"sp75_1106_5_pp_c_lag_all",".9991038",".0714214"
"sp75_1106_6_pp_c_lag_all","1.026213",".0094647"
"sp75_1106_pp_c_lag_all","1.001378",".1589969"
"sp75_1107_14_pp_c_lag_all","1.010841",".0044873"
"sp75_1400_1_pp_c_lag_all",".9969443",".2780797"
"sp75_1400_2_pp_c_lag_all",".998719",".7594818"
"sp75_1400_3_pp_c_lag_all","1.000072",".9015748"
"sp75_1400_4_pp_c_lag_all",".9963457",".0145237"
"sp75_1400_pp_c_lag_all","1.00062",".474906"
"sp75_1401_1_pp_c_lag_all","1.009369",".1455498"
"sp75_1401_pp_c_lag_all","1.004661",".3737629"
"sp75_1403_10_pp_c_lag_all","1.000261",".1280898"
"sp75_1403_11_pp_c_lag_all",".9985651",".5108136"
"sp75_1403_3_pp_c_lag_all",".9938779",".0062687"
"sp75_1403_4_pp_c_lag_all","1.000007",".9986857"
"sp75_1403_5_pp_c_lag_all","1.000066",".535821"
"sp75_1403_6_pp_c_lag_all",".9999483",".5360616"
"sp75_1403_7_pp_c_lag_all","1.000582",".2624721"
"sp75_1403_8_pp_c_lag_all",".9999549",".5247627"
"sp75_1403_9_pp_c_lag_all",".9993458",".2858052"
"sp75_1404_1_pp_c_lag_all",".9786643",".0005426"
"sp75_1404_pp_c_lag_all",".999406",".8231171"
"sp75_1405_1_pp_c_lag_all",".9952138",".0005862"
"sp75_1405_pp_c_lag_all",".9994941",".0089052"
"sp75_1431_pp_c_lag_all","1.010047",".6358193"
"sp75_1432_pp_c_lag_all","1.000719",".6634806"
"sp75_1433_pp_c_lag_all","1.000014",".9872611"
"sp75_1434_pp_c_lag_all","1.000232",".8345726"
"sp75_1435_pp_c_lag_all",".999006",".7736758"
"sp75_1437_pp_c_lag_all",".9991946",".7317533"
"sp75_150_pp_c_lag_all","1.001122",".5839582"
"sp75_151_pp_c_lag_all",".9975321",".4392607"
"sp75_153_pp_c_lag_all","1.008583",".0099083"
"sp75_156_pp_c_lag_all","1.00255",".4378329"
"sp75_160_pp_c_lag_all",".9922558",".1865357"
"sp75_1600_2_pp_c_lag_all","1.000088",".7246248"
"sp75_1712_10_pp_c_lag_all",".9992449",".3117521"
"sp75_1712_6_pp_c_lag_all","1.000247",".6876047"
"sp75_1720_pp_c_lag_all",".9990566",".0464551"
"sp75_1721_pp_c_lag_all","1","."
"sp75_1725_pp_c_lag_all","1.000043",".2379532"
"sp75_1726_pp_c_lag_all","1.002601",".0047979"
"sp75_1727_pp_c_lag_all","1","."
"sp75_1728_pp_c_lag_all","1.002241",".2692701"
"sp75_1729_pp_c_lag_all",".9963537",".0537748"
"sp75_1730_pp_c_lag_all","1.001579",".3029973"
"sp75_1731_pp_c_lag_all","1.000053",".0189953"
"sp75_1903_pp_c_lag_all","1.000794",".1445411"
"sp75_1909_pp_c_lag_all",".9998501",".0542161"
"sp75_1910_pp_c_lag_all","1.000378",".000981"
"sp75_1911_pp_c_lag_all",".9997948",".150957"
"sp75_1912_pp_c_lag_all","1.001481",".2539472"
"sp75_1913_pp_c_lag_all","1.000628",".7003728"
"sp75_1914_pp_c_lag_all",".999936",".3668414"
"sp75_1915_pp_c_lag_all","1.000066",".9507288"
"sp75_202_pp_c_lag_all",".9999855",".3386175"
"sp75_208_pp_c_lag_all",".9999105",".6287001"
"sp75_211_pp_c_lag_all","1.000176",".361996"
"sp75_212_pp_c_lag_all","1.000423",".3335506"
"sp75_214_pp_c_lag_all","1.000098",".8162982"
"sp75_312_pp_c_lag_all",".9996121",".2613686"
"sp75_320_pp_c_lag_all",".9997393",".1451326"
"sp75_324_pp_c_lag_all",".9979726",".008867"
"sp75_337_pp_c_lag_all","1.000229",".5130625"
"sp75_340_pp_c_lag_all","1.000066",".5251193"
"sp75_341_pp_c_lag_all","1.002384",".6445748"
"sp75_342_pp_c_lag_all",".9999317",".2778771"
"sp75_344_pp_c_lag_all",".9991185",".3405222"
"sp75_352_pp_c_lag_all",".9993377",".3891497"
"sp75_382_pp_c_lag_all",".9997428",".6422779"
"sp75_503_pp_c_lag_all",".9999848",".4990235"
"sp75_504_pp_c_lag_all","1.003139",".0394139"
"sp75_505_pp_c_lag_all","1.001915",".3382325"
"sp75_506_1_pp_c_lag_all","1.001861",".1579049"
"sp75_506_pp_c_lag_all",".9990151",".3554967"
"sp75_507_pp_c_lag_all",".9994144",".2804199"
"sp75_511_1_pp_c_lag_all",".9962222",".6935126"
"sp75_511_pp_c_lag_all","1.000662",".3240399"
"sp75_512_1_pp_c_lag_all","1.007739",".0910827"
"sp75_512_2_pp_c_lag_all","1.000264",".1581186"
"sp75_512_pp_c_lag_all","1.00001",".8644798"
"sp75_513_1_pp_c_lag_all","1.001057",".6246656"
"sp75_513_pp_c_lag_all",".9987006",".1177224"
"sp75_514_pp_c_lag_all",".9999893",".9512141"
"sp75_515_pp_c_lag_all",".9998921",".3624305"
"sp75_516_1_pp_c_lag_all",".9974114",".350891"
"sp75_516_2_pp_c_lag_all",".9995832",".2300383"
"sp75_516_pp_c_lag_all",".9998241",".3659765"
"sp75_517_1_pp_c_lag_all",".9976061",".3949649"
"sp75_517_pp_c_lag_all","1.000013",".6468645"
"sp75_518_1_pp_c_lag_all",".9995491",".187716"
"sp75_518_pp_c_lag_all",".9998393",".4092079"
"sp75_519_pp_c_lag_all",".9921021",".0597935"
"sp75_520_pp_c_lag_all","1.000377",".3513277"
"sp75_523_1_pp_c_lag_all",".9994812",".2951656"
"sp75_523_2_pp_c_lag_all",".9995456",".2000211"
"sp75_523_pp_c_lag_all",".999728",".5655155"
"sp75_600_1_pp_c_lag_all",".9995031",".8290108"
"sp75_600_pp_c_lag_all",".994823",".2541687"
"sp75_601_1_pp_c_lag_all",".9998167",".2544089"
"sp75_601_2_pp_c_lag_all","1.000758",".7574529"
"sp75_601_3_pp_c_lag_all",".9971874",".4572141"
"sp75_601_pp_c_lag_all","1.000269",".2071238"
"sp75_602_pp_c_lag_all",".9993011",".2577084"
"sp75_603_pp_c_lag_all",".999516",".3399709"
"sp75_604_pp_c_lag_all",".9999419",".2621883"
"sp75_605_pp_c_lag_all","1.000012",".9610931"
"sp75_606_pp_c_lag_all","1.000111",".2125143"
"sp75_607_pp_c_lag_all",".9992674",".3380404"
"sp75_700_1_pp_c_lag_all",".9930656",".0211567"
"sp75_700_pp_c_lag_all","1.000578",".4634221"
"sp75_701_1_pp_c_lag_all","1.000874",".2758466"
"sp75_701_2_pp_c_lag_all","1.000463",".6950026"
"sp75_701_3_pp_c_lag_all",".9990246",".2226105"
"sp75_701_4_pp_c_lag_all","1.005641",".0892618"
"sp75_701_pp_c_lag_all","1.000122",".4301581"
"sp75_702_1_pp_c_lag_all",".9856969",".0003702"
"sp75_702_pp_c_lag_all","1.009427",".0472981"
"sp75_703_1_pp_c_lag_all",".9923467",".1340061"
