"","est1",""
"","b","p"
"dv","",""
"sp47_41_ss_1lag",".4637425","2.88e-06"
"sp47_44_ss_1lag","1.14775",".3060269"
"sp48_11_ss_1lag",".9975969",".9791343"
"sp48_25_ss_1lag","1.042194",".7528097"
"sp48_26_ss_1lag","1.141244",".4429562"
"sp48_27_ss_1lag","1.196304",".2400816"
"sp48_28_ss_1lag",".9819311",".8842495"
"sp48_4_ss_1lag","1.12e-09","0"
"sp48_5_ss_1lag",".821789",".3358917"
"sp48_6_ss_1lag",".9365345",".662849"
"sp48_7_ss_1lag","1.087416",".3229477"
"sp48_8_ss_1lag","1.05478",".7827225"
"sp71_701_ss_1lag","8.225093","0"
"sp72_503_ss_1lag",".8240105",".4543697"
"sp72_610_ss_1lag","2.96e-10","0"
"sp72_620_ss_1lag",".9786473",".9426592"
"sp72_630_ss_1lag","1.052494",".0060951"
"sp75_100_ss_1lag",".9447914",".8828284"
"sp75_1001_1_ss_1lag","1.343242",".7095193"
"sp75_1001_ss_1lag",".936035",".8997578"
"sp75_1003_1_ss_1lag",".5655991",".0124233"
"sp75_1100_2_ss_1lag","1.016595",".6175541"
"sp75_1101_20_ss_1lag","9.96e-10","0"
"sp75_1102_ss_1lag",".9156216",".4281997"
"sp75_1103_4_ss_1lag","1.034246",".6180791"
"sp75_1104_ss_1lag","1.178569",".3330636"
"sp75_1106_2_ss_1lag","1.088423",".284819"
"sp75_1106_3_ss_1lag","1.119724",".0026029"
"sp75_1106_4_ss_1lag",".8311579",".3181707"
"sp75_1106_5_ss_1lag","1.033415",".7233249"
"sp75_1106_6_ss_1lag","3.384091",".52963"
"sp75_1106_ss_1lag",".9944701",".9683611"
"sp75_1107_14_ss_1lag","2.721189","1.73e-09"
"sp75_1400_1_ss_1lag","1.185475",".6533022"
"sp75_1400_2_ss_1lag","1.09124",".6757584"
"sp75_1400_3_ss_1lag","1.07671",".603917"
"sp75_1400_4_ss_1lag","1.186213",".3003331"
"sp75_1400_ss_1lag","1.073149",".4199191"
"sp75_1401_ss_1lag","1.422219",".2049981"
"sp75_1403_10_ss_1lag","1.029966",".3109734"
"sp75_1403_11_ss_1lag","1.794372",".0051841"
"sp75_1403_3_ss_1lag",".9144367",".8797876"
"sp75_1403_4_ss_1lag",".9257564",".796467"
"sp75_1403_5_ss_1lag",".9665358",".1947241"
"sp75_1403_6_ss_1lag",".9622378",".0675389"
"sp75_1403_7_ss_1lag","1.038308",".6815033"
"sp75_1403_8_ss_1lag",".9825804",".3717893"
"sp75_1403_9_ss_1lag",".6778961",".0008887"
"sp75_1404_1_ss_1lag","7.64e-09","0"
"sp75_1404_ss_1lag","2.92e-10","0"
"sp75_1405_1_ss_1lag","1.112121",".6797551"
"sp75_1405_ss_1lag",".9547686",".05491"
"sp75_1431_ss_1lag","2.87e-10","0"
"sp75_1432_ss_1lag","8.21e-09","0"
"sp75_1433_ss_1lag",".9352909",".7990174"
"sp75_1434_ss_1lag","1.126915",".4614619"
"sp75_1435_ss_1lag",".8404725",".5518114"
"sp75_1437_ss_1lag","1.055763",".8465362"
"sp75_150_ss_1lag","2.48976",".163036"
"sp75_151_ss_1lag","1.018893",".9793278"
"sp75_153_ss_1lag","4.313983",".0102161"
"sp75_155_ss_1lag",".817724",".1915688"
"sp75_156_ss_1lag","1.27e-09","0"
"sp75_1600_2_ss_1lag",".9399378",".7746699"
"sp75_1712_10_ss_1lag","1.591681",".0768752"
"sp75_1712_6_ss_1lag","1.51148",".5119508"
"sp75_1720_ss_1lag",".9393362",".3322355"
"sp75_1721_ss_1lag","8.32e-09","0"
"sp75_1725_ss_1lag",".9981722",".8027949"
"sp75_1726_ss_1lag","1.109073",".4966861"
"sp75_1727_ss_1lag","1.58e-09","0"
"sp75_1728_ss_1lag","2.018364",".0234416"
"sp75_1729_ss_1lag","1.11554",".5234936"
"sp75_1730_ss_1lag",".6759687",".2259993"
"sp75_1731_ss_1lag","1.022807",".0369669"
"sp75_1903_ss_1lag",".8818362",".6110648"
"sp75_1909_ss_1lag","1.008808",".7770336"
"sp75_1910_ss_1lag","1.003165",".9541192"
"sp75_1911_ss_1lag",".8914644",".0388257"
"sp75_1912_ss_1lag","1.973417",".0158982"
"sp75_1913_ss_1lag","1.090242",".6412934"
"sp75_1914_ss_1lag","1.021695",".3510209"
"sp75_1915_ss_1lag","1.487938",".0286198"
"sp75_202_ss_1lag","1.002922",".6286691"
"sp75_208_ss_1lag","1.008302",".7773122"
"sp75_211_ss_1lag","1.044031",".1872119"
"sp75_212_ss_1lag",".9190902",".3530304"
"sp75_214_ss_1lag",".681829",".0430253"
"sp75_312_ss_1lag","1.007225",".9732609"
"sp75_320_ss_1lag",".9765531",".7580677"
"sp75_324_ss_1lag",".9091749",".3724639"
"sp75_337_ss_1lag",".9510388",".5761529"
"sp75_340_ss_1lag","1.042246",".0814717"
"sp75_342_ss_1lag","1.005882",".762474"
"sp75_344_ss_1lag","1.144172",".4146419"
"sp75_352_ss_1lag","1.000587",".9942418"
"sp75_382_ss_1lag",".9935435",".9433217"
"sp75_503_ss_1lag",".9836579",".0887342"
"sp75_504_ss_1lag",".8427426",".7075719"
"sp75_505_ss_1lag",".93381",".8540671"
"sp75_506_1_ss_1lag",".8646314",".7686854"
"sp75_506_ss_1lag","1.186256",".5410683"
"sp75_507_ss_1lag","1.156093",".1258882"
"sp75_511_1_ss_1lag","9.59e-10","0"
"sp75_511_ss_1lag","1.126245",".0882614"
"sp75_512_1_ss_1lag","2.991289","1.52e-07"
"sp75_512_2_ss_1lag","1.140356",".0461979"
"sp75_512_ss_1lag","1.013423",".2208602"
"sp75_513_1_ss_1lag","1.761301",".1504793"
"sp75_513_ss_1lag","1.018665",".8715392"
"sp75_514_ss_1lag",".9600448",".3652752"
"sp75_515_ss_1lag",".9466624",".1480068"
"sp75_516_1_ss_1lag",".6921722",".0976618"
"sp75_516_2_ss_1lag",".5129627",".307676"
"sp75_516_ss_1lag","1.143326",".0128158"
"sp75_517_1_ss_1lag",".8070119",".3782683"
"sp75_517_ss_1lag",".9915419",".3476513"
"sp75_518_1_ss_1lag",".7366806",".015241"
"sp75_518_ss_1lag","1.08972",".0350831"
"sp75_519_ss_1lag",".4994997",".4161868"
"sp75_520_ss_1lag",".9178025",".1916761"
"sp75_523_1_ss_1lag",".9799581",".7563453"
"sp75_523_2_ss_1lag","1.078382",".158407"
"sp75_523_ss_1lag",".8630996",".0120457"
"sp75_600_1_ss_1lag","2.16e-08","0"
"sp75_600_ss_1lag","1.748798",".0161983"
"sp75_601_1_ss_1lag","1.057363",".1058331"
"sp75_601_2_ss_1lag","3.96e-09","0"
"sp75_601_3_ss_1lag","1.139972",".7061041"
"sp75_601_ss_1lag",".9842923",".754661"
"sp75_602_ss_1lag","1.097517",".1678095"
"sp75_603_ss_1lag","1.000029",".9997781"
"sp75_604_ss_1lag","1.041925",".0004249"
"sp75_605_ss_1lag","1.002279",".9646578"
"sp75_606_ss_1lag",".9996548",".9890065"
"sp75_607_ss_1lag","1.052281",".6837785"
"sp75_700_1_ss_1lag",".7143635",".5208317"
"sp75_700_ss_1lag",".7873329",".0290513"
"sp75_701_1_ss_1lag",".9171183",".430207"
"sp75_701_2_ss_1lag","1.058968",".702667"
"sp75_701_3_ss_1lag","1.057431",".6322834"
"sp75_701_4_ss_1lag","2.722366",".3792426"
"sp75_701_5_ss_1lag",".902518",".1756718"
"sp75_701_ss_1lag","1.034804",".3769212"
"sp75_703_2_ss_1lag",".6120107",".0910297"
"sp75_703_3_ss_1lag","1.233393",".1986425"
"sp75_703_ss_1lag","1.019333",".8148566"
"sp75_704_ss_1lag","2.277729",".1393338"
"sp75_705_1_ss_1lag",".6525537",".1854144"
"sp75_705_8_ss_1lag","4.80e-09","0"
"sp75_705_ss_1lag",".8299315",".6190799"
"sp75_706_ss_1lag","1.136677",".5429702"
"sp75_800_2_ss_1lag","5.47e-09","0"
"sp75_800_3_ss_1lag","1.05261",".932944"
"sp75_800_4_ss_1lag","2.83e-09","0"
"sp75_800_ss_1lag",".8757522",".4438813"
"sp75_801_ss_1lag",".987606",".9749737"
"sp75_802_ss_1lag",".6829322",".2915486"
"sp75_803_2_ss_1lag","7.22e-10","0"
"sp75_803_ss_1lag","1.086927",".4593404"
"sp75_804_ss_1lag","1.193345",".11093"
"sp75_805_ss_1lag",".6153162",".1484143"
"sp75_806_ss_1lag","2.106772",".0003919"
"sp75_807_ss_1lag","1.049148",".1676926"
"sp75_808_ss_1lag","1.426239",".106853"
"sp75_809_ss_1lag","1.135511",".115385"
"sp75_810_ss_1lag",".9381616",".8094535"
