"","est1",""
"","b","p"
"dv","",""
"sp47_41","1.090879",".1232467"
"sp48_11","1.088851",".1664777"
"sp71_701","1.88e-12","0"
"sp75_1001",".9063765",".7885684"
"sp75_1001_1","1.16941",".5385558"
"sp75_1003_1",".8504608",".3505318"
"sp75_1400_1",".9844944",".960218"
"sp75_1401",".8278473",".3182779"
"sp75_1401_1","1.151819",".8596621"
"sp75_1403_11","1.269258",".3673737"
"sp75_1404_1",".9528342",".9251728"
"sp75_1405_1",".8759629",".5425847"
"sp75_1431","7.73e-13","0"
"sp75_151","2.544156",".0624564"
"sp75_1721","3.33e-11","0"
"sp75_1731",".9999058",".9876348"
"sp75_1911",".9900315",".58961"
"sp75_211","1.013954",".6367986"
"sp75_341",".9808517",".9645676"
"sp75_506_1","1.05628",".579596"
"sp75_510_1","1.588427",".6293786"
"sp75_511","1.042572",".4542828"
"sp75_511_1",".4620872",".0054304"
"sp75_512_1","1.934671",".1281562"
"sp75_513_1","1.098777",".4938671"
"sp75_516_1","1.358985",".1587813"
"sp75_517_1","1.318925",".1616224"
"sp75_518_1","1.010766",".665208"
"sp75_523_1",".9959416",".93019"
"sp75_600_1",".8084015",".2806916"
"sp75_601","1.023083",".3654838"
"sp75_601_1","1.006099",".7155145"
"sp75_700_1",".685104",".1739498"
"sp75_701","1.02439",".0944585"
"sp75_701_1",".9225017",".1684708"
"sp75_702_1","1.866076",".2541178"
"sp75_703_1","1.134447",".811103"
"sp75_705_1","1.057913",".7564217"
"sp75_801","1.315842",".3411998"
"sp75_811",".9907003",".8653747"
"sp75_821","1.111796",".198034"
"sp75_831",".6981489",".1047563"
"sp75_901",".9558186",".7173213"
"sp75_902_1","1.31482",".1348095"
"sp77_1111",".766761",".1493861"
"sp77_401","1.098891",".339673"
"sp77_403_1","1.012958",".9451009"
"sp77_411",".5307117",".3136968"
"sp77_501","1.021012",".8255242"
"sp77_502_1","2.334279",".0271219"
"sp77_503_1","1.205801",".5180682"
"sp77_506_1",".970948",".3927907"
"sp77_508_1","1.090464",".6791637"
"sp77_511",".9890768",".9564714"
"sp77_601","1.31715",".1154745"
"sp77_606_1",".6152071",".1121799"
"sp77_700_1","1.11024",".6967982"
"sp77_701","1.019677",".6037251"
"sp77_701_1",".6687677",".094869"
"sp77_704_1","1.394078",".1445962"
"sp77_800_1","1.215741",".3630001"
"sp77_801","1.796073",".2158553"
"sp77_801_1","3.41e-11","0"
"sp77_807_1",".5639687",".1621981"
"sp77_900_1","1.166192",".7339831"
"sp77_901","1.07511",".6729692"
"sp77_901_1","1.55e-12","0"
"sp47_42",".9280569",".6239558"
"sp75_1100_2","1.030033",".0003453"
"sp75_1102","1.028977",".7061673"
"sp75_1106_2","1.047249",".2940446"
"sp75_1400_2","1.150955",".4551521"
"sp75_1402_2",".5049555",".0250451"
"sp75_1432",".6604758",".1243794"
"sp75_1600_2",".9877884",".6841609"
"sp75_1912",".9179781",".2944205"
"sp75_202","1.005295",".2554465"
"sp75_212",".9318247",".1362336"
"sp75_312","1.083998",".0576233"
"sp75_342","1.017263",".1471911"
"sp75_352",".944981",".3214149"
"sp75_382",".8837611",".1175704"
"sp75_512",".9968136",".6064484"
"sp75_512_2","1.026518",".1703252"
"sp75_516_2","1.073512",".0230202"
"sp75_523_2",".9934701",".8150617"
"sp75_601_2","1.61033",".2967591"
"sp75_602","1.011776",".7971362"
"sp75_701_2",".9238058",".3722642"
"sp75_702","1.447192",".5374575"
"sp75_703_2","1.187315",".3271303"
"sp75_705_2","1.142361",".3078526"
"sp75_800_2",".7662443",".2135235"
"sp75_802",".9365824",".7473227"
"sp75_803_2","3.501969","0"
"sp75_812","1.494451",".0234216"
"sp75_832",".6235426",".4523732"
"sp75_900_2","1.073324",".7361992"
"sp75_902",".9913161",".8160169"
"sp75_902_2","1.059471",".3738976"
"sp77_1112",".904407",".460939"
"sp77_1432","1.369579",".4827135"
"sp77_1802",".6004399",".1894061"
"sp77_202",".9472789",".0093059"
"sp77_402","1.005323",".8838874"
"sp77_403_2",".7804826",".3225763"
"sp77_412","1.25421",".0088048"
"sp77_502",".9825524",".1940558"
"sp77_502_2",".9668019",".6187704"
"sp77_512","1.019056",".4917127"
"sp77_602","1.044829",".8659215"
"sp77_701_2",".9488371",".7075554"
"sp77_702",".7323304",".5369869"
"sp77_800_2",".8535733",".3240156"
"sp77_802",".5000053",".1253288"
"sp77_807_2",".6624747",".1757834"
"sp77_900_2",".9606549",".7785919"
"sp77_902","1.143512",".3236985"
"sp77_902_2",".0000102","0"
"sp47_43","2.487683",".0088434"
"sp72_503",".9024675",".1594803"
"sp75_1106_3","1.036559",".0113766"
"sp75_1400_3","1.060166",".4999826"
"sp75_1403_3",".9166843",".5363728"
"sp75_1433","1.035174",".687413"
"sp75_153","1.346577",".3323964"
"sp75_1903",".9420384",".1960668"
"sp75_1913","1.058658",".572858"
"sp75_503",".9991302",".8711409"
"sp75_513",".7861304",".0482989"
"sp75_523",".9749498",".5726012"
"sp75_601_3",".9729735",".9282674"
"sp75_603","1.031367",".6810978"
"sp75_701_3","1.003473",".9726536"
"sp75_703","1.025233",".5078206"
"sp75_703_3",".9188673",".407527"
"sp75_705_3","1.63e-12","0"
"sp75_800_3",".9179094",".5602331"
"sp75_803","1.050493",".594985"
"sp75_900_3","1.022847",".7989762"
"sp75_903","1.099734",".0486543"
"sp77_103",".3774685",".0043957"
"sp77_1103",".9829013",".5358361"
"sp77_1403",".9323529",".4988511"
"sp77_1433","1.112292",".7086941"
"sp77_203","1.182895",".2924792"
"sp77_403","1.456662",".2213469"
"sp77_413",".6827599",".0004735"
"sp77_503",".9482853",".7621566"
"sp77_513",".9804787",".6273754"
"sp77_603","1.41864",".3281584"
"sp77_701_3",".1890956","3.23e-10"
"sp77_703","1.40012",".3268398"
"sp77_803","1.179986",".4286228"
"sp77_807_3","1.189581",".5271427"
"sp77_902_3","1.321546",".2222167"
"sp77_903",".7966349",".5415118"
"sp47_44",".9111741",".3373769"
"sp48_24",".004533","0"
"sp48_4","1.48103",".5845605"
"sp75_1103_4","1.034298",".0781841"
"sp75_1104","1.036613",".4497703"
"sp75_1106_4","1.188832",".0879879"
"sp75_1107_14","2.217393",".0181287"
"sp75_1400_4",".8914939",".4418846"
"sp75_1403_4","1.003365",".9854059"
"sp75_1404","1.663027",".0828805"
"sp75_1434",".8289326",".0593221"
"sp75_1914","1.013852",".1285069"
"sp75_214",".9850181",".6915952"
"sp75_324","1.001641",".9827857"
"sp75_344","1.123299",".1243967"
"sp75_504",".7555466",".1130086"
"sp75_514","1.047218",".0637419"
"sp75_604","1.018576",".0417785"
"sp75_701_4","1.684219",".1712234"
"sp75_703_4","9.25e-11","0"
"sp75_704",".9563933",".8052323"
"sp75_800_4","1.289922",".0028408"
"sp75_804",".9209222",".2215345"
"sp75_814","1.053639",".6884195"
"sp75_834","1.65e-11","0"
"sp75_900_4","1.036442",".0720047"
"sp75_902_4","1.020959",".7105382"
"sp75_904",".9855906",".2021873"
"sp77_104",".8472425",".8491335"
"sp77_1104","1.014397",".2305445"
"sp77_1434",".8516695",".4229056"
"sp77_204",".9585954",".2772748"
"sp77_314",".5027254",".1181163"
"sp77_404",".9638928",".0108283"
"sp77_504",".9111051",".0353276"
"sp77_514",".8425224",".2588373"
"sp77_604",".8630256",".4528231"
"sp77_701_4","1.001479",".9925453"
"sp77_704",".3695969",".0687613"
"sp77_804","3.809328",".0028467"
"sp77_904",".9537237",".2551845"
"sp48_25",".8331136",".2033504"
"sp48_5","1.070223",".7139601"
"sp75_1106_5","1.063716",".2769387"
"sp75_1403_5",".9950151",".8011365"
"sp75_1405",".957291",".0793722"
"sp75_1435",".9589767",".8732224"
"sp75_155",".7062722",".1148907"
"sp75_1725","1.006573",".305213"
"sp75_1915",".9895353",".9181771"
"sp75_505",".6354447",".1655663"
"sp75_515",".962362",".0052142"
"sp75_605",".9864331",".6155655"
"sp75_701_5",".8944618",".2990787"
"sp75_705","1.264425",".4389532"
"sp75_805",".9815848",".9336077"
"sp75_815",".8585756",".2936429"
"sp75_825","1.028707",".854681"
"sp75_905",".8414098",".2718239"
"sp77_1605",".9775663",".1126544"
"sp77_1915",".7366152",".0599231"
"sp77_205","1.004943",".6599507"
"sp77_305","1.730333",".3212258"
"sp77_315",".4457371",".2012628"
"sp77_405",".96445",".8098689"
"sp77_505","1.022518",".4591586"
"sp77_515",".5678559",".2737229"
"sp77_605",".6026183",".3475204"
"sp77_705","1.098064",".268597"
"sp77_805","1.259339",".1096215"
"sp48_26","1.253614",".0009326"
"sp48_6","1.027618",".7478387"
