"","est1",""
"","b","p"
"dv_indicator","",""
"p47_pp_c_lag_all",".9994471",".2234275"
"p48_pp_c_lag_all","1.000096",".4626332"
"p71_pp_c_lag_all","1.001338",".1026873"
"p72_pp_c_lag_all",".9998982",".728345"
"p75_pp_c_lag_all",".9999998",".8446788"
"p77_pp_c_lag_all","1.000084",".1130414"
"mine_time",".9949167",".7413377"
"onsite_insp_hours","1.000876","7.19e-07"
"longwall",".8939018",".7604144"
"1.state","1.580887",".3299961"
"2.state","4.449452","0"
"3.state",".4638869",".2300236"
"4.state","2.303113",".0025469"
"5.state",".9614541",".9134566"
"6.state",".8632001",".2428784"
"7.state","1.453328",".0702576"
"8.state",".5814483",".0871376"
"9.state","1","."
"10.state",".508562",".0918535"
"11.state",".5143346",".1155535"
"12.state",".8813689",".5947763"
"13.state","2.098365",".1821267"
"14.state",".8208305",".6628007"
"15.state",".6443687",".0022077"
"16.state","1","."
"17.state","1","."
"8.time","1.2157",".2012901"
"9.time","1","."
"10.time",".516076",".0000174"
"11.time",".6887919",".0255168"
"12.time",".8116131",".1639877"
"13.time",".6892032",".0329691"
"14.time",".4653764",".0000666"
"15.time",".3829548","9.66e-07"
"16.time",".5006993",".000361"
"N","3315",""
