"","est1",""
"","b","p"
"dv_indicator","",""
"p47_ss_c_4lag",".8511086",".3828513"
"p48_ss_c_4lag","1.020657",".6020316"
"p71_ss_c_4lag","1.060624",".7312575"
"p72_ss_c_4lag","1.096603",".4147442"
"p75_ss_c_4lag","1.003",".0004581"
"p77_ss_c_4lag","1.043212",".0399885"
"mine_time",".9937074",".6507924"
"onsite_insp_hours","1.001033","6.46e-09"
"longwall",".9728509",".9265967"
"1.state","1.537745",".2717254"
"2.state","2.504771","0"
"3.state",".7908065",".5043378"
"4.state","1.918148",".0325687"
"5.state",".8261973",".4929158"
"6.state",".7092018",".0001499"
"7.state",".856834",".6101083"
"8.state","1.425959",".0005204"
"9.state","2.584511","6.42e-09"
"10.state",".5866177",".1570309"
"11.state",".6265174",".0927523"
"12.state",".9950729",".9772314"
"13.state","1.965281",".0619285"
"14.state",".6550135",".1738103"
"15.state",".5686756","1.41e-07"
"16.state","1","."
"17.state","1","."
"1.time","1.074192",".6129145"
"2.time","1","."
"3.time",".7439643",".0471428"
"4.time",".8085949",".2078137"
"5.time",".5299811",".0000895"
"6.time",".5389737",".0000381"
"7.time",".5888821",".0005903"
"8.time",".5774426",".0007654"
"9.time",".4698283","4.11e-06"
"10.time",".2421075","8.88e-16"
"11.time",".3250454","8.03e-10"
"12.time",".3941748","2.54e-07"
"13.time",".3477038","4.84e-08"
"14.time",".2452355","3.16e-11"
"15.time",".1995275","7.15e-13"
"16.time",".2617273","2.03e-09"
"N","6242",""
