"","est1",""
"","b","p"
"dv_indicator","",""
"p47_1lag",".9958347",".9748647"
"p48_1lag","1.040859",".2991517"
"p71_1lag","1.347102",".1343244"
"p72_1lag",".98795",".9216296"
"p75_1lag","1.005161",".0002331"
"p77_1lag","1.035998",".0468732"
"mine_time",".9959974",".7741905"
"onsite_insp_hours","1.000788",".0000756"
"longwall",".9529701",".8698907"
"1.state","1.566797",".2678128"
"2.state","2.524183","0"
"3.state",".6589205",".2549025"
"4.state","1.92013",".0370524"
"5.state",".826033",".4851398"
"6.state",".7215953",".0003183"
"7.state",".8297868",".5657041"
"8.state","1.410644",".0016707"
"9.state","2.486742","3.40e-08"
"10.state",".6146518",".1962012"
"11.state",".6148713",".0536528"
"12.state","1.049459",".7802505"
"13.state","2.013572",".0586755"
"14.state",".6943494",".2330312"
"15.state",".5706268","1.68e-07"
"16.state","1","."
"17.state","1","."
"1.time","1.023737",".8671327"
"2.time","1","."
"3.time",".7469008",".0487423"
"4.time",".8124613",".2164976"
"5.time",".5356158",".0001005"
"6.time",".5525029",".0000728"
"7.time",".5932536",".0006338"
"8.time",".5721762",".0005747"
"9.time",".4463641","7.84e-07"
"10.time",".2215836","0"
"11.time",".3070588","1.34e-10"
"12.time",".3812259","7.07e-08"
"13.time",".3305179","9.10e-09"
"14.time",".2320059","3.26e-12"
"15.time",".1916401","1.15e-13"
"16.time",".2493656","3.47e-10"
"N","6242",""
