"","est1",""
"","b","p"
"dv","",""
"p47_pp_1lag",".998484",".0878937"
"p48_pp_1lag","1.000175",".2293202"
"p71_pp_1lag",".999931",".9374342"
"p72_pp_1lag",".9994469",".307595"
"p75_pp_1lag","1.000016",".0002102"
"p77_pp_1lag",".999981",".8642483"
"mine_time",".9895063",".1867214"
"onsite_insp_hours",".9998559",".0122217"
"longwall",".9822125",".8625157"
"1.state","1.344023",".0436928"
"2.state","2.22529","0"
"3.state",".7294148",".0590123"
"4.state","1.175088",".0771228"
"5.state",".9673514",".8699037"
"6.state","1.014097",".8243983"
"7.state","1.154865",".4656742"
"8.state",".8178148",".0494047"
"9.state",".8425627",".1193012"
"10.state",".900511",".5496571"
"11.state",".8316607",".6991005"
"12.state",".9660406",".7842743"
"13.state","1.224052",".2346522"
"14.state",".6771792",".0741397"
"15.state",".6792936",".0000177"
"16.state","1","."
"17.state","1.076067",".4740197"
"8.time","1.164616",".0166529"
"9.time","1","."
"10.time",".8585922",".0119271"
"11.time",".8860542",".0642983"
"12.time",".9476351",".3731587"
"13.time",".9635701",".5680567"
"14.time",".8515227",".0311518"
"15.time",".8307658",".0170442"
"16.time",".8740391",".0929847"
"N","3333",""
