"","est1",""
"","b","p"
"dv","",""
"p47_c_4lag","1.009734",".68195"
"p48_c_4lag","1.001239",".6098389"
"p71_c_4lag",".9782618",".1733094"
"p72_c_4lag","1.000382",".9601759"
"p75_c_4lag","1.000319",".0000605"
"p77_c_4lag",".998758",".4425116"
"mine_time",".9940636",".4114718"
"onsite_insp_hours",".9998927",".0329661"
"longwall",".8426648",".0246194"
"1.state","1.161892",".1308612"
"2.state","1.935469","0"
"3.state",".7978689",".1970915"
"4.state","1.104509",".2734583"
"5.state",".871742",".4002414"
"6.state",".9168283",".0847097"
"7.state",".9524458",".8318372"
"8.state","1.107764",".1499603"
"9.state",".8760183",".0790836"
"10.state","1.047623",".7844397"
"11.state",".8705402",".5715827"
"12.state","1.000062",".9994166"
"13.state","1.309723",".0708326"
"14.state",".6841196",".0041515"
"15.state",".6669872","6.27e-09"
"16.state","1","."
"17.state","1.233354",".0099508"
"1.time","1.146065",".0280761"
"2.time","1","."
"3.time",".9793673",".7257995"
"4.time",".8762938",".0407041"
"5.time",".8874338",".0715287"
"6.time",".7710401",".000052"
"7.time",".7650672",".0001895"
"8.time",".7109508","3.88e-06"
"9.time",".6330887","6.42e-10"
"10.time",".5350586","2.44e-15"
"11.time",".5468722","1.31e-13"
"12.time",".5800228","5.25e-11"
"13.time",".594659","9.08e-10"
"14.time",".5206295","4.33e-12"
"15.time",".505557","5.40e-13"
"16.time",".5301459","7.86e-10"
"N","6253",""
