"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_pp_c_lag_all",".9983663",".1455763"
"sp47_42_pp_c_lag_all",".9949884",".0494362"
"sp47_44_pp_c_lag_all","1.0022",".3788439"
"sp48_11_pp_c_lag_all","1.00042",".5375531"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all",".9986171",".2841583"
"sp48_26_pp_c_lag_all",".9984163",".1809018"
"sp48_27_pp_c_lag_all","1.000927",".4017232"
"sp48_28_pp_c_lag_all",".9974051",".0157204"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.004131",".0570223"
"sp48_6_pp_c_lag_all","1.000717",".4084373"
"sp48_7_pp_c_lag_all","1.001384",".1038242"
"sp48_8_pp_c_lag_all",".9983711",".2349773"
"sp71_701_pp_c_lag_all","1","."
"sp72_503_pp_c_lag_all",".9991178",".595591"
"sp72_610_pp_c_lag_all","1","."
"sp72_620_pp_c_lag_all",".999072",".8286337"
"sp72_630_pp_c_lag_all","1.000198",".1204483"
"sp75_100_pp_c_lag_all","1.002495",".4953249"
"sp75_1001_1_pp_c_lag_all","1.009176",".0073943"
"sp75_1001_pp_c_lag_all","1.019857",".0572799"
"sp75_1003_1_pp_c_lag_all","1","."
"sp75_1100_2_pp_c_lag_all","1.000079",".4964476"
"sp75_1101_20_pp_c_lag_all","1.006164",".1808856"
"sp75_1102_pp_c_lag_all","1.000563",".3022079"
"sp75_1103_4_pp_c_lag_all",".9997388",".1176752"
"sp75_1104_pp_c_lag_all",".9969174",".006702"
"sp75_1106_2_pp_c_lag_all",".9994939",".5966961"
"sp75_1106_3_pp_c_lag_all",".9999705",".9159196"
"sp75_1106_4_pp_c_lag_all","1.006367",".0245701"
"sp75_1106_5_pp_c_lag_all",".9983496",".0041662"
"sp75_1106_6_pp_c_lag_all","1","."
"sp75_1106_pp_c_lag_all","1.004888",".0659599"
"sp75_1107_14_pp_c_lag_all","1","."
"sp75_1400_1_pp_c_lag_all",".990955",".2562792"
"sp75_1400_2_pp_c_lag_all","1.016872",".0405898"
"sp75_1400_3_pp_c_lag_all","1.001538",".4495184"
"sp75_1400_4_pp_c_lag_all","1.000425",".95595"
"sp75_1400_pp_c_lag_all","1.000973",".7336415"
"sp75_1401_1_pp_c_lag_all","1","."
"sp75_1401_pp_c_lag_all",".9544037",".0035956"
"sp75_1403_10_pp_c_lag_all","1.000627",".2650281"
"sp75_1403_11_pp_c_lag_all","1","."
"sp75_1403_3_pp_c_lag_all","1","."
"sp75_1403_4_pp_c_lag_all","1","."
"sp75_1403_5_pp_c_lag_all",".9998593",".6800099"
"sp75_1403_6_pp_c_lag_all",".999509",".0686889"
"sp75_1403_7_pp_c_lag_all",".9988301",".4771193"
"sp75_1403_8_pp_c_lag_all","1.000187",".493158"
"sp75_1403_9_pp_c_lag_all","1","."
"sp75_1404_1_pp_c_lag_all",".971597","9.34e-06"
"sp75_1404_pp_c_lag_all",".990594",".1179228"
"sp75_1405_1_pp_c_lag_all",".994718",".068145"
"sp75_1405_pp_c_lag_all","1.000662",".3420597"
"sp75_1431_pp_c_lag_all",".9711253",".3858349"
"sp75_1432_pp_c_lag_all","1.052429","0"
"sp75_1433_pp_c_lag_all","1.001949",".6103572"
"sp75_1434_pp_c_lag_all","1.003793",".4836458"
"sp75_1435_pp_c_lag_all",".9403992",".0009675"
"sp75_1437_pp_c_lag_all",".9930959",".6041257"
"sp75_150_pp_c_lag_all",".9979352",".6280653"
"sp75_151_pp_c_lag_all","1.02342","5.54e-07"
"sp75_153_pp_c_lag_all","1.002504",".4767459"
"sp75_156_pp_c_lag_all","1.0025",".6902482"
"sp75_160_pp_c_lag_all",".9150141","0"
"sp75_1600_2_pp_c_lag_all",".9992496",".0469951"
"sp75_1712_10_pp_c_lag_all",".9920952",".0145447"
"sp75_1712_6_pp_c_lag_all","1.001193",".166417"
"sp75_1720_pp_c_lag_all",".9994815",".2869621"
"sp75_1721_pp_c_lag_all","1","."
"sp75_1725_pp_c_lag_all","1.000249",".0000653"
"sp75_1726_pp_c_lag_all","1.004425",".01127"
"sp75_1727_pp_c_lag_all","1","."
"sp75_1728_pp_c_lag_all",".9977827",".6804288"
"sp75_1729_pp_c_lag_all","1.013665",".0000445"
"sp75_1730_pp_c_lag_all","1.011363",".0202192"
"sp75_1731_pp_c_lag_all","1.000068",".2464967"
"sp75_1903_pp_c_lag_all",".9986909",".4702345"
"sp75_1909_pp_c_lag_all","1.000258",".0068173"
"sp75_1910_pp_c_lag_all","1.000029",".9077384"
"sp75_1911_pp_c_lag_all","1.000181",".5286686"
"sp75_1912_pp_c_lag_all","1.007056",".0002846"
"sp75_1913_pp_c_lag_all",".9999654",".9869501"
"sp75_1914_pp_c_lag_all",".9993967",".0035203"
"sp75_1915_pp_c_lag_all","1.001178",".5916662"
"sp75_202_pp_c_lag_all",".9999613",".2941074"
"sp75_208_pp_c_lag_all",".9999437",".8052746"
"sp75_211_pp_c_lag_all","1.000026",".9346454"
"sp75_212_pp_c_lag_all","1.002482",".0400027"
"sp75_214_pp_c_lag_all",".9988949",".0626448"
"sp75_312_pp_c_lag_all",".9993524",".0640794"
"sp75_320_pp_c_lag_all","1.000098",".7655311"
"sp75_324_pp_c_lag_all",".9969712",".00647"
"sp75_337_pp_c_lag_all",".9999435",".9232069"
"sp75_340_pp_c_lag_all","1.000525",".0985551"
"sp75_341_pp_c_lag_all","1.004048",".8746317"
"sp75_342_pp_c_lag_all",".9999764",".8319025"
"sp75_344_pp_c_lag_all","1.000013",".9962664"
"sp75_352_pp_c_lag_all",".9985408",".2570789"
"sp75_382_pp_c_lag_all",".9990345",".4735486"
"sp75_503_pp_c_lag_all",".9999843",".6703813"
"sp75_504_pp_c_lag_all",".9994742",".7445728"
"sp75_505_pp_c_lag_all","1.002001",".3909027"
"sp75_506_1_pp_c_lag_all","1.004922",".0033736"
"sp75_506_pp_c_lag_all",".9976062",".0550791"
"sp75_507_pp_c_lag_all",".9991667",".2685714"
"sp75_511_1_pp_c_lag_all","1.03508",".0072123"
"sp75_511_pp_c_lag_all",".9991961",".2046356"
"sp75_512_1_pp_c_lag_all","1.00499",".4753953"
"sp75_512_2_pp_c_lag_all","1.000067",".832746"
"sp75_512_pp_c_lag_all",".9999883",".8824702"
"sp75_513_1_pp_c_lag_all","1.004667",".115418"
"sp75_513_pp_c_lag_all",".999377",".6732559"
"sp75_514_pp_c_lag_all",".9992753",".0144112"
"sp75_515_pp_c_lag_all",".9995332",".0482021"
"sp75_516_1_pp_c_lag_all","1.000106",".9782153"
"sp75_516_2_pp_c_lag_all",".9998213",".7659427"
"sp75_516_pp_c_lag_all",".9996005",".1976221"
"sp75_517_1_pp_c_lag_all",".998126",".6921726"
"sp75_517_pp_c_lag_all",".9999121",".0317308"
"sp75_518_1_pp_c_lag_all","1.000102",".7779873"
"sp75_518_pp_c_lag_all",".9993253",".0084302"
"sp75_519_pp_c_lag_all",".959813",".1522551"
"sp75_520_pp_c_lag_all",".9997432",".7382717"
"sp75_523_1_pp_c_lag_all","1.000307",".4928799"
"sp75_523_2_pp_c_lag_all",".9998495",".5853558"
"sp75_523_pp_c_lag_all",".9993508",".0701783"
"sp75_600_1_pp_c_lag_all",".9995561",".7878496"
"sp75_600_pp_c_lag_all",".9922313",".0176383"
"sp75_601_1_pp_c_lag_all","1.000528",".017419"
"sp75_601_2_pp_c_lag_all","1.003093",".3113838"
