"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_ss_c_4lag",".4514431",".0147038"
"sp47_44_ss_c_4lag","1","."
"sp48_11_ss_c_4lag","1.005415",".961461"
"sp48_25_ss_c_4lag","1.182691",".3145545"
"sp48_26_ss_c_4lag","1.275754",".0055139"
"sp48_27_ss_c_4lag",".8997776",".2853607"
"sp48_28_ss_c_4lag",".8294519",".1654355"
"sp48_4_ss_c_4lag","2.42829",".2190048"
"sp48_5_ss_c_4lag","1.130608",".3589786"
"sp48_6_ss_c_4lag",".7909214",".011384"
"sp48_7_ss_c_4lag","1.145878",".1932241"
"sp48_8_ss_c_4lag","1.123368",".3664177"
"sp71_701_ss_c_4lag","1","."
"sp72_503_ss_c_4lag",".7449045",".1203107"
"sp72_610_ss_c_4lag","1","."
"sp72_620_ss_c_4lag","1.365115",".5546209"
"sp72_630_ss_c_4lag","1.00729",".5892108"
"sp75_100_ss_c_4lag","1.079145",".7925358"
"sp75_1001_1_ss_c_4lag","1","."
"sp75_1001_ss_c_4lag",".8596902",".8035562"
"sp75_1003_1_ss_c_4lag","1","."
"sp75_1100_2_ss_c_4lag","1.011298",".6052718"
"sp75_1101_20_ss_c_4lag","1","."
"sp75_1102_ss_c_4lag",".9916369",".8743523"
"sp75_1103_4_ss_c_4lag","1.030643",".4013736"
"sp75_1104_ss_c_4lag",".8193003",".2290785"
"sp75_1106_2_ss_c_4lag",".9506596",".5214825"
"sp75_1106_3_ss_c_4lag","1.071208",".1148081"
"sp75_1106_4_ss_c_4lag",".7665296",".2114196"
"sp75_1106_5_ss_c_4lag",".8699069",".1179007"
"sp75_1106_6_ss_c_4lag","1","."
"sp75_1106_ss_c_4lag","1.681197",".129937"
"sp75_1107_14_ss_c_4lag","1","."
"sp75_1400_1_ss_c_4lag","1","."
"sp75_1400_2_ss_c_4lag","1","."
"sp75_1400_3_ss_c_4lag",".9377759",".7372614"
"sp75_1400_4_ss_c_4lag","1","."
"sp75_1400_ss_c_4lag","1.382955",".1181528"
"sp75_1401_ss_c_4lag",".5698378",".1681528"
"sp75_1403_10_ss_c_4lag","1.120452",".0861929"
"sp75_1403_11_ss_c_4lag","1","."
"sp75_1403_3_ss_c_4lag","1","."
"sp75_1403_4_ss_c_4lag","1","."
"sp75_1403_5_ss_c_4lag",".9896082",".8000425"
"sp75_1403_6_ss_c_4lag",".9661135",".343904"
"sp75_1403_7_ss_c_4lag","1.195349",".176968"
"sp75_1403_8_ss_c_4lag",".9947621",".9129592"
"sp75_1403_9_ss_c_4lag","1","."
"sp75_1404_1_ss_c_4lag",".6954409",".3269642"
"sp75_1404_ss_c_4lag","1","."
"sp75_1405_1_ss_c_4lag","1.258386",".2690813"
"sp75_1405_ss_c_4lag","1.04761",".3229837"
"sp75_1431_ss_c_4lag","1","."
"sp75_1432_ss_c_4lag","1","."
"sp75_1433_ss_c_4lag",".873453",".5153155"
"sp75_1434_ss_c_4lag",".6819592",".0550147"
"sp75_1435_ss_c_4lag",".1644955",".0495426"
"sp75_1437_ss_c_4lag","1","."
"sp75_150_ss_c_4lag","1","."
"sp75_151_ss_c_4lag","1","."
"sp75_153_ss_c_4lag","1","."
"sp75_155_ss_c_4lag","1","."
"sp75_156_ss_c_4lag",".945438",".7793471"
"sp75_1600_2_ss_c_4lag",".9353372",".7011022"
"sp75_1712_10_ss_c_4lag","1.149096",".8177494"
"sp75_1712_6_ss_c_4lag","1","."
"sp75_1720_ss_c_4lag","1.043686",".3123551"
"sp75_1721_ss_c_4lag","1","."
"sp75_1725_ss_c_4lag","1.007505",".2833839"
"sp75_1726_ss_c_4lag","1.178959",".2827057"
"sp75_1727_ss_c_4lag","1","."
"sp75_1728_ss_c_4lag","1.223296",".560649"
"sp75_1729_ss_c_4lag","1","."
"sp75_1730_ss_c_4lag",".8217114",".3522762"
"sp75_1731_ss_c_4lag",".9804367",".0009568"
"sp75_1903_ss_c_4lag",".9949276",".9810348"
"sp75_1909_ss_c_4lag",".9867535",".6411651"
"sp75_1910_ss_c_4lag",".9866567",".796306"
"sp75_1911_ss_c_4lag","1.067995",".2330558"
"sp75_1912_ss_c_4lag","1.22514",".6238772"
"sp75_1913_ss_c_4lag","1.156686",".3490389"
"sp75_1914_ss_c_4lag",".9906349",".7367927"
"sp75_1915_ss_c_4lag","1","."
"sp75_202_ss_c_4lag","1.008399",".0097031"
"sp75_208_ss_c_4lag",".990219",".6430589"
"sp75_211_ss_c_4lag",".9667591",".1320753"
"sp75_212_ss_c_4lag","1.021949",".8185428"
"sp75_214_ss_c_4lag","1.06172",".6229229"
"sp75_312_ss_c_4lag",".8454602",".1800954"
"sp75_320_ss_c_4lag",".9709907",".7901093"
"sp75_324_ss_c_4lag","1.018507",".8877292"
"sp75_337_ss_c_4lag",".8754597",".0516448"
"sp75_340_ss_c_4lag","1.020217",".4889142"
"sp75_342_ss_c_4lag",".9958145",".8112482"
"sp75_344_ss_c_4lag",".6894246",".0387493"
"sp75_352_ss_c_4lag","1.047494",".847735"
"sp75_382_ss_c_4lag","1.618813",".2037681"
"sp75_503_ss_c_4lag","1.023113",".0083642"
"sp75_504_ss_c_4lag",".8203806",".4057434"
"sp75_505_ss_c_4lag","1.105667",".84594"
"sp75_506_1_ss_c_4lag","1.172329",".5658186"
"sp75_506_ss_c_4lag","1.329998",".3442739"
"sp75_507_ss_c_4lag","1.126899",".276719"
"sp75_511_1_ss_c_4lag",".4311426",".17536"
"sp75_511_ss_c_4lag",".9983501",".9780762"
"sp75_512_1_ss_c_4lag","1.393416",".5024874"
"sp75_512_2_ss_c_4lag","1.010103",".9002807"
"sp75_512_ss_c_4lag","1.00302",".7667657"
"sp75_513_1_ss_c_4lag","1","."
"sp75_513_ss_c_4lag",".786659",".1842286"
"sp75_514_ss_c_4lag",".9854658",".7052161"
"sp75_515_ss_c_4lag",".9609444",".1797203"
"sp75_516_1_ss_c_4lag","1","."
"sp75_516_2_ss_c_4lag","2.470115",".0258732"
"sp75_516_ss_c_4lag","1.037249",".5071186"
"sp75_517_1_ss_c_4lag","1.345387",".4487944"
"sp75_517_ss_c_4lag",".9960263",".464379"
"sp75_518_1_ss_c_4lag",".9273627",".3853917"
"sp75_518_ss_c_4lag","1.028862",".3937835"
"sp75_519_ss_c_4lag","1","."
"sp75_520_ss_c_4lag",".9528776",".3383119"
"sp75_523_1_ss_c_4lag",".9971256",".9332219"
"sp75_523_2_ss_c_4lag","1.045053",".123242"
"sp75_523_ss_c_4lag",".9614937",".1472644"
"sp75_600_1_ss_c_4lag",".8774171",".2926149"
"sp75_600_ss_c_4lag","1","."
"sp75_601_1_ss_c_4lag",".9790069",".4304297"
"sp75_601_2_ss_c_4lag","1","."
"sp75_601_3_ss_c_4lag",".7438026",".2907239"
"sp75_601_ss_c_4lag",".9634707",".2111947"
"sp75_602_ss_c_4lag",".8695443",".0569452"
"sp75_603_ss_c_4lag","1.110817",".3445062"
"sp75_604_ss_c_4lag","1.013525",".1638626"
"sp75_605_ss_c_4lag","1.010388",".7879873"
"sp75_606_ss_c_4lag",".9755",".1357282"
"sp75_607_ss_c_4lag","1.03044",".633771"
"sp75_700_1_ss_c_4lag",".7115347",".120401"
"sp75_700_ss_c_4lag",".9772494",".8470334"
"sp75_701_1_ss_c_4lag",".9300679",".378133"
"sp75_701_2_ss_c_4lag","1.144885",".3168848"
"sp75_701_3_ss_c_4lag","1","."
"sp75_701_4_ss_c_4lag","1","."
