"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_c_lag_all",".966051",".4325716"
"sp48_11_c_lag_all","1.031076",".4498517"
"sp71_701_c_lag_all","1","."
"sp75_1001_1_c_lag_all","1.012801",".9109452"
"sp75_1001_c_lag_all","1.283051",".0834088"
"sp75_1003_1_c_lag_all","1","."
"sp75_1400_1_c_lag_all",".900105",".7729983"
"sp75_1401_1_c_lag_all","1","."
"sp75_1401_c_lag_all",".5032219",".1237661"
"sp75_1403_11_c_lag_all","1","."
"sp75_1404_1_c_lag_all",".6896573",".2732526"
"sp75_1405_1_c_lag_all",".8056963",".1359136"
"sp75_1431_c_lag_all","2.156858",".3835894"
"sp75_151_c_lag_all","1.384344",".2581975"
"sp75_1721_c_lag_all",".7387938",".0005833"
"sp75_1731_c_lag_all","1.000916",".7108181"
"sp75_1911_c_lag_all",".9970776",".7923206"
"sp75_211_c_lag_all","1.014513",".2010613"
"sp75_341_c_lag_all",".8133659",".5269383"
"sp75_506_1_c_lag_all","1.101734",".0520636"
"sp75_510_1_c_lag_all","1","."
"sp75_511_1_c_lag_all","1.034",".8715305"
"sp75_511_c_lag_all",".9585693",".1948544"
"sp75_512_1_c_lag_all","1.14361",".5847611"
"sp75_513_1_c_lag_all","1.028308",".6707218"
"sp75_516_1_c_lag_all","1.072564",".3213996"
"sp75_517_1_c_lag_all",".8794469",".4372699"
"sp75_518_1_c_lag_all","1.000408",".9779861"
"sp75_523_1_c_lag_all","1.034449",".024749"
"sp75_600_1_c_lag_all","1.014424",".8563161"
"sp75_601_1_c_lag_all","1.003552",".5935561"
"sp75_601_c_lag_all","1.008127",".5143538"
"sp75_700_1_c_lag_all","1.033228",".6212534"
"sp75_701_1_c_lag_all","1.012672",".7518646"
"sp75_701_c_lag_all","1.010941",".1950369"
"sp75_702_1_c_lag_all",".9076716",".4720795"
"sp75_703_1_c_lag_all",".9281123",".7480289"
"sp75_705_1_c_lag_all","1.06992",".7313226"
"sp75_801_c_lag_all","1.144152",".318034"
"sp75_821_c_lag_all","1.073203",".4501429"
"sp75_831_c_lag_all",".8934929",".5171929"
"sp75_901_c_lag_all","1.030476",".5248563"
"sp75_902_1_c_lag_all",".6982494",".1071981"
"sp77_1111_c_lag_all",".9706129",".8857995"
"sp77_401_c_lag_all",".9627834",".3183242"
"sp77_403_1_c_lag_all","1.171713",".0244393"
"sp77_411_c_lag_all",".4997521","6.56e-06"
"sp77_501_c_lag_all",".9856021",".8469141"
"sp77_502_1_c_lag_all","1","."
"sp77_503_1_c_lag_all",".8732433",".1741704"
"sp77_506_1_c_lag_all","1.011454",".6761563"
"sp77_508_1_c_lag_all","1.019522",".8415651"
"sp77_511_c_lag_all",".9109361",".3986793"
"sp77_601_c_lag_all","1.032333",".7964774"
"sp77_606_1_c_lag_all",".0328066",".0000108"
"sp77_700_1_c_lag_all",".707129",".0515832"
"sp77_701_1_c_lag_all",".9589781",".5440454"
"sp77_701_c_lag_all","1.005316",".7550466"
"sp75_811_c_lag_all","1.028908",".3932676"
"sp77_704_1_c_lag_all","1","."
"sp77_800_1_c_lag_all","1.238404",".0517557"
"sp77_801_1_c_lag_all","1","."
"sp77_801_c_lag_all","1","."
"sp77_807_1_c_lag_all","1.113968",".4949806"
"sp77_900_1_c_lag_all","1.075518",".5127685"
"sp77_901_1_c_lag_all","1","."
"sp77_901_c_lag_all","1.244383",".1626125"
"sp47_42_c_lag_all",".8457204",".0712295"
"sp75_1100_2_c_lag_all",".9965691",".3919191"
"sp75_1102_c_lag_all",".965157",".1131468"
"sp75_1106_2_c_lag_all",".9406413",".0544879"
"sp75_1400_2_c_lag_all","1.187591",".6342551"
"sp75_1402_2_c_lag_all","1","."
"sp75_1432_c_lag_all","1.241096",".2085379"
"sp75_1600_2_c_lag_all",".9597802",".0181941"
"sp75_1912_c_lag_all","1.04614",".6440848"
"sp75_202_c_lag_all","1.001192",".4556334"
"sp75_212_c_lag_all","1.018743",".6035193"
"sp75_312_c_lag_all",".9882321",".3113"
"sp75_342_c_lag_all",".9989362",".80464"
"sp75_352_c_lag_all","1.026612",".5410881"
"sp75_382_c_lag_all",".9428272",".2332393"
"sp75_512_2_c_lag_all",".9853439",".1744924"
"sp75_512_c_lag_all",".9996639",".9187851"
"sp75_516_2_c_lag_all",".9966674",".8569802"
"sp75_523_2_c_lag_all",".9899288",".1968908"
"sp75_601_2_c_lag_all","1.185419",".2839524"
"sp75_602_c_lag_all","1.017224",".4676657"
"sp75_701_2_c_lag_all",".9182737",".1911752"
"sp75_702_c_lag_all","1.11508",".6297598"
"sp75_703_2_c_lag_all",".8650727",".3705564"
"sp75_705_2_c_lag_all","1.714803",".3073663"
"sp75_800_2_c_lag_all",".7534029",".1867393"
"sp75_802_c_lag_all",".8030647",".0057419"
"sp75_803_2_c_lag_all",".6219649",".0001977"
"sp75_812_c_lag_all","1.09039",".4728467"
"sp75_832_c_lag_all",".7445035",".4522928"
"sp75_900_2_c_lag_all",".7939906",".3585874"
"sp75_902_2_c_lag_all","1.072625",".2622933"
"sp75_902_c_lag_all",".9975939",".797139"
"sp77_1112_c_lag_all","1.111239",".5796919"
"sp77_1432_c_lag_all",".7418874",".2503635"
"sp77_1802_c_lag_all","1","."
"sp77_202_c_lag_all",".9755699",".0658242"
"sp77_402_c_lag_all","1.01933",".5803392"
"sp77_403_2_c_lag_all","1","."
"sp77_412_c_lag_all","1.051752",".5367153"
"sp77_502_2_c_lag_all","1.050412",".1745645"
"sp77_502_c_lag_all",".9848108",".0062774"
"sp77_512_c_lag_all","1.020546",".2286406"
"sp77_602_c_lag_all","1.56335",".0494311"
"sp77_701_2_c_lag_all",".9871606",".7114859"
"sp77_702_c_lag_all","1","."
"sp77_800_2_c_lag_all","1.107818",".0494799"
"sp77_802_c_lag_all",".9812672",".8455827"
"sp77_807_2_c_lag_all","1.254387",".2108337"
"sp77_900_2_c_lag_all","1.008359",".8644428"
"sp77_902_2_c_lag_all","1","."
"sp77_902_c_lag_all",".8972452",".2901364"
"sp47_43_c_lag_all",".9971149",".9950243"
"sp72_503_c_lag_all",".999555",".9943934"
"sp75_1106_3_c_lag_all","1.003473",".75775"
"sp75_1400_3_c_lag_all",".9826675",".8101398"
"sp75_1403_3_c_lag_all","1","."
"sp75_1433_c_lag_all",".96146",".6875722"
"sp75_153_c_lag_all",".9311259",".7323992"
"sp75_1903_c_lag_all","1.0341",".6653938"
"sp75_1913_c_lag_all","1.027344",".3286562"
"sp75_503_c_lag_all","1.002566",".0858462"
"sp75_513_c_lag_all",".9156586",".0838394"
"sp75_523_c_lag_all",".9997276",".9783367"
"sp75_601_3_c_lag_all",".9396722",".7709942"
"sp75_603_c_lag_all","1.04247",".2427088"
"sp75_701_3_c_lag_all",".9167677",".3167213"
"sp75_703_3_c_lag_all","1.147381",".0872359"
"sp75_703_c_lag_all","1.011133",".4894946"
"sp75_705_3_c_lag_all","1","."
"sp75_800_3_c_lag_all",".9235023",".2515043"
"sp75_803_c_lag_all","1.100486",".0522475"
"sp75_900_3_c_lag_all",".9837026",".7303613"
"sp75_903_c_lag_all","1.009909",".668867"
"sp77_103_c_lag_all",".9462454",".7249024"
"sp77_1103_c_lag_all","1.009136",".4858632"
"sp77_1403_c_lag_all","1.041815",".7656945"
"sp77_1433_c_lag_all",".6779254",".0004169"
"sp77_203_c_lag_all",".9498991",".5654403"
"sp77_403_c_lag_all","1.006805",".961011"
"sp77_413_c_lag_all",".0010165","0"
