"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp_c_4lag",".9996937",".2213938"
"sp47_42_pp_c_4lag",".9992699",".3813499"
"sp47_44_pp_c_4lag",".9997941",".6354634"
"sp48_11_pp_c_4lag","1.000382",".2401835"
"sp48_24_pp_c_4lag",".9807266","0"
"sp48_25_pp_c_4lag","1.000107",".7936973"
"sp48_26_pp_c_4lag","1.000922",".0086447"
"sp48_27_pp_c_4lag","1.000115",".6498986"
"sp48_28_pp_c_4lag",".9997974",".6979526"
"sp48_4_pp_c_4lag","1.004211","2.29e-09"
"sp48_5_pp_c_4lag",".9996842",".6585682"
"sp48_6_pp_c_4lag","1.000273",".3181667"
"sp48_7_pp_c_4lag","1.000065",".758913"
"sp48_8_pp_c_4lag","1.000298",".4497116"
"sp71_701_pp_c_4lag","1.001268",".4434506"
"sp72_503_pp_c_4lag",".9996889",".2563794"
"sp72_610_pp_c_4lag","1.001154",".4525617"
"sp72_620_pp_c_4lag","1.001914",".0528244"
"sp72_630_pp_c_4lag","1.00004",".226246"
"sp75_100_pp_c_4lag","1.000219",".7141287"
"sp75_1001_1_pp_c_4lag",".9989011",".3381828"
"sp75_1001_pp_c_4lag","1","."
"sp75_1003_1_pp_c_4lag",".9972686",".00532"
"sp75_1100_2_pp_c_4lag","1.000045",".1589819"
"sp75_1101_20_pp_c_4lag",".9982479",".0626977"
"sp75_1102_pp_c_4lag",".9998436",".5596749"
"sp75_1103_4_pp_c_4lag","1.000063",".2617235"
"sp75_1104_pp_c_4lag",".9998907",".5469016"
"sp75_1106_2_pp_c_4lag","1.000018",".9239402"
"sp75_1106_3_pp_c_4lag","1.00004",".557131"
"sp75_1106_4_pp_c_4lag","1.000018",".9781427"
"sp75_1106_5_pp_c_4lag",".9997937",".3690641"
"sp75_1106_6_pp_c_4lag","1","."
"sp75_1106_pp_c_4lag","1.000483",".3515079"
"sp75_1107_14_pp_c_4lag","1.000367",".7839803"
"sp75_1400_1_pp_c_4lag",".9992663",".4881561"
"sp75_1400_2_pp_c_4lag","1.000417",".7176252"
"sp75_1400_3_pp_c_4lag","1.000016",".9375249"
"sp75_1400_4_pp_c_4lag",".999482",".4119331"
"sp75_1400_pp_c_4lag",".9998466",".5487175"
"sp75_1401_1_pp_c_4lag",".9993241",".8685542"
"sp75_1401_pp_c_4lag","1.001379",".1436646"
"sp75_1403_10_pp_c_4lag","1.000058",".55821"
"sp75_1403_11_pp_c_4lag",".9998121",".8779171"
"sp75_1403_3_pp_c_4lag",".998566",".5261942"
"sp75_1403_4_pp_c_4lag","1.000668",".8482165"
"sp75_1403_5_pp_c_4lag",".9999897",".846754"
"sp75_1403_6_pp_c_4lag",".9999758",".5844621"
"sp75_1403_7_pp_c_4lag",".9999649",".874467"
"sp75_1403_8_pp_c_4lag",".9999991",".989406"
"sp75_1403_9_pp_c_4lag","1.000019",".9391022"
"sp75_1404_1_pp_c_4lag",".9953551",".1770417"
"sp75_1404_pp_c_4lag",".9990975",".686084"
"sp75_1405_1_pp_c_4lag","1.002044",".1662112"
"sp75_1405_pp_c_4lag","1.000048",".5473864"
"sp75_1431_pp_c_4lag","1","."
"sp75_1432_pp_c_4lag",".9992076",".2674046"
"sp75_1433_pp_c_4lag","1.000181",".6804923"
"sp75_1434_pp_c_4lag",".9992489",".1125667"
"sp75_1435_pp_c_4lag","1.000225",".8759491"
"sp75_1437_pp_c_4lag","1.001336",".1471936"
"sp75_150_pp_c_4lag","1.001537",".0519402"
"sp75_151_pp_c_4lag","1.001116",".4034105"
"sp75_153_pp_c_4lag","1.000635",".3599501"
"sp75_156_pp_c_4lag","1.001027",".3135988"
"sp75_160_pp_c_4lag","1.001397",".378748"
"sp75_1600_2_pp_c_4lag",".9998774",".2754557"
"sp75_1712_10_pp_c_4lag",".9994677",".2045049"
"sp75_1712_6_pp_c_4lag",".9999553",".8380737"
"sp75_1720_pp_c_4lag",".9999792",".8960071"
"sp75_1721_pp_c_4lag","1.0045",".0061782"
"sp75_1725_pp_c_4lag","1.000024",".174775"
"sp75_1726_pp_c_4lag","1.000339",".4533053"
"sp75_1727_pp_c_4lag",".8614775","0"
"sp75_1728_pp_c_4lag","1.000212",".8710436"
"sp75_1729_pp_c_4lag","1.000255",".629702"
"sp75_1730_pp_c_4lag","1.001002",".082766"
"sp75_1731_pp_c_4lag","1.000003",".8125962"
"sp75_1903_pp_c_4lag","1.000085",".6947308"
"sp75_1909_pp_c_4lag",".9999817",".5762199"
"sp75_1910_pp_c_4lag",".9999909",".8651954"
"sp75_1911_pp_c_4lag",".9999705",".63223"
"sp75_1912_pp_c_4lag",".9997644",".6596227"
"sp75_1913_pp_c_4lag","1.000476",".4516748"
"sp75_1914_pp_c_4lag","1.000051",".1667342"
"sp75_1915_pp_c_4lag","1.00082",".1723237"
"sp75_202_pp_c_4lag",".9999851",".1080047"
"sp75_208_pp_c_4lag","1.000061",".4116598"
"sp75_211_pp_c_4lag","1.000018",".8132347"
"sp75_212_pp_c_4lag",".9999201",".6582673"
"sp75_214_pp_c_4lag","1.000084",".5676728"
"sp75_312_pp_c_4lag","1.000086",".6048301"
"sp75_320_pp_c_4lag",".9998401",".038945"
"sp75_324_pp_c_4lag",".9997129",".4068614"
"sp75_337_pp_c_4lag","1.000036",".789768"
"sp75_340_pp_c_4lag","1.000015",".7647667"
"sp75_341_pp_c_4lag",".9991349",".7059585"
"sp75_342_pp_c_4lag","1.000009",".7247085"
"sp75_344_pp_c_4lag",".9998469",".7726384"
"sp75_352_pp_c_4lag",".9997607",".3268549"
"sp75_382_pp_c_4lag","1.000084",".7200506"
"sp75_503_pp_c_4lag",".9999924",".5990985"
"sp75_504_pp_c_4lag",".9998956",".8029619"
"sp75_505_pp_c_4lag","1.001003",".1173878"
"sp75_506_1_pp_c_4lag","1.001134",".0149088"
"sp75_506_pp_c_4lag",".9994617",".1243084"
"sp75_507_pp_c_4lag",".99974",".2155838"
"sp75_511_1_pp_c_4lag","1","."
"sp75_511_pp_c_4lag","1.000139",".5760692"
"sp75_512_1_pp_c_4lag",".9992242",".6034604"
"sp75_512_2_pp_c_4lag","1.000132",".0624748"
"sp75_512_pp_c_4lag","1.000011",".6352284"
"sp75_513_1_pp_c_4lag","1.000142",".8464832"
"sp75_513_pp_c_4lag",".9999745",".9368204"
"sp75_514_pp_c_4lag","1.000037",".6094751"
"sp75_515_pp_c_4lag",".9998903",".0324459"
"sp75_516_1_pp_c_4lag",".9987683",".2964165"
"sp75_516_2_pp_c_4lag",".9999344",".6661424"
"sp75_516_pp_c_4lag",".9999696",".71158"
"sp75_517_1_pp_c_4lag","1.001817",".0135529"
"sp75_517_pp_c_4lag","1.000003",".8543736"
"sp75_518_1_pp_c_4lag","1.000038",".6676216"
"sp75_518_pp_c_4lag",".9999897",".870486"
"sp75_519_pp_c_4lag","1.002757",".1481366"
"sp75_520_pp_c_4lag","1.000165",".2121851"
"sp75_523_1_pp_c_4lag",".9993794",".0018441"
"sp75_523_2_pp_c_4lag",".9999326",".6501096"
"sp75_523_pp_c_4lag",".9998537",".4945905"
"sp75_600_1_pp_c_4lag",".9995416",".6536681"
"sp75_600_pp_c_4lag","1.000562",".6414697"
"sp75_601_1_pp_c_4lag",".9999484",".450452"
"sp75_601_2_pp_c_4lag",".9997247",".7835171"
"sp75_601_3_pp_c_4lag",".9999468",".9442914"
"sp75_601_pp_c_4lag","1.000115",".1494988"
"sp75_602_pp_c_4lag",".9998308",".5321634"
"sp75_603_pp_c_4lag",".9998123",".4693298"
"sp75_604_pp_c_4lag","1.000045",".053895"
"sp75_605_pp_c_4lag","1.000169",".0873495"
"sp75_606_pp_c_4lag",".9999902",".7945116"
"sp75_607_pp_c_4lag","1.000081",".7168023"
"sp75_700_1_pp_c_4lag",".9989531",".2202569"
"sp75_700_pp_c_4lag",".9995612",".2066474"
"sp75_701_1_pp_c_4lag",".9997581",".4361158"
"sp75_701_2_pp_c_4lag","1.000165",".5642459"
"sp75_701_3_pp_c_4lag","1.000657",".11632"
"sp75_701_4_pp_c_4lag","1.00224",".0051502"
"sp75_701_pp_c_4lag","1.000007",".9092422"
"sp75_702_1_pp_c_4lag","1.00078",".3824122"
"sp75_702_pp_c_4lag",".9990673",".5226825"
"sp75_703_1_pp_c_4lag",".9992473",".6216008"
"sp75_703_2_pp_c_4lag","1.002441",".2482117"
"sp75_703_3_pp_c_4lag","1.000192",".6353837"
"sp75_703_4_pp_c_4lag",".994656",".0322844"
"sp75_703_pp_c_4lag","1.000332",".0353249"
"sp75_704_pp_c_4lag",".9993651",".5122508"
