"","est1",""
"","b","p"
"dv","",""
"sp47_41_ss",".7098382",".2503221"
"sp47_44_ss",".5626459",".3287387"
"sp48_11_ss",".9703487",".6231263"
"sp48_25_ss",".9156533",".3788469"
"sp48_26_ss","1.187062",".0572229"
"sp48_27_ss","1.077935",".3593467"
"sp48_28_ss",".956758",".6607816"
"sp48_4_ss","1.487346",".653226"
"sp48_5_ss",".9449574",".5857478"
"sp48_6_ss",".9475151",".5834522"
"sp48_7_ss","1.111289",".0832617"
"sp48_8_ss","1.048907",".7190072"
"sp71_701_ss","2.639765","5.89e-06"
"sp72_503_ss",".8833069",".4848491"
"sp72_610_ss",".6326321",".078982"
"sp72_620_ss","1.484522",".0651372"
"sp72_630_ss","1.013861",".1622699"
"sp75_100_ss",".8899014",".6632222"
"sp75_1001_1_ss","1.179675",".8105088"
"sp75_1001_ss","1.399956",".521198"
"sp75_1003_1_ss",".4485426",".0000586"
"sp75_1100_2_ss","1.012648",".3922822"
"sp75_1101_20_ss",".6960222",".0060386"
"sp75_1102_ss",".9640165",".5401259"
"sp75_1103_4_ss","1.068135",".0364672"
"sp75_1104_ss","1.004213",".9760125"
"sp75_1106_2_ss",".8985197",".0609322"
"sp75_1106_3_ss","1.073517",".0031868"
"sp75_1106_4_ss","1.190944",".3282572"
"sp75_1106_5_ss",".9484079",".4992157"
"sp75_1106_6_ss",".6655663",".3906401"
"sp75_1106_ss","1.005629",".9507535"
"sp75_1107_14_ss","1.912721",".0086796"
"sp75_1400_1_ss",".8424162",".3663532"
"sp75_1400_2_ss",".4007767",".0207753"
"sp75_1400_3_ss",".9792278",".8731788"
"sp75_1400_4_ss",".7702489",".1772854"
"sp75_1400_ss","1.049704",".3494525"
"sp75_1401_ss",".9479942",".8557665"
"sp75_1403_10_ss","1.012848",".4397116"
"sp75_1403_11_ss",".7292598",".585043"
"sp75_1403_3_ss","1.335784",".5654063"
"sp75_1403_4_ss","1.617726",".2844622"
"sp75_1403_5_ss",".9785825",".0429102"
"sp75_1403_6_ss",".9954282",".7226222"
"sp75_1403_7_ss","1.066991",".107134"
"sp75_1403_8_ss",".984535",".3252061"
"sp75_1403_9_ss",".9291451",".5240104"
"sp75_1404_1_ss",".5513029",".0519222"
"sp75_1404_ss","1.571163",".3194382"
"sp75_1405_1_ss","2.169558",".0540154"
"sp75_1405_ss",".9785319",".2020908"
"sp75_1431_ss","1.685043",".1319574"
"sp75_1432_ss","3.50e-09","0"
"sp75_1433_ss","1.127986",".3427578"
"sp75_1434_ss","1.189198",".0470612"
"sp75_1435_ss",".2703878",".0283035"
"sp75_1437_ss","1.182965",".5228866"
"sp75_150_ss","1.286753",".2889171"
"sp75_151_ss",".8903898",".5622494"
"sp75_153_ss",".7618017",".7478469"
"sp75_155_ss","1.50181",".004396"
"sp75_156_ss","1.676202",".0823763"
"sp75_1600_2_ss",".8979783",".46774"
"sp75_1712_10_ss","1.026921",".8413492"
"sp75_1712_6_ss",".946652",".8809862"
"sp75_1720_ss","1.026129",".5116045"
"sp75_1721_ss","5.63e-10","0"
"sp75_1725_ss","1.001949",".6579765"
"sp75_1726_ss","1.086569",".4153534"
"sp75_1727_ss","1","."
"sp75_1728_ss","1.666222",".0009841"
"sp75_1729_ss","1.113551",".5401924"
"sp75_1730_ss",".8531979",".3329165"
"sp75_1731_ss","1.00175",".7021899"
"sp75_1903_ss","1.063591",".7089128"
"sp75_1909_ss","1.014187",".3450668"
"sp75_1910_ss","1.039941",".1202353"
"sp75_1911_ss",".9213453",".0494296"
"sp75_1912_ss","1.065454",".8492202"
"sp75_1913_ss","1.224847",".0001864"
"sp75_1914_ss","1.007469",".5826515"
"sp75_1915_ss","1.398428",".0559836"
"sp75_202_ss","1.002146",".474838"
"sp75_208_ss","1.012172",".5172897"
"sp75_211_ss","1.00893",".6955762"
"sp75_212_ss",".9612892",".383124"
"sp75_214_ss","1.055631",".7186308"
"sp75_312_ss","1.112748",".5014696"
"sp75_320_ss","1.01308",".7898905"
"sp75_324_ss",".948764",".4552516"
"sp75_337_ss","1.065937",".0455516"
"sp75_340_ss",".9989891",".950685"
"sp75_342_ss","1.006015",".5398094"
"sp75_344_ss",".8780632",".1538507"
"sp75_352_ss",".9471958",".3989566"
"sp75_382_ss","1.10154",".4286893"
"sp75_503_ss",".9944871",".2805965"
"sp75_504_ss",".5619644",".0135349"
"sp75_505_ss","1.062298",".7768112"
"sp75_506_1_ss","1.297783",".307757"
"sp75_506_ss",".9216907",".6320643"
"sp75_507_ss","1.061292",".4731778"
"sp75_511_1_ss",".3477203",".0015954"
"sp75_511_ss","1.1403",".0152251"
"sp75_512_1_ss","1.647524",".0822174"
"sp75_512_2_ss",".9989334",".9794976"
"sp75_512_ss","1.008388",".2692385"
"sp75_513_1_ss","1.380341",".358426"
"sp75_513_ss",".7532839",".0187123"
"sp75_514_ss","1.037261",".173022"
"sp75_515_ss",".9353671",".0242616"
"sp75_516_1_ss",".6794438",".1322798"
"sp75_516_2_ss",".9722718",".8939882"
"sp75_516_ss","1.112333",".0012582"
"sp75_517_1_ss",".8598718",".4756233"
"sp75_517_ss","1.00172",".7051209"
"sp75_518_1_ss",".8661711",".0562651"
"sp75_518_ss","1.037318",".0974086"
"sp75_519_ss","1.13764",".8326142"
"sp75_520_ss",".9878204",".7552966"
"sp75_523_1_ss",".9871556",".6979331"
"sp75_523_2_ss","1.011041",".7010751"
"sp75_523_ss",".9304201",".0481138"
"sp75_600_1_ss",".7581752",".0843642"
"sp75_600_ss",".550849",".000073"
"sp75_601_1_ss","1.014403",".5431419"
"sp75_601_2_ss",".9243252",".8150257"
"sp75_601_3_ss","1.043648",".905134"
"sp75_601_ss",".9888578",".6473066"
"sp75_602_ss","1.042642",".4824892"
"sp75_603_ss",".9771087",".7598827"
"sp75_604_ss","1.017703",".0062186"
"sp75_605_ss","1.012683",".6870147"
"sp75_606_ss",".9848219",".4229373"
"sp75_607_ss",".9749927",".6880011"
"sp75_700_1_ss",".4490283",".0012742"
"sp75_700_ss",".9544789",".4521164"
"sp75_701_1_ss",".9731572",".6513042"
"sp75_701_2_ss","1.115835",".2841008"
"sp75_701_3_ss","1.083883",".557428"
"sp75_701_4_ss","2.966731",".011557"
"sp75_701_5_ss",".823994",".0507803"
"sp75_701_ss","1.039942",".063568"
"sp75_703_2_ss",".9649724",".8739779"
"sp75_703_3_ss","1.046188",".6206823"
"sp75_703_ss",".9963305",".9444164"
"sp75_704_ss","1.611107",".2350959"
"sp75_705_1_ss",".9352457",".5217738"
"sp75_705_8_ss","4.34e-09","0"
"sp75_705_ss","1.139169",".3334783"
"sp75_706_ss",".8249395",".1360034"
"sp75_800_2_ss","2.16e-10","0"
"sp75_800_3_ss",".6078347",".285191"
"sp75_800_4_ss","3.849086",".0002954"
"sp75_800_ss",".9320229",".4514474"
"sp75_801_ss",".5590001",".0175798"
"sp75_802_ss",".6991793",".2097886"
"sp75_803_2_ss","1.261298",".329998"
"sp75_803_ss","1.13888",".1282212"
"sp75_804_ss",".9245386",".2040165"
"sp75_805_ss",".5156846",".0006047"
"sp75_806_ss",".6009696",".0035046"
"sp75_807_ss","1.042081",".092611"
"sp75_808_ss","1.141132",".3207971"
"sp75_809_ss",".9930969",".9089339"
"sp75_810_ss","1.174378",".1244786"
"sp75_811_ss",".9740117",".8325173"
"sp75_812_ss",".7239794",".1185485"
"sp75_814_ss",".8541295",".1464846"
"sp75_815_ss","1.721602",".1831436"
"sp75_816_ss","1.146658",".0614677"
"sp75_818_ss","1.57109",".1205407"
"sp75_819_ss","1.201136",".6294409"
"sp75_820_ss","1.006143",".9436569"
"sp75_821_ss","1.468288",".2176564"
"sp75_825_ss",".9783618",".9055477"
"sp75_827_ss","1.246981",".585133"
"sp75_831_ss",".8296194",".2621524"
"sp75_900_2_ss",".854272",".5010478"
"sp75_900_3_ss",".9586682",".7259448"
"sp75_900_4_ss","1.184551",".3086181"
"sp75_900_ss",".9737481",".3503885"
"sp75_901_ss",".9222087",".4796092"
"sp75_902_1_ss","1.04294",".8269171"
"sp75_902_2_ss","1.169644",".123961"
"sp75_902_4_ss","1.035057",".675994"
"sp75_902_ss","1.053497",".1131691"
"sp75_903_ss","1.037747",".4032002"
"sp75_904_ss","1.01402",".2761606"
"sp75_905_ss",".4548656",".0001053"
"sp75_907_ss",".8115748",".2551799"
"sp77_103_ss",".9538865",".6561701"
"sp77_1103_ss",".9187717",".2804442"
"sp77_1104_ss","1.018096",".1908703"
"sp77_1106_ss","1.21e-10","0"
"sp77_1111_ss","1.009488",".9774372"
"sp77_1112_ss","1.087487",".3332182"
