"","est1",""
"","b","p"
"dv","",""
"sp47_41",".9669689",".3779834"
"sp48_11",".9946192",".9063321"
"sp71_701","2.111674",".0611991"
"sp75_1001",".6986127",".1494466"
"sp75_1001_1",".9986336",".9921607"
"sp75_1003_1",".8831302",".4706322"
"sp75_1400_1",".920608",".7815301"
"sp75_1401","1.050448",".7895226"
"sp75_1401_1",".8995539",".7488779"
"sp75_1403_11","1.955741",".0066561"
"sp75_1404_1",".6951637",".3913323"
"sp75_1405_1","1.328228",".0320552"
"sp75_1431","1.305196",".2538186"
"sp75_151","1.898129",".1136485"
"sp75_1721",".5294986",".4555195"
"sp75_1731",".9999018",".9673881"
"sp75_1911",".9978662",".8152032"
"sp75_211","1.005621",".73672"
"sp75_341","1.037851",".8957015"
"sp75_506_1","1.232512",".0004401"
"sp75_510_1","1.623726",".3638992"
"sp75_511","1.039155",".3288849"
"sp75_511_1",".2825037",".0000817"
"sp75_512_1","1.336361",".1583151"
"sp75_513_1","1.087933",".3209983"
"sp75_516_1",".9442114",".6202475"
"sp75_517_1","1.036717",".7290864"
"sp75_518_1","1.000223",".9878965"
"sp75_523_1",".9986347",".9564499"
"sp75_600_1",".9479077",".7248002"
"sp75_601","1.022716",".1009235"
"sp75_601_1","1.006765",".5717255"
"sp75_700_1",".8614337",".2101629"
"sp75_701","1.015737",".1060831"
"sp75_701_1",".9112831",".0097376"
"sp75_702_1",".9169514",".5051855"
"sp75_703_1",".6878095",".1910918"
"sp75_705_1",".8931621",".2762105"
"sp75_801",".7895933",".3294999"
"sp75_811",".9881252",".7353943"
"sp75_821","1.146796",".0035127"
"sp75_831",".7642652",".4316258"
"sp75_901","1.069994",".352833"
"sp75_902_1","1.253141",".0982955"
"sp77_1111",".9695965",".8303201"
"sp77_401","1.067888",".2501684"
"sp77_403_1","1.051543",".5904769"
"sp77_411",".8990939",".829736"
"sp77_501",".9353898",".4094052"
"sp77_502_1","1.001625",".9977844"
"sp77_503_1","1.03114",".8842633"
"sp77_506_1","1.008812",".789034"
"sp77_508_1","1.011605",".9312384"
"sp77_511",".8689347",".3276475"
"sp77_601",".8880165",".3885703"
"sp77_606_1",".5902726",".0273124"
"sp77_700_1","1.275116",".2171537"
"sp77_701","1.009022",".7391932"
"sp77_701_1",".8610765",".2911906"
"sp77_704_1","1.088153",".6081957"
"sp77_800_1","1.101987",".4522072"
"sp77_801",".7193924",".3115433"
"sp77_801_1","2.08e-09","0"
"sp77_807_1",".7231715",".2360622"
"sp77_900_1","1.652921",".0504192"
"sp77_901","1.017866",".8682877"
"sp77_901_1",".4146062",".0022694"
"sp47_42",".8068701",".0471228"
"sp75_1100_2","1.00626",".239834"
"sp75_1102","1.005896",".882783"
"sp75_1106_2","1.021879",".5389037"
"sp75_1400_2","1.146342",".2471418"
"sp75_1402_2",".9280067",".7963622"
"sp75_1432",".9049775",".3896857"
"sp75_1600_2",".9948384",".7871749"
"sp75_1912",".9056237",".1931022"
"sp75_202","1.002065",".3294324"
"sp75_212",".9457333",".0134995"
"sp75_312","1.039769",".1216642"
"sp75_342","1.003571",".5297617"
"sp75_352",".945359",".186187"
"sp75_382","1.012171",".7756903"
"sp75_512","1.00031",".927776"
"sp75_512_2","1.008559",".4970099"
"sp75_516_2","1.050701",".0076272"
"sp75_523_2",".9907448",".659414"
"sp75_601_2",".9922831",".9640775"
"sp75_602",".9935141",".8469793"
"sp75_701_2","1.025093",".6714223"
"sp75_702",".4743142",".2661051"
"sp75_703_2",".8645448",".3005706"
"sp75_705_2","1.191284",".4605767"
"sp75_800_2",".6331697",".0951845"
"sp75_802",".9357079",".5867137"
"sp75_803_2","1.31925",".1084654"
"sp75_812",".9903082",".9524574"
"sp75_832",".7162115",".6501031"
"sp75_900_2",".9625597",".7974965"
"sp75_902",".9921355",".7063575"
"sp75_902_2","1.049492",".3938311"
"sp77_1112",".9648034",".6490391"
"sp77_1432",".9127432",".665705"
"sp77_1802",".9329728",".7779683"
"sp77_202",".9637231",".022472"
"sp77_402","1.034975",".19333"
"sp77_403_2","2.7999",".0095669"
"sp77_412","1.096723",".1321877"
"sp77_502",".9923787",".4124133"
"sp77_502_2",".999954",".999153"
"sp77_512",".9646416",".0310794"
"sp77_602","1.100548",".6682747"
"sp77_701_2",".8990901",".4165178"
"sp77_702",".3789131",".0227927"
"sp77_800_2","1.012559",".8715872"
"sp77_802",".7707427",".3345843"
"sp77_807_2","1.028571",".8428431"
"sp77_900_2","1.024875",".7974916"
"sp77_902","1.109217",".3471493"
"sp77_902_2","1","."
"sp47_43","2.011543",".0241337"
"sp72_503",".9145878",".0270642"
"sp75_1106_3","1.033076",".0044464"
"sp75_1400_3","1.054368",".270403"
"sp75_1403_3",".6489105",".0306751"
"sp75_1433","1.041251",".470726"
"sp75_153","1.364179",".0533319"
"sp75_1903",".9616096",".106843"
"sp75_1913",".9872374",".7777997"
"sp75_503","1.000537",".8534096"
"sp75_513",".9447486",".3003351"
"sp75_523",".9692605",".2846205"
"sp75_601_3","1.093486",".6203312"
"sp75_603","1.046845",".5765055"
"sp75_701_3","1.049869",".3471629"
"sp75_703","1.01734",".5224171"
"sp75_703_3","1.004428",".9344764"
"sp75_705_3",".6863781",".0437206"
"sp75_800_3","1.014749",".8830443"
"sp75_803",".9812654",".7931155"
"sp75_900_3","1.026763",".6742"
"sp75_903","1.043669",".1945597"
"sp77_103",".8512629",".4250503"
"sp77_1103",".9991877",".9598357"
"sp77_1403","1.039987",".5971657"
"sp77_1433",".9383593",".7416655"
"sp77_203","1.030728",".7962594"
"sp77_403","1.502568",".01425"
"sp77_413","1.08123",".2214932"
"sp77_503","1.109867",".2982831"
"sp77_513","1.014463",".6446725"
"sp77_603","1.759973",".0000671"
"sp77_701_3",".849806",".6034816"
"sp77_703",".9077453",".7303729"
"sp77_803",".9353177",".8951108"
"sp77_807_3","1.067541",".6330893"
"sp77_902_3","1.291233",".1105113"
"sp77_903",".9296592",".6443745"
"sp47_44",".9150515",".0475826"
"sp48_24",".0108497","0"
"sp48_4","1.474956",".6300659"
"sp75_1103_4","1.020323",".0760683"
"sp75_1104","1.027979",".2927603"
"sp75_1106_4","1.079724",".3396133"
"sp75_1107_14","1.400852",".3118328"
"sp75_1400_4",".9756043",".7462496"
"sp75_1403_4","1.205651",".2357887"
"sp75_1404","1.253663",".4771075"
"sp75_1434",".9791073",".7602103"
"sp75_1914","1.000214",".9656489"
"sp75_214","1.014386",".5887604"
"sp75_324",".9808129",".6841594"
"sp75_344","1.07204",".2916383"
"sp75_504",".8574011",".0867029"
"sp75_514","1.020523",".1195022"
"sp75_604","1.0143",".0042447"
"sp75_701_4","1.411586",".0827302"
"sp75_703_4","8.64e-10","0"
"sp75_704","1.097043",".510137"
"sp75_800_4","1.08753",".1805362"
"sp75_804",".9515616",".2383772"
"sp75_814","1.045468",".6797377"
"sp75_834","2.93e-10","0"
"sp75_900_4","1.005846",".7872203"
"sp75_902_4","1.021933",".6138896"
"sp75_904","1.001654",".8396506"
"sp77_104",".6924316",".103449"
"sp77_1104","1.004515",".4681433"
"sp77_1434","1.329672",".0402729"
"sp77_204",".9761867",".3543149"
"sp77_314",".2336302",".0007519"
"sp77_404",".9867816",".1184272"
"sp77_504",".9440535",".060825"
"sp77_514",".8898486",".207542"
"sp77_604","1.031249",".7548615"
"sp77_701_4","1.093545",".5183425"
"sp77_704",".8160381",".5180036"
"sp77_804","1.560962",".0596949"
"sp77_904","1.002556",".9275224"
"sp48_25",".9346561",".3461567"
"sp48_5","1.036478",".7206339"
"sp75_1106_5","1.026295",".4882708"
"sp75_1403_5",".9976986",".7970976"
"sp75_1405",".9905105",".4946938"
"sp75_1435",".788985",".3766551"
"sp75_155",".8895372",".6389492"
"sp75_1725","1.003272",".4223117"
"sp75_1915","1.110351",".2512341"
"sp75_505","1.115201",".2940559"
"sp75_515",".9721287",".0008985"
"sp75_605","1.000453",".977848"
"sp75_701_5",".8754179",".0896034"
"sp75_705","1.382082",".0244943"
"sp75_805","1.044856",".7695929"
"sp75_815","1.157944",".0808036"
"sp75_825","1.057138",".5880862"
"sp75_905",".642357",".0002726"
"sp77_1605",".9878856",".1192747"
"sp77_1915",".863663",".1223998"
"sp77_205",".9997286",".9682024"
"sp77_305","1.13077",".8181393"
"sp77_315",".2534312",".0568201"
"sp77_405","1.025377",".774851"
"sp77_505","1.008953",".6632835"
"sp77_515","1.075112",".7536701"
"sp77_605",".3680107",".0323096"
"sp77_705","1.073846",".2100853"
"sp77_805",".7876404",".2540293"
"sp48_26","1.125967",".0561559"
"sp48_6",".9973683",".9562494"
