"","est1",""
"","b","p"
"dv_indicator","",""
"p48_pp_c_4lag","1.000489",".3396109"
"p75_pp_c_4lag","1.000058","2.59e-08"
"mine_time","1.001398",".612322"
"onsite_insp_hours","1.001838",".0001787"
"longwall",".6325204",".0282798"
"1.state",".8944413",".7937546"
"2.state","2.016972","1.26e-11"
"3.state","1.0689",".7314669"
"4.state","2.37697",".0090008"
"5.state",".9797768",".9207883"
"6.state",".6259969","1.86e-06"
"7.state","1.217739",".5698494"
"8.state",".3119836","3.52e-07"
"9.state","1","."
"10.state",".8771426",".5952611"
"11.state","1.633992",".1092472"
"12.state","1.086512",".5679935"
"13.state","1.365651",".3961959"
"14.state",".3847902",".0004496"
"15.state",".5509094","8.18e-08"
"16.state","1","."
"17.state","1","."
"29.time","1.361706",".0442057"
"30.time","1.331176",".0626939"
"31.time","1.567631",".0036412"
"32.time","1.266116",".1277776"
"33.time","1.141511",".4237637"
"34.time","1.125148",".4571477"
"35.time","1.076743",".6245955"
"36.time","1","."
"37.time","1.011057",".9481312"
"38.time",".9783601",".8974456"
"39.time","1.058315",".734424"
"40.time",".8275913",".2628004"
"41.time","1.020954",".9083594"
"42.time",".9176635",".6092908"
"43.time","1.26911",".1751723"
"44.time",".7709908",".1531036"
"45.time",".8399772",".2853741"
"46.time",".9981455",".9914522"
"47.time","1.309105",".1271202"
"48.time",".8124718",".2350522"
"49.time",".899941",".5339133"
"50.time",".9961282",".9820346"
"51.time",".9543189",".796593"
"52.time",".4904345",".0000633"
"53.time",".8032951",".2237235"
"54.time",".804733",".2519628"
"55.time",".8486044",".3870099"
"56.time",".5160574",".0005642"
"57.time",".6471102",".0316449"
"58.time",".651028",".0259914"
"59.time",".7109925",".1004461"
"60.time",".827642",".3599571"
"61.time",".6414237",".0262431"
"62.time",".5120952",".0011582"
"63.time",".933689",".7406403"
"64.time",".5941124",".0130969"
"N","12699",""
