"","est1",""
"","b","p"
"dv_indicator","",""
"p48_ss_c_4lag","1.109771",".1459935"
"p75_ss_c_4lag","1.011686","3.79e-13"
"mine_time","1.001139",".6660827"
"onsite_insp_hours","1.003162","5.67e-12"
"longwall",".7361817",".1344406"
"1.state","1.194363",".6403637"
"2.state","2.125798","0"
"3.state","2.113635",".0000326"
"4.state","4.453091","4.16e-07"
"5.state","1.642131",".0249759"
"6.state","1","."
"7.state","1.872153",".0528804"
"8.state",".9085572",".4729207"
"9.state","4.759309","0"
"10.state","1.455094",".0956847"
"11.state","3.754387",".0004465"
"12.state","1.914756","2.67e-08"
"13.state","2.112311",".0040174"
"14.state",".5835299",".0647515"
"15.state","1.061704",".4497645"
"16.state","1.774995","9.19e-14"
"17.state","7.452164","0"
"4.time","1.803571",".0006319"
"5.time","2.185203",".0000113"
"6.time","2.25068","1.47e-06"
"7.time","2.609742","1.61e-08"
"8.time","2.126161","9.03e-06"
"9.time","2.283614","1.13e-06"
"10.time","1.985766",".0000516"
"11.time","2.786184","1.31e-09"
"12.time","1.910462",".0001386"
"13.time","2.057685",".0000571"
"14.time","2.215342",".0000113"
"15.time","3.396883","4.00e-11"
"16.time","1.750732",".0013515"
"17.time","1.822137",".0005011"
"18.time","1.613192",".0055679"
"19.time","1.851953",".0002631"
"20.time","1.438318",".0261562"
"21.time","1.526534",".0132152"
"22.time","1.563829",".0077347"
"23.time","1.735205",".00105"
"24.time","1.238885",".1937934"
"25.time","1.536313",".009136"
"26.time","1.377482",".0545144"
"27.time","1.65098",".0018798"
"28.time","1.312676",".1112784"
"29.time","1.089475",".5877609"
"30.time","1.115572",".4877167"
"31.time","1.420868",".0272132"
"32.time","1.172345",".3153192"
"33.time","1.110817",".5318716"
"34.time","1.108941",".5208326"
"35.time","1.065968",".67512"
"36.time","1","."
"37.time","1.027733",".8716903"
"38.time",".997275",".9871477"
"39.time","1.084541",".6285643"
"40.time",".8378014",".2973864"
"41.time","1.029497",".8729085"
"42.time",".9095718",".5753775"
"43.time","1.237311",".2345636"
"44.time",".7382798",".1005475"
"45.time",".8073925",".1987319"
"46.time",".9671315",".8499101"
"47.time","1.294168",".1482554"
"48.time",".8051178",".2190116"
"49.time",".8965744",".5211518"
"50.time","1.000374",".9982921"
"51.time",".9709518",".8721375"
"52.time",".4972023",".0001051"
"53.time",".8176345",".2702062"
"54.time",".8226978",".3090975"
"55.time",".8598961",".4330536"
"56.time",".5531081",".0021517"
"57.time",".6481435",".0368382"
"58.time",".6487163",".0277296"
"59.time",".7204421",".1203721"
"60.time",".8356695",".3901982"
"61.time",".6453104",".031277"
"62.time",".5035105",".0010523"
"63.time",".9347967",".7504427"
"64.time",".5794107",".0108664"
"N","22214",""
