"","est1",""
"","b","p"
"dv_indicator","",""
"p48_c_lag_all","1.033146",".059368"
"p75_c_lag_all","1.000297",".026875"
"mine_time",".9985975",".7183539"
"onsite_insp_hours","1.003714","3.84e-14"
"longwall","1.258829",".2329016"
"1.state","1.111471",".7778832"
"3.state","1.298679",".1471374"
"4.state","4.637967","5.11e-07"
"5.state","2.013436",".0614251"
"6.state","1","."
"7.state","2.299368",".0237373"
"8.state","1","."
"9.state","1.848127","2.58e-07"
"10.state","1.352024",".1601379"
"11.state","3.912723",".0000436"
"12.state","1.818509","1.10e-06"
"13.state","1.77075",".0063568"
"14.state",".3616819",".0003061"
"15.state","1.122809",".1845785"
"16.state","1.704996","6.32e-11"
"17.state","2.21146",".0033423"
"1.time","1","."
"2.time","1.478984",".0033016"
"3.time","1.572493",".001465"
"4.time",".7768119",".0591799"
"5.time",".9654005",".8009628"
"6.time",".9644338",".7953451"
"7.time","1.214645",".2030138"
"8.time",".9646997",".8114988"
"9.time","1.066731",".6645625"
"10.time",".886092",".4341739"
"11.time","1.275013",".1367976"
"12.time",".8015561",".1605184"
"13.time",".9257316",".6629536"
"14.time",".9456104",".7480422"
"15.time","1.414482",".0410859"
"16.time",".7380561",".0807242"
"17.time",".765196",".1072985"
"18.time",".7037508",".0334354"
"19.time",".7333203",".0671591"
"20.time",".5807834",".0009938"
"21.time",".7079488",".0434729"
"22.time",".6164569",".003748"
"23.time",".7192662",".0611637"
"24.time",".5331718",".0003035"
"25.time",".6667382",".0284516"
"26.time",".5505837",".000421"
"27.time",".6678398",".0205311"
"28.time",".5609106",".0012954"
"29.time",".524456",".0002511"
"30.time",".4513693","7.89e-06"
"31.time",".5740009",".00212"
"32.time",".4619317","8.23e-06"
"33.time",".4526233",".0000127"
"34.time",".4622931",".0000383"
"35.time",".4369722","3.12e-06"
"36.time",".445252","4.51e-06"
"37.time",".5077369",".0001887"
"38.time",".5166462",".0007592"
"39.time",".4021412","4.22e-06"
"40.time",".4429716",".0000169"
"41.time",".4241696",".0000349"
"42.time",".4415193",".0000301"
"43.time",".6203929",".0214299"
"44.time",".3729635","2.22e-06"
"45.time",".4278952",".0000369"
"46.time",".4028842",".00001"
"47.time",".5349725",".0015851"
"48.time",".4300527",".0000412"
"49.time",".3378053","7.24e-08"
"50.time",".461474",".0002391"
"51.time",".4145356",".0000582"
"52.time",".1697633","4.22e-15"
"53.time",".3585785",".0000112"
"54.time",".3479",".0000112"
"55.time",".2752545","1.22e-07"
"56.time",".2162896","4.49e-10"
"57.time",".285637","1.73e-06"
"58.time",".2394516","2.64e-08"
"59.time",".2652639","1.39e-07"
"60.time",".3887027",".0004534"
"61.time",".2777393","3.24e-07"
"62.time",".1657388","3.46e-12"
"63.time",".3131486",".0000126"
"64.time",".1859788","1.03e-09"
"N","19144",""
