"","est1",""
"","b","p"
"dv","",""
"p48_pp","1.000062",".8389112"
"p75_pp","1.000037","1.62e-06"
"mine_time","1.000859",".5242881"
"onsite_insp_hours",".9994336",".0000116"
"longwall",".7542943",".0000362"
"1.state","1.169118",".1550001"
"2.state","1.684396","0"
"3.state",".7431791",".00934"
"4.state","1.106724",".2744251"
"5.state",".8135468",".0266189"
"6.state",".8350412",".0003739"
"7.state","1.138093",".3976717"
"8.state",".5426204","0"
"9.state",".7729279",".0003073"
"10.state",".9194202",".4261546"
"11.state","1.345546",".1991262"
"12.state","1.14579",".0795695"
"13.state","1.482187",".0094088"
"14.state",".5272176",".0007342"
"15.state",".7164444","2.63e-07"
"16.state","1","."
"17.state",".7533404",".0000479"
"29.time","1.243336",".0010043"
"30.time","1.241942",".0028628"
"31.time","1.438549","7.47e-08"
"32.time","1.173645",".0092651"
"33.time","1.123255",".0545664"
"34.time","1.112176",".1060564"
"35.time","1.221806",".0004328"
"36.time","1","."
"37.time","1.008443",".8806131"
"38.time",".9919553",".9041578"
"39.time","1.105474",".0867152"
"40.time",".950898",".4317585"
"41.time",".9393939",".3803988"
"42.time",".9570465",".6283924"
"43.time","1.176309",".0134444"
"44.time",".948787",".4397394"
"45.time",".9408941",".3340792"
"46.time",".8972906",".090006"
"47.time","1.032268",".5984276"
"48.time",".8022037",".0005509"
"49.time",".8888443",".0900149"
"50.time",".7672514",".0000228"
"51.time",".8889232",".1010954"
"52.time",".6981185","2.00e-06"
"53.time",".7955138",".0012222"
"54.time",".7670672",".0004542"
"55.time",".8844686",".1016321"
"56.time",".6768325","1.17e-06"
"57.time",".7471107",".0000943"
"58.time",".7840052",".0016781"
"59.time",".8320245",".0120978"
"60.time",".8119657",".0057745"
"61.time",".74222",".0000955"
"62.time",".7025871","3.86e-06"
"63.time",".9146793",".2578711"
"64.time",".7310383",".0004763"
"N","14647",""
