"","est1",""
"","b","p"
"dv","",""
"p48_ss_1lag","1.016746",".5527966"
"p75_ss_1lag","1.005619","2.09e-06"
"mine_time","1.001873",".1642252"
"onsite_insp_hours",".9997369",".0091086"
"longwall",".6743792","8.48e-11"
"1.state","1.296715",".0098678"
"2.state","1.86143","0"
"3.state","1.044846",".7043636"
"4.state","1.441331",".0001064"
"5.state","1.101868",".2458229"
"6.state","1","."
"7.state","1.288046",".1348036"
"8.state",".7713765",".0000213"
"9.state","1.023166",".7135395"
"10.state","1.141325",".1222001"
"11.state","1.875961",".0000394"
"12.state","1.379233","2.31e-06"
"13.state","1.734311","1.06e-08"
"14.state",".6446428",".0033234"
"15.state",".9494287",".3049813"
"16.state","1.28411","2.96e-08"
"17.state","1.091926",".204222"
"2.time",".9793595",".7434483"
"3.time","1.059437",".3322138"
"4.time",".7604406",".000018"
"5.time",".7629044","2.15e-06"
"6.time",".8771576",".0333143"
"7.time","1","."
"8.time",".7885658","8.19e-06"
"9.time",".8435453",".0265602"
"10.time",".824109",".0019893"
"11.time",".9050112",".1061822"
"12.time",".7350263","3.46e-07"
"13.time",".7023444","2.64e-07"
"14.time",".746871",".0000511"
"15.time",".8491714",".0095674"
"16.time",".6203618","3.43e-13"
"17.time",".6502452","1.62e-09"
"18.time",".6777844","7.50e-09"
"19.time",".7502734",".0000119"
"20.time",".5919021","9.99e-15"
"21.time",".5910576","6.91e-14"
"22.time",".6320271","4.89e-12"
"23.time",".6854647","1.96e-08"
"24.time",".5690071","1.80e-14"
"25.time",".609965","3.12e-11"
"26.time",".5897357","4.39e-13"
"27.time",".6869987","1.48e-07"
"28.time",".5428647","2.22e-16"
"29.time",".5391352","0"
"30.time",".5892654","2.35e-10"
"31.time",".6858148","2.60e-06"
"32.time",".5525549","2.22e-15"
"33.time",".5181493","0"
"34.time",".5143575","0"
"35.time",".5735594","2.05e-12"
"36.time",".4650832","0"
"37.time",".4763074","0"
"38.time",".4571515","0"
"39.time",".512786","0"
"40.time",".4347356","0"
"41.time",".434387","0"
"42.time",".4363018","0"
"43.time",".5394329","2.22e-16"
"44.time",".4226439","0"
"45.time",".431165","0"
"46.time",".4110946","0"
"47.time",".4734764","0"
"48.time",".3629961","0"
"49.time",".4067125","0"
"50.time",".3543762","0"
"51.time",".409265","0"
"52.time",".3165494","0"
"53.time",".3600541","0"
"54.time",".3469631","0"
"55.time",".4006833","0"
"56.time",".3122855","0"
"57.time",".3428442","0"
"58.time",".3570245","0"
"59.time",".3816614","0"
"60.time",".3669963","0"
"61.time",".3324358","0"
"62.time",".3164949","0"
"63.time",".4173361","0"
"64.time",".3218538","0"
"N","25867",""
