"","est1",""
"","b","p"
"dv","",""
"p48","1.002446",".8722625"
"p75","1.003129","1.02e-07"
"mine_time","1.002313",".0772629"
"onsite_insp_hours",".9995154",".0000466"
"longwall",".6621166","1.89e-11"
"1.state","1.314031",".0071719"
"2.state","1.793755","0"
"3.state","1.031254",".7927357"
"4.state","1.394086",".000287"
"5.state","1.078171",".3602105"
"6.state","1","."
"7.state","1.27393",".1621378"
"8.state",".7768524",".0000264"
"9.state","1.030815",".6230683"
"10.state","1.166065",".0721772"
"11.state","1.920836",".0000194"
"12.state","1.423203","2.86e-08"
"13.state","1.762184","2.01e-10"
"14.state",".6631335",".0045688"
"15.state",".9552795",".3448737"
"16.state","1.294671","5.50e-09"
"17.state","1.159339",".069487"
"1.time",".9360929",".3501983"
"2.time","1.080329",".2724227"
"3.time","1.204556",".0045953"
"4.time",".8435227",".0107584"
"5.time",".8450449",".0057054"
"6.time","1","."
"7.time","1.10934",".0866026"
"8.time",".873758",".0289828"
"9.time",".9499339",".5083961"
"10.time",".9268904",".2406963"
"11.time",".9962554",".9541873"
"12.time",".8280046",".0080414"
"13.time",".7791462",".0010494"
"14.time",".840879",".0292449"
"15.time",".9474402",".4549926"
"16.time",".6826312","6.53e-08"
"17.time",".7213841",".0000229"
"18.time",".7689755",".0005237"
"19.time",".8301707",".0096315"
"20.time",".6598405","1.17e-09"
"21.time",".6512685","4.87e-09"
"22.time",".7042935","1.70e-06"
"23.time",".7629953",".0001715"
"24.time",".6323979","9.39e-09"
"25.time",".678486","1.32e-06"
"26.time",".650627","7.86e-08"
"27.time",".7517609",".0003476"
"28.time",".6093568","1.34e-09"
"29.time",".6063516","9.73e-10"
"30.time",".6339249","2.91e-07"
"31.time",".7439991",".0005991"
"32.time",".5987261","7.97e-10"
"33.time",".5732621","3.71e-12"
"34.time",".5668568","1.50e-11"
"35.time",".6184235","3.54e-08"
"36.time",".5084668","5.77e-15"
"37.time",".5125416","2.22e-16"
"38.time",".5056416","1.73e-14"
"39.time",".5617052","6.12e-11"
"40.time",".4807161","0"
"41.time",".4732735","2.22e-16"
"42.time",".4807528","1.90e-12"
"43.time",".5886359","3.06e-10"
"44.time",".4768304","0"
"45.time",".4723967","0"
"46.time",".4535044","0"
"47.time",".5192854","1.55e-15"
"48.time",".4042218","0"
"49.time",".4471029","0"
"50.time",".3861484","0"
"51.time",".44806","0"
"52.time",".3492237","0"
"53.time",".3982101","0"
"54.time",".3828805","0"
"55.time",".4404311","0"
"56.time",".3403121","0"
"57.time",".3707975","0"
"58.time",".3879583","0"
"59.time",".4126731","0"
"60.time",".4035556","0"
"61.time",".367039","0"
"62.time",".3475858","0"
"63.time",".4509245","2.22e-16"
"64.time",".3614504","0"
"N","28089",""
