"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_pp_1lag","1.000935",".720484"
"sp48_24_pp_1lag","1","."
"sp48_25_pp_1lag",".9938211",".2566181"
"sp48_26_pp_1lag","1.002326",".4586581"
"sp48_27_pp_1lag",".9985005",".6681199"
"sp48_28_pp_1lag",".9952666",".3356928"
"sp48_4_pp_1lag","1","."
"sp48_5_pp_1lag","1.005726",".1832041"
"sp48_6_pp_1lag",".9961015",".0851462"
"sp48_7_pp_1lag","1.006301",".0543389"
"sp48_8_pp_1lag","1.003088",".4991377"
"sp75_100_pp_1lag","1.006507",".4637531"
"sp75_1002_pp_1lag","1.000353",".8281361"
"sp75_1003_pp_1lag","1.004947",".4867238"
"sp75_1003_2_pp_1lag","1","."
"sp75_1311_pp_1lag",".9905441",".0493972"
"sp75_1315_pp_1lag","1","."
"sp75_1316_pp_1lag",".9893778",".0982184"
"sp75_1318_pp_1lag","1","."
"sp75_1400_pp_1lag",".9976751",".6956891"
"sp75_1400_1_pp_1lag","1","."
"sp75_1403_10_pp_1lag","1.003513",".152144"
"sp75_1403_5_pp_1lag","1.00091",".6515736"
"sp75_1403_6_pp_1lag",".9995765",".6921656"
"sp75_1403_7_pp_1lag",".998164",".6612283"
"sp75_1403_8_pp_1lag",".9980571",".0678147"
"sp75_1404_pp_1lag",".9851338",".0641027"
"sp75_1404_1_pp_1lag","1","."
"sp75_1405_pp_1lag","1.003275",".2363038"
"sp75_1405_1_pp_1lag","1","."
"sp75_153_pp_1lag",".9971367",".8788493"
"sp75_156_pp_1lag",".9974283",".8308465"
"sp75_160_pp_1lag","1.028355",".0733538"
"sp75_1719_2_pp_1lag","1.001593",".8489296"
"sp75_1719_4_pp_1lag","1.001679",".4428499"
"sp75_1720_pp_1lag","1.000063",".9684819"
"sp75_1725_pp_1lag","1.000619",".0989286"
"sp75_1906_pp_1lag","1.012706",".0728492"
"sp75_1916_pp_1lag","1.005489",".4951321"
"sp75_203_pp_1lag","1.000684",".313138"
"sp75_204_pp_1lag","1.001257",".2234822"
"sp75_205_pp_1lag","1.011057",".3111189"
"sp75_207_pp_1lag","1.010533",".1286481"
"sp75_208_pp_1lag",".9972571",".0065938"
"sp75_209_pp_1lag","1.000553",".8419397"
"sp75_212_pp_1lag","1.004361",".3401922"
"sp75_213_pp_1lag",".9869939",".0102934"
"sp75_215_pp_1lag","1","."
"sp75_332_pp_1lag",".9998603",".9795545"
"sp75_334_pp_1lag","1.000792",".7540733"
"sp75_337_pp_1lag","1.001938",".375851"
"sp75_340_pp_1lag","1.001855",".1177536"
"sp75_343_pp_1lag","1","."
"sp75_373_pp_1lag","1.019374",".3894693"
"sp75_388_pp_1lag",".997334",".2189423"
"sp75_389_pp_1lag","1.001793",".7554465"
"sp75_500_pp_1lag",".9979072",".4473091"
"sp75_500_1_pp_1lag",".9798738",".1232451"
"sp75_501_pp_1lag",".9945414",".1918987"
"sp75_501_2_pp_1lag","1.003652",".4915438"
"sp75_502_pp_1lag",".9944316",".6856799"
"sp75_503_pp_1lag","1.000247",".2858652"
"sp75_505_pp_1lag","1.005887",".4339054"
"sp75_506_1_pp_1lag","1.006359",".4987676"
"sp75_507_pp_1lag",".9993624",".9052492"
"sp75_507_1_pp_1lag",".998989",".5322215"
"sp75_508_1_pp_1lag",".9645451","0"
"sp75_509_pp_1lag",".9942758",".4645879"
"sp75_510_pp_1lag","1","."
"sp75_512_1_pp_1lag",".9868209",".3690841"
"sp75_523_pp_1lag",".9998218",".9293659"
"sp75_523_3_pp_1lag",".9997034",".613461"
"sp75_524_pp_1lag","1","."
"sp75_602_pp_1lag","1.004009",".1467263"
"sp75_603_pp_1lag","1.006171",".1350914"
"sp75_604_pp_1lag","1.000938",".0221748"
"sp75_605_pp_1lag",".9990841",".4415937"
"sp75_606_pp_1lag","1.000128",".8380302"
"sp75_607_pp_1lag",".9974495",".3012867"
"sp75_703_3_pp_1lag","1.003079",".452294"
"sp75_703_4_pp_1lag",".9869667",".5501011"
"sp75_807_pp_1lag","1.001502",".0834041"
"sp75_810_pp_1lag",".9984417",".4690272"
"sp75_811_pp_1lag","1.000406",".8832989"
"sp75_812_pp_1lag",".9920469",".345937"
"sp75_816_pp_1lag","1.000526",".7387193"
"sp75_817_pp_1lag",".9918368",".4007881"
"sp75_906_pp_1lag",".9918042",".1070767"
"mine_time","1.002789",".2783636"
"onsite_insp_hours","1.003059","6.61e-12"
"longwall",".6899241",".0821895"
"1.state",".8669985",".6960897"
"2.state","1.484865",".0002776"
"3.state",".9940857",".9712333"
"4.state","2.287191",".0418346"
"5.state",".9859116",".9527458"
"6.state",".6367771","5.37e-07"
"7.state","1.227024",".4304866"
"8.state",".1976543","2.34e-11"
"9.state","1","."
"10.state",".820124",".4022433"
"11.state","1.635342",".0930697"
"12.state",".9429935",".670583"
"13.state","1.360075",".3475156"
"14.state",".3440603",".0002794"
"15.state",".5869384","5.41e-07"
"16.state","1","."
"17.state","1","."
"29.time","1.281626",".0884661"
"30.time","1.460821",".0112884"
"31.time","1.551833",".0030416"
"32.time","1.120885",".4456299"
"33.time","1.1554",".3503817"
"34.time","1.128253",".4207778"
"35.time","1.075245",".6000462"
"36.time","1","."
"37.time","1.168514",".328347"
"38.time","1.050201",".7616115"
"39.time","1.075491",".63738"
"40.time",".9366474",".6795153"
"41.time","1.068665",".6959899"
"42.time",".9621025",".810103"
"43.time","1.441097",".0262697"
"44.time",".876779",".4384214"
"45.time",".9880951",".9395278"
"46.time","1.139691",".4273333"
"47.time","1.369326",".0555379"
"48.time",".9169221",".5964541"
"49.time",".9601232",".8048846"
"50.time","1.057315",".734501"
"51.time",".9359056",".7006552"
"52.time",".4930503",".0000361"
"53.time",".8224861",".2571882"
"54.time",".8279897",".2950845"
"55.time",".8622481",".4220525"
"56.time",".580361",".0030035"
"57.time",".6573053",".0344841"
"58.time",".6307715",".0140162"
"59.time",".7384255",".1191988"
"60.time",".8176849",".3067393"
"61.time",".6583017",".0306675"
"62.time",".5586662",".0045203"
"63.time",".9458776",".7841101"
"64.time",".5923755",".0109022"
"N","13834",""
