"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_ss","1.503272",".1384593"
"sp48_25_ss","1.014186",".9612109"
"sp48_26_ss","1.361207",".1324595"
"sp48_27_ss",".7201237",".2125281"
"sp48_28_ss",".8621017",".625992"
"sp48_4_ss","1","."
"sp48_5_ss","1.48605",".3472523"
"sp48_6_ss",".9685099",".8752962"
"sp48_7_ss","2.041167",".010627"
"sp48_8_ss","1.765435",".15476"
"sp75_100_ss","4.719968",".0598269"
"sp75_1002_ss",".82828",".5513194"
"sp75_1003_ss",".9859359",".9606636"
"sp75_1003_2_ss","1","."
"sp75_1311_ss",".4570501",".1865535"
"sp75_1315_ss","1.152916",".8782931"
"sp75_1316_ss",".3763759",".0118641"
"sp75_1318_ss","1","."
"sp75_1322_ss","1","."
"sp75_1400_ss","2.631123",".1356685"
"sp75_1400_1_ss",".1150423",".024553"
"sp75_1403_10_ss","2.224962",".0119239"
"sp75_1403_5_ss","1.3024",".0655823"
"sp75_1403_6_ss","1.178966",".0941671"
"sp75_1403_7_ss",".6793477",".2556653"
"sp75_1403_8_ss",".9870512",".9546915"
"sp75_1404_ss","1","."
"sp75_1404_1_ss","1.582527",".4857793"
"sp75_1405_ss","1.164153",".4716431"
"sp75_1405_1_ss","1","."
"sp75_153_ss","1","."
"sp75_155_ss","1","."
"sp75_156_ss","1","."
"sp75_1719_2_ss",".0585307",".0009607"
"sp75_1719_4_ss",".8689906",".6508867"
"sp75_1720_ss","1.112961",".2816745"
"sp75_1725_ss","1.027291",".2364231"
"sp75_1906_ss","1","."
"sp75_1916_ss","2.174185",".143513"
"sp75_203_ss",".9969365",".951866"
"sp75_204_ss","1.325334",".0105244"
"sp75_205_ss","1.800882",".4044479"
"sp75_207_ss","1.893458",".24742"
"sp75_208_ss","1.065707",".2878325"
"sp75_209_ss","1.089861",".6276752"
"sp75_212_ss",".7778303",".2416621"
"sp75_213_ss","3.392944",".1933048"
"sp75_215_ss",".0151837",".0136505"
"sp75_332_ss",".7325948",".4516055"
"sp75_334_ss",".9294032",".6630572"
"sp75_337_ss",".6981538",".0535373"
"sp75_340_ss","1.128871",".2408927"
"sp75_343_ss",".6883717",".572951"
"sp75_373_ss","1","."
"sp75_388_ss","1.30727",".1332445"
"sp75_389_ss","1.105002",".875972"
"sp75_500_ss","1.348069",".2900961"
"sp75_500_1_ss","1","."
"sp75_501_ss",".504371",".200189"
"sp75_501_2_ss","1.146458",".8125628"
"sp75_502_ss","2.035862",".3897577"
"sp75_503_ss","1.075722",".0226188"
"sp75_505_ss","2.421791",".2918145"
"sp75_506_1_ss","2.015202",".4416456"
"sp75_507_ss","1.089627",".7791695"
"sp75_507_1_ss",".907024",".632984"
"sp75_509_ss","3.220569",".0928886"
"sp75_512_1_ss",".7515047",".7127505"
"sp75_523_ss",".8977635",".1759727"
"sp75_523_3_ss",".9830307",".6871561"
"sp75_524_ss","1","."
"sp75_602_ss",".7868971",".2219409"
"sp75_603_ss","1.156606",".5773608"
"sp75_604_ss","1.041229",".1705966"
"sp75_605_ss","1.312341",".0205785"
"sp75_606_ss","1.002768",".9620731"
"sp75_607_ss",".7277252",".0717083"
"sp75_703_3_ss",".6498978",".2299783"
"sp75_807_ss","1.043388",".645829"
"sp75_810_ss","1.224505",".6197624"
"sp75_811_ss",".3043172",".0032892"
"sp75_812_ss",".216536",".0116988"
"sp75_816_ss","1.022651",".9540701"
"sp75_817_ss","1","."
"sp75_906_ss",".4046477",".0929064"
"mine_time","1.003227",".1724543"
"onsite_insp_hours","1.004313","0"
"longwall",".8830556",".543478"
"1.state","1.190313",".6213235"
"2.state","1.955347","0"
"3.state","1.90862",".0001017"
"4.state","3.710155",".0000122"
"5.state","1.700523",".014821"
"6.state","1","."
"7.state","1.599688",".0693427"
"8.state",".4977911","2.74e-08"
"9.state","2.434039","9.55e-12"
"10.state","1.408925",".0551807"
"11.state","3.977372",".0001003"
"12.state","1.628975","4.02e-06"
"13.state","2.233341","2.77e-06"
"14.state",".5119853",".0144466"
"15.state","1.104417",".1722863"
"16.state","1.739203","2.22e-16"
"17.state","3.13856",".0000479"
"1.time",".9442494",".6735763"
"2.time","1.345862",".0343876"
"3.time","1.406967",".0139725"
"4.time",".7450932",".0236688"
"5.time",".8184909",".1355607"
"6.time","1","."
"7.time","1.052805",".6967577"
"8.time",".8705777",".3038753"
"9.time",".8962692",".4504079"
"10.time",".7218668",".022039"
"11.time","1.04188",".7778623"
"12.time",".7323532",".0332203"
"13.time",".7640179",".0729358"
"14.time",".839702",".2650603"
"15.time","1.225144",".1934466"
"16.time",".6355182",".0026988"
"17.time",".68334",".0111245"
"18.time",".6496148",".0029389"
"19.time",".7090947",".0209565"
"20.time",".5486785",".0000314"
"21.time",".5717511",".0001555"
"22.time",".6081257",".0009445"
"23.time",".6618852",".0046078"
"24.time",".4585941","1.26e-07"
"25.time",".6072852",".0011048"
"26.time",".5330659",".000023"
"27.time",".6174776",".0011539"
"28.time",".5357192",".0000515"
"29.time",".4555018","1.93e-07"
"30.time",".4903234","1.94e-06"
"31.time",".5530064",".0000953"
"32.time",".4138191","5.95e-09"
"33.time",".4365685","1.46e-07"
"34.time",".4439482","2.51e-07"
"35.time",".4092598","4.32e-09"
"36.time",".3624299","2.72e-11"
"37.time",".4160105","1.91e-08"
"38.time",".4232682","1.84e-07"
"39.time",".4057483","3.58e-08"
"40.time",".3440715","6.62e-11"
"41.time",".3976189","5.33e-08"
"42.time",".3677091","3.99e-10"
"43.time",".5292591",".0001405"
"44.time",".31811","5.74e-12"
"45.time",".3562247","5.28e-10"
"46.time",".4221528","4.87e-07"
"47.time",".5026219",".0000288"
"48.time",".3393948","9.77e-11"
"49.time",".3521729","3.54e-10"
"50.time",".3803504","4.42e-09"
"51.time",".3416641","1.41e-09"
"52.time",".1764108","0"
"53.time",".2876703","5.31e-12"
"54.time",".3007484","2.79e-11"
"55.time",".3125481","9.24e-10"
"56.time",".2160387","1.78e-15"
"57.time",".2260675","1.66e-13"
"58.time",".2196848","8.88e-15"
"59.time",".2526115","5.78e-12"
"60.time",".2925268","9.87e-10"
"61.time",".2444612","4.03e-12"
"62.time",".19033","2.22e-16"
"63.time",".3307279","7.00e-08"
"64.time",".2120276","3.86e-13"
"N","28045",""
